"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-1.7399999999999998,-1.5773571729660034
-1.7999999999999998,-1.559387445449829
-1.8599999999999999,-1.5284085273742676
-1.92,-1.5079032182693481
-1.98,-1.4888039827346802
-2.04,-1.4653071165084839
-2.0999999999999996,-1.441062092781067
-2.16,-1.4186152219772339
-2.2199999999999998,-1.3940647840499878
-2.2800000000000002,-1.3695400953292847
-2.34,-1.346704363822937
-2.4000000000000004,-1.3234771490097046
-2.46,-1.2981985807418823
-2.52,-1.2816747426986694
-2.58,-1.257843017578125
-2.64,-1.2319610118865967
-2.7,-1.2079675197601318
-2.7600000000000002,-1.1912380456924438
-2.82,-1.1669857501983643
-2.88,-1.1413276195526123
-2.94,-1.1174356937408447
-3.0,-1.1010541915893555
-3.06,-1.0771876573562622
-3.12,-1.0521756410598755
-3.18,-1.02842378616333
-3.24,-1.0047250986099243
-3.3000000000000003,-0.9802418351173401
-3.3600000000000003,-0.9644489288330078
-3.42,-0.9396319389343262
-3.4799999999999995,-0.9230613112449646
-3.54,-0.8981677889823914
-3.5999999999999996,-0.8735826015472412
-3.66,-0.8481122851371765
-3.7199999999999998,-0.8311541676521301
-3.7800000000000002,-0.8064231276512146
-3.84,-0.7818878889083862
-3.9000000000000004,-0.7656747102737427
-3.96,-0.7414668202400208
-4.0200000000000005,-0.7175135612487793
-4.08,-0.7015730142593384
-4.14,-0.677815318107605
-4.199999999999999,-0.6620678901672363
-4.26,-0.6385824680328369
-4.32,-0.6151883602142334
-4.38,-0.5920090675354004
-4.4399999999999995,-0.5766177773475647
-4.5,-0.553387463092804
-4.5600000000000005,-0.537013590335846
-4.62,-0.5070416927337646
-4.68,-0.49253106117248535
-4.74,-0.47188642621040344
-4.800000000000001,-0.45523157715797424
-4.86,-0.43281418085098267
-4.92,-0.41772904992103577
-4.9799999999999995,-0.3954465985298157
-5.04,-0.3732824921607971
-5.1,-0.3586583137512207
-5.16,-0.33664223551750183
-5.22,-0.3218075633049011
-5.28,-0.2999001443386078
-5.34,-0.2780347168445587
-5.4,-0.262348473072052
-5.46,-0.2418721467256546
-5.5200000000000005,-0.2275669425725937
-5.58,-0.20600226521492004
-5.64,-0.19176463782787323
-5.699999999999999,-0.1703357994556427
-5.76,-0.14893971383571625
-5.82,-0.13466258347034454
-5.88,-0.1133054867386818
-5.9399999999999995,-0.09195070713758469
-6.0,-0.07777050882577896
0.0,-2.455230951309204
-0.06,-2.467766046524048
-0.12,-2.454233169555664
-0.18,-2.448350191116333
-0.24,-2.4547231197357178
-0.30000000000000004,-2.428906202316284
-0.36,-2.424777030944824
-0.42000000000000004,-2.40146541595459
-0.48,-2.387147903442383
-0.54,-2.377917766571045
-0.6000000000000001,-2.360029697418213
-0.66,-2.3579866886138916
-0.72,-2.3338394165039062
-0.78,-2.1541950702667236
-0.8400000000000001,-1.944830060005188
-0.8999999999999999,-1.6884418725967407
-0.96,-1.52719247341156
-1.02,-1.4510940313339233
-1.08,-1.4511505365371704
-1.1400000000000001,-1.527317762374878
-1.2000000000000002,-1.6776334047317505
-1.26,-1.763138771057129
-1.32,-1.7479712963104248
-1.3800000000000001,-1.7173564434051514
-1.44,-1.6964271068572998
-1.5,-1.6741217374801636
-1.56,-1.6455005407333374
-1.62,-1.6262218952178955
-1.6800000000000002,-1.5977020263671875
