"Iteration","CpT_flap2 Monitor: CpT_flap2 Monitor"
1.0,1.741385338577001
2.0,1.3918818723420288
3.0,0.6402331836157343
4.0,0.41697507114530086
5.0,-0.3905378750821563
6.0,-0.4025402025374546
7.0,-0.4739510445022717
8.0,-0.5481063432824368
9.0,-0.7557474210637597
10.0,-0.7724251161827909
11.0,-0.7593636765893046
12.0,-0.4364641668571657
13.0,-0.41784265451221136
14.0,-0.19648718840100818
15.0,-0.17334970081377513
16.0,-0.12303927421942193
17.0,-0.12093871048440258
18.0,-0.1420239315475712
19.0,-0.15060708763290978
20.0,-0.2220381448449325
21.0,-0.23290877047302205
22.0,-0.32233837352837835
23.0,-0.3269560095336129
24.0,-0.3288237525086017
25.0,-0.32820516663448374
26.0,-0.32381181074215115
27.0,-0.32040632989692264
28.0,-0.3108957247104069
29.0,-0.2996389045487827
30.0,-0.28858733411317244
31.0,-0.2770439325450259
32.0,-0.2709595647517551
33.0,-0.2606064636174473
34.0,-0.25531252508235786
35.0,-0.24996321098924443
36.0,-0.24527381950265917
37.0,-0.23859417444093595
38.0,-0.23650340061870445
39.0,-0.23522539546479285
40.0,-0.2348524275767843
41.0,-0.23524563173068033
42.0,-0.2367342540516949
43.0,-0.24062342840720755
44.0,-0.24419312699856588
45.0,-0.25168436730882354
46.0,-0.2560500469840955
47.0,-0.26420185570840554
48.0,-0.26810282135143254
49.0,-0.27281556927843226
50.0,-0.2778605387928527
51.0,-0.2798522778083418
52.0,-0.28082517580652144
53.0,-0.2809749460716239
54.0,-0.2803454726188098
55.0,-0.2786409879877925
56.0,-0.2767945121782303
57.0,-0.27380451748103174
58.0,-0.2711644902824508
59.0,-0.26729744323719157
60.0,-0.2645088025022959
61.0,-0.25965715995097133
62.0,-0.25704748074392136
63.0,-0.25367531813720645
64.0,-0.25069740785936057
65.0,-0.24736050931925446
66.0,-0.2452978188862339
67.0,-0.24373978298295643
68.0,-0.24263289885506248
69.0,-0.2419437355152325
70.0,-0.24175917258036453
71.0,-0.24201494532860787
72.0,-0.24263039101139844
73.0,-0.2433459083502968
74.0,-0.24414458987169327
75.0,-0.2445256916746289
76.0,-0.24455640409664867
77.0,-0.24390175459127852
78.0,-0.24255851559870117
79.0,-0.24050875772237884
80.0,-0.23818997077744444
81.0,-0.23556937115987425
82.0,-0.23286510824224158
83.0,-0.2299174440734618
84.0,-0.22735294297275763
85.0,-0.22447635005896077
86.0,-0.2239843660512783
87.0,-0.2234591304948557
88.0,-0.2238978823751507
89.0,-0.22582277367719644
90.0,-0.2270862175870326
91.0,-0.23053414218270166
92.0,-0.2326095378165789
93.0,-0.2370134282298779
94.0,-0.2392975778713366
95.0,-0.24329193134171997
96.0,-0.24635594142938985
97.0,-0.24793693280955934
98.0,-0.24884416552918742
99.0,-0.24933530586754687
100.0,-0.24926401093303086
101.0,-0.24901712701581735
102.0,-0.2483591734814508
103.0,-0.2475815281024149
104.0,-0.2469867327945691
105.0,-0.24666140320842395
106.0,-0.24653612814662465
107.0,-0.2468517825062024
108.0,-0.24790119264142974
109.0,-0.24920525894308695
110.0,-0.25100460416830606
111.0,-0.25331780232663204
112.0,-0.2561538115243636
113.0,-0.2593143917209701
114.0,-0.2627254144037375
115.0,-0.2662821563826981
116.0,-0.27156204271783907
117.0,-0.27598077571442925
118.0,-0.27867398336197774
119.0,-0.2817942568413869
120.0,-0.2848617919347389
121.0,-0.285658258384061
122.0,-0.28592122121593866
123.0,-0.28531362686963585
124.0,-0.2843630184051068
125.0,-0.2821665994406204
126.0,-0.2792094978285846
127.0,-0.2770036165626063
128.0,-0.27474239134978484
129.0,-0.27130618076753
130.0,-0.2698775412110288
131.0,-0.2669438489223299
132.0,-0.26529822506236184
133.0,-0.26346907287972515
134.0,-0.26274792414572645
135.0,-0.26244010023994996
136.0,-0.2628120239702512
137.0,-0.2634829477080297
138.0,-0.26507447605755935
139.0,-0.2677727572187691
140.0,-0.2692980688867442
141.0,-0.271644269335079
142.0,-0.27404497097567143
143.0,-0.2762840072797373
144.0,-0.2782448100160184
145.0,-0.2798385822593663
146.0,-0.2810017558472967
147.0,-0.2818091577376046
148.0,-0.28200705948833055
149.0,-0.28229484224342816
150.0,-0.2822009125765162
151.0,-0.28192457358812906
152.0,-0.2814329744869923
153.0,-0.2810425993862907
154.0,-0.28045886681140286
155.0,-0.2800343234884131
156.0,-0.2794442201029129
157.0,-0.27922323869003146
158.0,-0.2788541274867178
159.0,-0.2787091284514366
160.0,-0.2786923157794964
161.0,-0.27890717865974246
162.0,-0.27931051117369404
163.0,-0.2800127160430241
164.0,-0.2804666859866781
165.0,-0.2816032488008669
166.0,-0.28244679386816013
167.0,-0.2839641475027703
168.0,-0.2846514287814726
169.0,-0.2863801263614213
170.0,-0.2871779766187416
171.0,-0.2890027629971622
172.0,-0.28972555881585965
173.0,-0.29159675010654157
174.0,-0.2930323097596132
175.0,-0.2939180925795253
176.0,-0.2948547649355998
177.0,-0.2960761847852605
178.0,-0.296769552963361
179.0,-0.2977361402401213
180.0,-0.2981586827903131
181.0,-0.29908657492555424
182.0,-0.2997959296585577
183.0,-0.3001244366063609
184.0,-0.3008188580315794
185.0,-0.30111391690299094
186.0,-0.30183738256017917
187.0,-0.30217608344062274
188.0,-0.30297070274582866
189.0,-0.30330310235267643
190.0,-0.30438149713125934
191.0,-0.3045565851429154
192.0,-0.3050450607940021
193.0,-0.30556425922418484
194.0,-0.3060142388724955
195.0,-0.3064904861466226
196.0,-0.30685993522017085
197.0,-0.3071462666439005
198.0,-0.30730594133959277
199.0,-0.3076678071185218
200.0,-0.3076982010819515
201.0,-0.30792234381428263
202.0,-0.3079322224636291
203.0,-0.3078580591952211
204.0,-0.307778845643264
205.0,-0.3075350816748988
206.0,-0.30746823417725755
207.0,-0.30756481389206386
208.0,-0.30775293337550824
209.0,-0.3078209107100796
210.0,-0.3080332604123771
211.0,-0.30835623499257003
212.0,-0.3092207943236405
213.0,-0.309548500282208
214.0,-0.3100115144596282
215.0,-0.3106040760200179
216.0,-0.3113155359177666
217.0,-0.31211454625261825
218.0,-0.3130307433437533
219.0,-0.31509886131134307
220.0,-0.3157758395973793
221.0,-0.31659211461270775
222.0,-0.31750049615970366
223.0,-0.31846812681673875
224.0,-0.31946200973887817
225.0,-0.3205505152081639
226.0,-0.3216214486907549
227.0,-0.32330335756022993
228.0,-0.32416385552904814
229.0,-0.325080293055144
230.0,-0.32597281924155036
231.0,-0.3273037065390364
232.0,-0.3279583116392553
233.0,-0.3286131481455502
234.0,-0.3291894594283446
235.0,-0.3299321880522582
236.0,-0.33029516832538103
237.0,-0.33067117862872075
238.0,-0.33119564570693055
239.0,-0.33140590256059704
240.0,-0.331725323724184
241.0,-0.3318554242855485
242.0,-0.33189735299071693
243.0,-0.3319337654977855
244.0,-0.3319727857098141
245.0,-0.33203603845423285
246.0,-0.33220369243794184
247.0,-0.3324707496881816
248.0,-0.3329054278554143
249.0,-0.3330978651505741
250.0,-0.3336079241112547
251.0,-0.33444963869426314
252.0,-0.33537025959485717
253.0,-0.33637774931210795
254.0,-0.3374652536248037
255.0,-0.3386151099244355
256.0,-0.33986254099754065
257.0,-0.3411084536789409
258.0,-0.3422985561660698
259.0,-0.34342555574244166
260.0,-0.344469637437901
261.0,-0.3459192444314313
262.0,-0.34626597049724134
263.0,-0.34732422939674695
264.0,-0.34756643286552347
265.0,-0.34825702083524407
266.0,-0.34844018071782673
267.0,-0.3489826435360888
268.0,-0.34911303419207423
269.0,-0.3494728176222726
270.0,-0.34990407834912673
271.0,-0.35043416609713574
272.0,-0.3512751916268121
273.0,-0.35157759575335384
274.0,-0.35275085796249495
275.0,-0.35308311628427974
276.0,-0.354401730010029
277.0,-0.3547723777024719
278.0,-0.3561581347674211
279.0,-0.3565280343162608
280.0,-0.35788108932779966
281.0,-0.35823438090764353
282.0,-0.3594649180023138
283.0,-0.35978354874795243
284.0,-0.3608392917635675
285.0,-0.36111795293195376
286.0,-0.3620415303327914
287.0,-0.3623808465954818
288.0,-0.3628737227787376
289.0,-0.36350094211304773
