"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-1.5746862888336182
-0.06,-1.5725404024124146
-0.12,-1.5774222612380981
-0.18,-1.578666090965271
-0.24,-1.570589542388916
-0.30000000000000004,-1.5697418451309204
-0.36,-1.5599675178527832
-0.42000000000000004,-1.5565662384033203
-0.48,-1.5527948141098022
-0.54,-1.5059535503387451
-0.6000000000000001,-1.3244954347610474
-0.66,-1.2084263563156128
-0.72,-1.2351864576339722
-0.78,-1.3420917987823486
-0.8400000000000001,-1.4327161312103271
-0.8999999999999999,-1.4361412525177002
-0.96,-1.4310482740402222
-1.02,-1.4161148071289062
-1.08,-1.4007128477096558
-1.1400000000000001,-1.3879998922348022
-1.2000000000000002,-1.3711814880371094
-1.26,-1.3534903526306152
-1.32,-1.3353739976882935
-1.3800000000000001,-1.3248772621154785
-1.44,-1.303489327430725
-1.5,-1.2871971130371094
-1.56,-1.2673046588897705
-1.62,-1.2505977153778076
-1.6800000000000002,-1.232306718826294
-1.7399999999999998,-1.2160401344299316
-1.7999999999999998,-1.198390245437622
-1.8599999999999999,-1.173930048942566
-1.92,-1.1561555862426758
-1.98,-1.1397656202316284
-2.04,-1.1212040185928345
-2.0999999999999996,-1.0991967916488647
-2.16,-1.07737135887146
-2.2199999999999998,-1.058152437210083
-2.2800000000000002,-1.0454471111297607
-2.34,-1.02334725856781
-2.4000000000000004,-1.0057309865951538
-2.46,-0.9887121319770813
-2.52,-0.9636330604553223
-2.58,-0.9437307715415955
-2.64,-0.9288192391395569
-2.7,-0.9121073484420776
-2.7600000000000002,-0.8934478759765625
-2.82,-0.8732501864433289
-2.88,-0.8555949926376343
-2.94,-0.8341572880744934
-3.0,-0.814975380897522
-3.06,-0.7966096997261047
-3.12,-0.7773467302322388
-3.18,-0.7617098093032837
-3.24,-0.7466182708740234
-3.3000000000000003,-0.7295565605163574
-3.3600000000000003,-0.7083645462989807
-3.42,-0.6901350617408752
-3.4799999999999995,-0.6746644377708435
-3.54,-0.6592575907707214
-3.5999999999999996,-0.6382321119308472
-3.66,-0.6242908835411072
-3.7199999999999998,-0.6045635938644409
-3.7800000000000002,-0.5894483327865601
-3.84,-0.5732908844947815
-3.9000000000000004,-0.5561456084251404
-3.96,-0.5408170819282532
-4.0200000000000005,-0.5237616896629333
-4.08,-0.5070439577102661
-4.14,-0.4947872459888458
-4.199999999999999,-0.47930875420570374
-4.26,-0.46289047598838806
-4.32,-0.4489871561527252
-4.38,-0.4309965670108795
-4.4399999999999995,-0.4181554317474365
-4.5,-0.40484535694122314
-4.5600000000000005,-0.3871670365333557
-4.62,-0.37409159541130066
-4.68,-0.36027073860168457
-4.74,-0.3438522219657898
-4.800000000000001,-0.33177807927131653
-4.86,-0.3177356421947479
-4.92,-0.3014192581176758
-4.9799999999999995,-0.2856842875480652
-5.04,-0.27716749906539917
-5.1,-0.26185646653175354
-5.16,-0.24642257392406464
-5.22,-0.23083901405334473
-5.28,-0.2151457816362381
-5.34,-0.19934701919555664
-5.4,-0.19079656898975372
-5.46,-0.17487704753875732
-5.5200000000000005,-0.16740302741527557
-5.58,-0.1512504667043686
-5.64,-0.13497880101203918
-5.699999999999999,-0.11858212202787399
-5.76,-0.11067427694797516
-5.82,-0.09400428831577301
-5.88,-0.0772571936249733
-5.9399999999999995,-0.06909798830747604
-6.0,-0.05211561173200607
