"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,1.109324609431055
2.0,0.95810700213683
3.0,0.04332938682690515
4.0,-0.4251204793553947
5.0,-0.43801454596258
6.0,-0.4982414775576114
7.0,-0.5001035882575414
8.0,-0.49364395176192366
9.0,-0.4970911927334254
10.0,-0.4631052688641003
11.0,-0.4393612423311507
12.0,-0.3207021381177119
13.0,-0.31352537970345074
14.0,-0.29603692023409195
15.0,-0.2434258912051547
16.0,-0.23911154652198421
17.0,-0.22995210323376833
18.0,-0.22037678841734853
19.0,-0.2233500194139696
20.0,-0.22637185185759115
21.0,-0.23432931772900156
22.0,-0.25958129854621986
23.0,-0.26547427728237377
24.0,-0.28429980908884217
25.0,-0.2881498416099146
26.0,-0.29190406636983846
27.0,-0.29205450047772924
28.0,-0.28949142594106564
29.0,-0.2873843115081922
30.0,-0.28075715952053726
31.0,-0.27647876185321074
32.0,-0.2658308986232893
33.0,-0.25590489278620066
34.0,-0.24576252728008435
35.0,-0.24032659938066064
36.0,-0.23000721654881806
37.0,-0.2252800409169605
38.0,-0.21744683550335905
39.0,-0.21436505152834606
40.0,-0.21099188996485238
41.0,-0.20917960976538308
42.0,-0.20725135403788308
43.0,-0.20708843115330622
44.0,-0.207154150674964
45.0,-0.2082522699488817
46.0,-0.20935254223115957
47.0,-0.21202191000938045
48.0,-0.21378199205083578
49.0,-0.2152668711686201
50.0,-0.21714178387447797
51.0,-0.2184474919430409
52.0,-0.21937554760560676
53.0,-0.21989977013594417
54.0,-0.2202004755405245
55.0,-0.22015937369228278
56.0,-0.2198677129300082
57.0,-0.2191236300097787
58.0,-0.2183597573495171
59.0,-0.21737974965340168
60.0,-0.21552543779001132
61.0,-0.21398872498364047
62.0,-0.2115123856574021
63.0,-0.20894389559553367
64.0,-0.2063874745409192
65.0,-0.20292863271380476
66.0,-0.20089855731785541
67.0,-0.19764574343189525
68.0,-0.19620980369003957
69.0,-0.19403295667790238
70.0,-0.19255640480533487
71.0,-0.19156701495456818
72.0,-0.19065948136438599
73.0,-0.1905151860292586
74.0,-0.19069312666098423
75.0,-0.19096273234869143
76.0,-0.19152915699623052
77.0,-0.19188214427734715
78.0,-0.19270602876622733
79.0,-0.192642907813565
