"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-1.1400000000000001,-1.5835540294647217
-1.2000000000000002,-1.5640119314193726
-1.26,-1.5511059761047363
-1.32,-1.5246449708938599
-1.3800000000000001,-1.5109858512878418
-1.44,-1.4968676567077637
-1.5,-1.469389796257019
-1.56,-1.4543442726135254
-1.62,-1.437058448791504
-1.6800000000000002,-1.4174796342849731
-1.7399999999999998,-1.3849252462387085
-1.7999999999999998,-1.3647619485855103
-1.8599999999999999,-1.3438918590545654
-1.92,-1.3224107027053833
-1.98,-1.3007451295852661
-2.04,-1.2791852951049805
-2.0999999999999996,-1.2594141960144043
-2.16,-1.2413936853408813
-2.2199999999999998,-1.2233409881591797
-2.2800000000000002,-1.1963603496551514
-2.34,-1.1785423755645752
-2.4000000000000004,-1.160433053970337
-2.46,-1.1338036060333252
-2.52,-1.1156281232833862
-2.58,-1.0892832279205322
-2.64,-1.0710866451263428
-2.7,-1.04507315158844
-2.7600000000000002,-1.026911973953247
-2.82,-1.0012766122817993
-2.88,-0.9832074046134949
-2.94,-0.9651389718055725
-3.0,-0.9400346279144287
-3.06,-0.9221038222312927
-3.12,-0.8974362015724182
-3.18,-0.8796606659889221
-3.24,-0.8642336130142212
-3.3000000000000003,-0.8378347158432007
-3.3600000000000003,-0.8227564096450806
-3.42,-0.8053562641143799
-3.4799999999999995,-0.781952440738678
-3.54,-0.7648864388465881
-3.5999999999999996,-0.7431858777999878
-3.66,-0.7213649153709412
-3.7199999999999998,-0.7009273767471313
-3.7800000000000002,-0.6879191994667053
-3.84,-0.6677452921867371
-3.9000000000000004,-0.6480215787887573
-3.96,-0.6295493841171265
-4.0200000000000005,-0.6116369366645813
-4.08,-0.593865692615509
-4.14,-0.5736395120620728
-4.199999999999999,-0.5562694072723389
-4.26,-0.5424419045448303
-4.32,-0.5230856537818909
-4.38,-0.5046579241752625
-4.4399999999999995,-0.4837147891521454
-4.5,-0.46644479036331177
-4.5600000000000005,-0.4511987864971161
-4.62,-0.43533024191856384
-4.68,-0.4168216288089752
-4.74,-0.4026159644126892
-4.800000000000001,-0.3816731870174408
-4.86,-0.3644161820411682
-4.92,-0.35174456238746643
-4.9799999999999995,-0.33337849378585815
-5.04,-0.3209697902202606
-5.1,-0.30010029673576355
-5.16,-0.28739261627197266
-5.22,-0.27472028136253357
-5.28,-0.25058597326278687
-5.34,-0.23887698352336884
-5.4,-0.22027705609798431
-5.46,-0.20954634249210358
-5.5200000000000005,-0.1881781667470932
-5.58,-0.1775962859392166
-5.64,-0.15836048126220703
-5.699999999999999,-0.14698944985866547
-5.76,-0.12553204596042633
-5.82,-0.11489991843700409
-5.88,-0.09369775652885437
-5.9399999999999995,-0.07891891151666641
-6.0,-0.06840578466653824
0.0,-1.8382806777954102
-0.06,-1.8345422744750977
-0.12,-1.819512963294983
-0.18,-1.8186357021331787
-0.24,-1.8152872323989868
-0.30000000000000004,-1.8040225505828857
-0.36,-1.8004882335662842
-0.42000000000000004,-1.788728952407837
-0.48,-1.7637042999267578
-0.54,-1.6779866218566895
-0.6000000000000001,-1.5002470016479492
-0.66,-1.3456734418869019
-0.72,-1.2559583187103271
-0.78,-1.2585383653640747
-0.8400000000000001,-1.371551752090454
-0.8999999999999999,-1.5926892757415771
-0.96,-1.6310999393463135
-1.02,-1.6149767637252808
-1.08,-1.595008373260498
