"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,3.397493456924673
2.0,2.485073748187953
3.0,0.9904944357448832
4.0,0.2914216279007818
5.0,0.21481020648840676
6.0,-0.3481641026358632
7.0,-0.393131990693756
8.0,-0.6518677892003326
9.0,-0.8188117074347273
10.0,-0.9359699308148925
11.0,-0.9207090967645397
12.0,-0.601439853085592
13.0,-0.532343172835395
14.0,-0.14425056419278215
15.0,-0.12058442807733268
16.0,-0.08455200633339813
17.0,-0.03133240610053966
18.0,-0.03143650769392346
19.0,-0.07854015086755647
20.0,-0.0912560679581593
21.0,-0.22728262118452291
22.0,-0.23606092254761915
23.0,-0.24305452002482164
24.0,-0.248094093251517
25.0,-0.2570405090204919
26.0,-0.2610992057894201
27.0,-0.2681215911890295
28.0,-0.27033198598174174
29.0,-0.2717506484971942
30.0,-0.27085629595900274
31.0,-0.26794008460544905
32.0,-0.2633638493107201
33.0,-0.2575725822560431
34.0,-0.2509723660615963
35.0,-0.23849293167685034
36.0,-0.23265434880932345
37.0,-0.22639877388805513
38.0,-0.21540558933383225
39.0,-0.20684509104640877
40.0,-0.20336994873898104
41.0,-0.20026601813396122
42.0,-0.19792780661981557
43.0,-0.1964069477522089
44.0,-0.19621497461996948
45.0,-0.19694086888291412
46.0,-0.19878750948523524
47.0,-0.20139785798015553
48.0,-0.2045355903963482
49.0,-0.20819516967972465
50.0,-0.21157163331118647
51.0,-0.2154757302640318
52.0,-0.21805037400648167
53.0,-0.22035157204794897
54.0,-0.22212603425422156
55.0,-0.2230677530354155
56.0,-0.22346614788715488
57.0,-0.22346008178538285
58.0,-0.22295923101796328
59.0,-0.22192380369199907
60.0,-0.22062218630878228
61.0,-0.2190729447651559
62.0,-0.21739236732395895
63.0,-0.21564376986038578
64.0,-0.21369789682547044
65.0,-0.21093447369783808
66.0,-0.2078607248846284
67.0,-0.20491696578348728
68.0,-0.20218215755276991
69.0,-0.19958396680590598
70.0,-0.19715754211164174
71.0,-0.19531497324324343
72.0,-0.19402497478662437
73.0,-0.19314571207468098
74.0,-0.19307390376782632
75.0,-0.19439064642549883
76.0,-0.19585800868698638
77.0,-0.19774048009856082
78.0,-0.19993478286288813
79.0,-0.20281065582330987
80.0,-0.20419758932029602
81.0,-0.2053132432739017
82.0,-0.20474087209916292
83.0,-0.20325103894855698
84.0,-0.20062952211967072
85.0,-0.19926786153095802
86.0,-0.19635808647706535
87.0,-0.19510597861178772
88.0,-0.1911044483791625
89.0,-0.18998390815914087
90.0,-0.18663305236538197
91.0,-0.1864844898541597
92.0,-0.18596912343236544
93.0,-0.18662292194266134
94.0,-0.18762624475603307
95.0,-0.18815545528173974
96.0,-0.1897903070959729
97.0,-0.19194519147965586
98.0,-0.19409806250604192
99.0,-0.19572081321757695
100.0,-0.1967185791201808
101.0,-0.19766442056130143
102.0,-0.19793644931672374
103.0,-0.19772046726279766
104.0,-0.197249253229876
105.0,-0.1963159924806197
106.0,-0.19520547015206252
107.0,-0.19431808407527235
108.0,-0.19362342027386362
109.0,-0.193353546131819
110.0,-0.1948944611385248
111.0,-0.1980687273086676
112.0,-0.20646183752560576
113.0,-0.2089434044773925
114.0,-0.21457904380852072
115.0,-0.21766509447889595
116.0,-0.22223229409092468
117.0,-0.2266977174659556
118.0,-0.22966836279000316
119.0,-0.23332476465610427
120.0,-0.2361382346720779
