"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,0.5030988079165871
2.0,1.140516650173219
3.0,0.3919623680099224
4.0,-0.3195602431966018
5.0,-0.3435761194268258
6.0,-0.40904111575725993
7.0,-0.45357565374013376
8.0,-0.513375145689327
9.0,-0.5700465488129595
10.0,-0.5647476934836125
11.0,-0.5100409391870947
12.0,-0.4991308044254707
13.0,-0.36752806136381333
14.0,-0.339589330231412
15.0,-0.19941835425572121
16.0,-0.19080699500860196
17.0,-0.18508802120764037
18.0,-0.17887942712431998
19.0,-0.1845181657597669
20.0,-0.23054218100744267
21.0,-0.23859888671861593
22.0,-0.28996615612641524
23.0,-0.2959459139194964
24.0,-0.29964578484177407
25.0,-0.30373464472008216
26.0,-0.3049471359199536
27.0,-0.3046137593400085
28.0,-0.3035335025923878
29.0,-0.2988633401215843
30.0,-0.2954840568414301
31.0,-0.2875765216360051
32.0,-0.2830573212031075
33.0,-0.2736336650087077
34.0,-0.265182338632182
35.0,-0.25755868275334604
36.0,-0.25134120143433697
37.0,-0.24648364873417794
38.0,-0.24446542888906703
39.0,-0.2420288188146556
40.0,-0.24173573714014127
41.0,-0.24203911129230854
42.0,-0.24307003727572396
43.0,-0.24500337613514275
44.0,-0.24706776342297707
45.0,-0.25125485791883895
46.0,-0.25376696141560284
47.0,-0.2568708940317315
48.0,-0.25926325780210674
49.0,-0.2630736369204508
50.0,-0.26482859633476186
51.0,-0.26601179594286634
52.0,-0.2668494607705158
53.0,-0.2670792505453514
54.0,-0.2665769187747748
55.0,-0.26588736350293335
56.0,-0.2642177753641364
57.0,-0.26264727611246264
58.0,-0.25923616858553544
59.0,-0.2573454149684195
60.0,-0.2550978844834578
61.0,-0.2509653617323226
62.0,-0.24743818151519714
63.0,-0.2443159743242762
64.0,-0.24127540721580942
65.0,-0.2399239851025271
66.0,-0.23877842816918193
67.0,-0.2391827033329939
68.0,-0.24072395644115302
69.0,-0.24253409134923404
70.0,-0.24395371610375813
71.0,-0.2458996108603549
72.0,-0.24671214233852473
73.0,-0.24808980503420988
74.0,-0.24825957522060968
75.0,-0.24796833210504415
76.0,-0.2478368673625855
77.0,-0.24693885812793867
78.0,-0.24659912194588285
79.0,-0.24608200327179158
80.0,-0.24506928607751902
81.0,-0.2447018196615585
82.0,-0.24431755603478666
83.0,-0.24409239491885343
84.0,-0.24413563511910805
85.0,-0.24449794798802424
86.0,-0.24489449946024544
87.0,-0.2457698293099293
88.0,-0.2466472762335469
89.0,-0.24803041635462408
90.0,-0.2494767055946532
91.0,-0.25058332956186863
92.0,-0.2520867536801202
93.0,-0.25315869779556066
94.0,-0.2545726354656129
95.0,-0.25549968739882645
96.0,-0.2565531577522802
97.0,-0.2571808835155176
98.0,-0.2579512922520365
99.0,-0.25834339552729685
100.0,-0.25867459425293016
101.0,-0.2588230273896137
102.0,-0.25888419891026476
103.0,-0.2589362865721803
104.0,-0.25892155099569103
105.0,-0.2590322562482341
106.0,-0.25922151370590546
107.0,-0.2595175991883864
108.0,-0.2600268668758166
109.0,-0.26070842869446637
110.0,-0.26167249360482
111.0,-0.2628394582794168
112.0,-0.26420345935395323
113.0,-0.2662959791760074
114.0,-0.2683977857063979
115.0,-0.2703568284849614
116.0,-0.2721002636944257
117.0,-0.2738934298863051
118.0,-0.2745650393905811
119.0,-0.27486816877139586
120.0,-0.27472511909525366
121.0,-0.2738172184433278
122.0,-0.2731475224669268
123.0,-0.27128646456354016
124.0,-0.27024850853100907
125.0,-0.26788203424757057
126.0,-0.26686547673683186
127.0,-0.26540526676427917
128.0,-0.26471371518273346
129.0,-0.2639584071342316
130.0,-0.26373682082958405
131.0,-0.26390826878067064
132.0,-0.2645320944758616
133.0,-0.265427519031621
134.0,-0.26708181672802933
135.0,-0.2686004891989183
136.0,-0.27047819212852126
137.0,-0.2725678623725703
138.0,-0.27490367753657674
139.0,-0.27742661052210416
140.0,-0.2800441988690887
141.0,-0.2826564331012198
142.0,-0.286170006706683
143.0,-0.2883623900350895
144.0,-0.2913932760149082
145.0,-0.29386580011750585
146.0,-0.29594869993717926
147.0,-0.29726005556581714
148.0,-0.2986236179564386
149.0,-0.29948303825774153
150.0,-0.30044555330304096
151.0,-0.30095549780487607
152.0,-0.3012731464057618
153.0,-0.301350558096895
154.0,-0.30123680830594884
155.0,-0.30102594291991264
156.0,-0.30110571375225026
157.0,-0.30122928312983793
158.0,-0.3015584091562925
159.0,-0.3019882687550326
160.0,-0.3026752886460349
161.0,-0.30384783009076866
162.0,-0.30524340263748184
163.0,-0.3068345747363973
164.0,-0.3078188999595169
165.0,-0.3101946367761938
166.0,-0.31140710883486317
167.0,-0.3142558177532493
168.0,-0.3156035855816677
169.0,-0.31858705263989306
170.0,-0.31996723010358036
171.0,-0.3229832640585021
172.0,-0.3242946031385172
173.0,-0.32703938723885706
174.0,-0.3292087395345877
175.0,-0.3309102499880759
176.0,-0.3321733085348451
177.0,-0.33297468702263094
178.0,-0.33325882577918853
179.0,-0.3334566537616969
180.0,-0.3333849783868899
181.0,-0.3328958105259292
182.0,-0.33272265764008097
183.0,-0.33198318006033833
184.0,-0.331678590469087
185.0,-0.33087572859974257
186.0,-0.3307305117876105
187.0,-0.3304510116380564
188.0,-0.3305012934140142
189.0,-0.3307430751776675
190.0,-0.33116187765516125
191.0,-0.3318958071688452
192.0,-0.3331254768012143
193.0,-0.3340070486895687
194.0,-0.33617311597423616
195.0,-0.33719635745594434
196.0,-0.33849692159465256
197.0,-0.3405666527769053
198.0,-0.3419255151238615
199.0,-0.34481452098623167
200.0,-0.3460561038448432
201.0,-0.34748466264530026
202.0,-0.3490239078786125
203.0,-0.35061703022193424
204.0,-0.35215553025451646
205.0,-0.3551077064955669
206.0,-0.35618689099778605
207.0,-0.357244595504589
208.0,-0.3583056194328158
209.0,-0.3597128547358962
210.0,-0.36046735404041336
211.0,-0.3615447480498719
212.0,-0.3621309443928393
213.0,-0.3626943396592123
214.0,-0.3634401382191353
215.0,-0.3637025881495369
216.0,-0.3639418678973837
217.0,-0.3641143632371887
218.0,-0.3643156857121424
219.0,-0.36441775702988327
220.0,-0.36467093158989033
221.0,-0.3648975468582074
222.0,-0.36521825466467556
223.0,-0.3654071397011695
224.0,-0.3658142854803757
225.0,-0.3660899793097656
226.0,-0.36681466003281604
227.0,-0.36725905214023596
228.0,-0.3683070335006485
229.0,-0.36891846052946375
230.0,-0.37029785761446854
231.0,-0.37158771694489406
232.0,-0.3724141216318036
233.0,-0.37412026566334694
234.0,-0.3757079545335314
235.0,-0.3766250101401321
236.0,-0.37848444905838924
237.0,-0.38013304553553695
238.0,-0.38104115813528017
239.0,-0.38278898279537643
240.0,-0.38426760857409853
241.0,-0.3855612926713564
242.0,-0.3864587114488319
243.0,-0.3876299128836494
244.0,-0.38854438349240283
245.0,-0.38933370814687746
246.0,-0.39009431629575975
247.0,-0.3907962954417914
248.0,-0.39154302383446365
249.0,-0.3922254900502412
250.0,-0.3932082207690571
251.0,-0.3938484920764162
252.0,-0.39524292372912045
253.0,-0.3960056607476866
254.0,-0.39765286904117725
255.0,-0.3985218764796512
256.0,-0.40039526634025047
257.0,-0.40202964371586963
258.0,-0.40297992927512116
259.0,-0.40491739009834965
260.0,-0.4066714561466022
261.0,-0.4079604554192339
262.0,-0.40972650610781475
263.0,-0.4113217346408838
264.0,-0.4122534188181505
265.0,-0.4139527169223785
266.0,-0.41481975007783756
267.0,-0.4165684265951146
268.0,-0.417398850522049
269.0,-0.41905586362287095
270.0,-0.4198387894969595
271.0,-0.42143028932775894
272.0,-0.4221675688420597
273.0,-0.4236852032154543
274.0,-0.4243805719083119
275.0,-0.42583554999028894
276.0,-0.42651068003536274
277.0,-0.4278806849308962
278.0,-0.4285237453490183
279.0,-0.430298434640459
280.0,-0.4307343244695802
281.0,-0.43154332479680885
282.0,-0.43206905989220973
283.0,-0.43327508642030016
284.0,-0.4336528131598735
285.0,-0.4341773595692641
286.0,-0.43524930504399967
287.0,-0.43580511387432946
288.0,-0.43689697886182877
289.0,-0.43747047899539465
290.0,-0.4386586867986774
291.0,-0.4392542969203281
292.0,-0.4405157643316773
293.0,-0.44114759956606864
294.0,-0.4424880689824411
295.0,-0.44314810590334214
296.0,-0.44399618894324544
297.0,-0.4453265298895254
298.0,-0.4462307798414276
299.0,-0.4481006967151099
300.0,-0.44887288959670835
301.0,-0.44978710737909006
302.0,-0.4516175745721028
303.0,-0.45241106599205444
304.0,-0.45336853014976364
305.0,-0.45486225354338716
306.0,-0.4558173093465829
307.0,-0.4579201136867365
308.0,-0.45877186542016285
309.0,-0.46008817224940796
310.0,-0.461025294146783
311.0,-0.4624696015789559
312.0,-0.4633841568679541
313.0,-0.46484226851913607
314.0,-0.4657625479521039
315.0,-0.46723230778357266
316.0,-0.4681221719423716
317.0,-0.4695440063851946
318.0,-0.47040017047343513
319.0,-0.4717309256791103
320.0,-0.4725321695852083
321.0,-0.4737796743680457
322.0,-0.47453466859154875
323.0,-0.47573910996539437
324.0,-0.4764994891771276
325.0,-0.4776715698153195
326.0,-0.4784152765572546
327.0,-0.4798692168661709
328.0,-0.4804607722722673
329.0,-0.48141668667397247
330.0,-0.482147148346813
331.0,-0.48359528481971775
332.0,-0.48425439423594624
333.0,-0.48560324799869614
334.0,-0.4867322350934762
335.0,-0.48761685153496603
336.0,-0.4888677938085786
337.0,-0.49006456934618914
338.0,-0.4912661902403879
339.0,-0.49248705590916037
340.0,-0.4937208135893194
341.0,-0.49497294843192846
342.0,-0.49621729666154113
343.0,-0.49745710389389075
344.0,-0.49867976439656325
345.0,-0.4998583793068021
346.0,-0.5009993792202937
347.0,-0.5021014323901299
348.0,-0.5031808759595476
349.0,-0.5042238298107232
350.0,-0.5057022959819119
351.0,-0.5062867695239167
352.0,-0.5071679387719044
353.0,-0.5080748653041164
354.0,-0.5094104080026692
355.0,-0.5099812226493611
356.0,-0.5112717281512253
357.0,-0.5118659374053988
358.0,-0.5132241154007762
359.0,-0.5138430417652678
360.0,-0.5152572772513929
361.0,-0.5158856179747666
362.0,-0.517341102202181
363.0,-0.5179763298339753
364.0,-0.5194421416103848
365.0,-0.5200677080883527
366.0,-0.5215163851538704
367.0,-0.5221294355397493
368.0,-0.5235390157851115
369.0,-0.52413750922113
370.0,-0.5255188273335432
371.0,-0.5261044812149973
372.0,-0.527472896452849
373.0,-0.5280473652302117
374.0,-0.5293521988480885
375.0,-0.5299054632287107
376.0,-0.5311947999336751
377.0,-0.5317519865808764
378.0,-0.5330113032571214
379.0,-0.5335586624430348
380.0,-0.5348298112770552
381.0,-0.5355012574782535
382.0,-0.5363203493732063
383.0,-0.5376115932424133
