"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-3.7199999999999998,-0.6429336667060852
-3.7800000000000002,-0.623754620552063
-3.84,-0.6063894033432007
-3.9000000000000004,-0.5910073518753052
-3.96,-0.569873571395874
-4.0200000000000005,-0.554077684879303
-4.08,-0.5383374094963074
-4.14,-0.5226839184761047
-4.199999999999999,-0.5081366896629333
-4.26,-0.4926939904689789
-4.32,-0.4707677662372589
-4.38,-0.4555788040161133
-4.4399999999999995,-0.4406530559062958
-4.5,-0.4273363947868347
-4.5600000000000005,-0.4106546640396118
-4.62,-0.3980781137943268
-4.68,-0.38186079263687134
0.0,-1.6771926879882812
-0.06,-1.6640751361846924
-0.12,-1.6627936363220215
-0.18,-1.6672970056533813
-0.24,-1.6625611782073975
-0.30000000000000004,-1.6491483449935913
-0.36,-1.6441503763198853
-0.42000000000000004,-1.6261732578277588
-0.48,-1.5037884712219238
-0.54,-1.3990561962127686
-0.6000000000000001,-1.240604043006897
-0.66,-1.1741009950637817
-0.72,-1.1401238441467285
-0.78,-1.304889440536499
-0.8400000000000001,-1.4491904973983765
-0.8999999999999999,-1.4837652444839478
-0.96,-1.469719648361206
-1.02,-1.4638394117355347
-1.08,-1.4494578838348389
-1.1400000000000001,-1.4337962865829468
-1.2000000000000002,-1.4225232601165771
-1.26,-1.4070920944213867
-1.32,-1.3896719217300415
-1.3800000000000001,-1.3703947067260742
-1.44,-1.354142427444458
-1.5,-1.3376100063323975
-1.56,-1.317328691482544
-1.62,-1.30199134349823
-1.6800000000000002,-1.2773133516311646
-1.7399999999999998,-1.261502742767334
-1.7999999999999998,-1.2400215864181519
-1.8599999999999999,-1.223757266998291
-1.92,-1.2071187496185303
-1.98,-1.1828802824020386
-2.04,-1.163442611694336
-2.0999999999999996,-1.1491681337356567
-2.16,-1.1228574514389038
-2.2199999999999998,-1.105784296989441
-2.2800000000000002,-1.0882937908172607
-2.34,-1.0705446004867554
-2.4000000000000004,-1.0456857681274414
-2.46,-1.0278689861297607
-2.52,-1.0101536512374878
-2.58,-0.9852805137634277
-2.64,-0.967739999294281
-2.7,-0.9503494501113892
-2.7600000000000002,-0.9258981943130493
-2.82,-0.9083494544029236
-2.88,-0.8913791179656982
-2.94,-0.8763818740844727
-3.0,-0.8594392538070679
-3.06,-0.8336681127548218
-3.12,-0.8189655542373657
-3.18,-0.795556366443634
-3.24,-0.7796816229820251
-3.3000000000000003,-0.765072226524353
-3.3600000000000003,-0.7421614527702332
-3.42,-0.7267388701438904
-3.4799999999999995,-0.7122383713722229
-3.54,-0.6897730231285095
-3.5999999999999996,-0.6744554042816162
-3.66,-0.6592475175857544
-4.74,-0.3613020181655884
-4.800000000000001,-0.34748297929763794
-4.86,-0.3356408178806305
-4.92,-0.3175452649593353
-4.9799999999999995,-0.30594518780708313
-5.04,-0.28804007172584534
-5.1,-0.2765580117702484
-5.16,-0.2588232755661011
-5.22,-0.24744944274425507
-5.28,-0.22987142205238342
-5.34,-0.21237695217132568
-5.4,-0.20114955306053162
-5.46,-0.1887819766998291
-5.5200000000000005,-0.1726304590702057
-5.58,-0.16034890711307526
-5.64,-0.14313149452209473
-5.699999999999999,-0.13206017017364502
-5.76,-0.11443252861499786
-5.82,-0.10286146402359009
-5.88,-0.08803126960992813
-5.9399999999999995,-0.06919854879379272
-6.0,-0.05932772532105446
