"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,3.5849567170950496
2.0,2.4045059791327974
3.0,0.7022857330293949
4.0,-0.22386860368750844
5.0,-0.15995680345103797
6.0,-0.4001759461331215
7.0,-0.44391826662712114
8.0,-0.583994753764089
9.0,-0.6308754642795994
10.0,-0.8122029795968363
11.0,-1.0462627725496196
12.0,-1.026526021380428
13.0,-0.96842656217448
14.0,-0.7334032559749877
15.0,-0.45570604803661363
16.0,-0.3826081865592318
17.0,-0.16225204349028555
18.0,-0.14613514489999652
19.0,-0.05432357822142923
20.0,-0.05275215416842533
21.0,-0.07828117960324144
22.0,-0.09341826969966666
23.0,-0.21826836512758682
24.0,-0.23613696212674126
25.0,-0.33903363883394816
26.0,-0.34837843296838494
27.0,-0.3518470430722886
28.0,-0.35086467804272337
29.0,-0.3481456384489504
30.0,-0.3440310414316249
31.0,-0.31898441027719143
32.0,-0.31183561098966955
33.0,-0.3015763358890748
34.0,-0.28014797569682026
35.0,-0.2585342850079005
36.0,-0.24865046661021736
37.0,-0.23005162639144602
38.0,-0.21618217822387803
39.0,-0.21158627901216778
40.0,-0.20627538696738637
41.0,-0.20529129567273235
42.0,-0.2058332135239444
43.0,-0.2077542067426807
44.0,-0.2105884337788315
45.0,-0.21809776459106495
46.0,-0.22325144034609787
47.0,-0.23411836235410732
48.0,-0.2445337580762795
49.0,-0.2542007699861489
50.0,-0.25850276904054365
51.0,-0.2616478474787085
52.0,-0.2654175008997143
53.0,-0.2664834868115524
54.0,-0.26648662111463134
55.0,-0.26496879926014544
56.0,-0.2629089747079884
57.0,-0.26015830828849756
58.0,-0.25529254333721596
59.0,-0.2500864399970677
60.0,-0.24405876109579927
61.0,-0.23776003490472972
62.0,-0.23133793511302458
63.0,-0.2251961185705551
64.0,-0.21952340631067097
65.0,-0.2151056981037243
66.0,-0.21250607410778968
67.0,-0.2101843231521686
68.0,-0.20948066718625502
69.0,-0.2098532563168139
70.0,-0.21144909237847676
71.0,-0.21400745720290196
72.0,-0.21715801200656779
73.0,-0.22123637737006047
74.0,-0.22495656697811578
75.0,-0.2285024208208765
76.0,-0.23131099185923712
77.0,-0.23360437462095548
78.0,-0.23542695106417236
79.0,-0.23668378708838175
80.0,-0.2371184488639028
81.0,-0.23687207394774926
82.0,-0.23581321583165032
83.0,-0.233857907358257
84.0,-0.22958678284088094
85.0,-0.22686731490242518
86.0,-0.2218915280748155
87.0,-0.21912354367146294
88.0,-0.21420158001900844
89.0,-0.210318683086045
90.0,-0.20694003806683106
91.0,-0.20458835610499512
92.0,-0.20220751207448853
93.0,-0.2006227374412101
94.0,-0.2000865125431477
95.0,-0.20056232354709222
96.0,-0.2009992436873307
97.0,-0.2017605259155249
98.0,-0.204136261110328
99.0,-0.20502017703589123
100.0,-0.2072261924134096
101.0,-0.2073683227519755
102.0,-0.20731649730059187
103.0,-0.20745952728395692
104.0,-0.20744447637651664
105.0,-0.2078828134882106
106.0,-0.2085559704559586
107.0,-0.20943585627468542
108.0,-0.2110316700306258
109.0,-0.21241241229450178
110.0,-0.2140296892334008
111.0,-0.21662483390755402
112.0,-0.21833410436548847
113.0,-0.2199729609587826
114.0,-0.222282236937594
115.0,-0.2239858311307989
116.0,-0.22668362866852562
117.0,-0.22994796373140788
118.0,-0.233137860652611
119.0,-0.23700382602550926
120.0,-0.2407051726984628
121.0,-0.24374363937337265
122.0,-0.25046387978689405
123.0,-0.25282930839418155
124.0,-0.25724076272412005
125.0,-0.2614784908801292
126.0,-0.26381301446100897
127.0,-0.26684795134652634
128.0,-0.26956910585560967
129.0,-0.27153027361674503
130.0,-0.27314172535947745
131.0,-0.27335722855559236
132.0,-0.2723682091914667
133.0,-0.270129684585681
134.0,-0.26878718313742367
135.0,-0.26559445310617125
136.0,-0.26374439444045245
137.0,-0.2619017031497353
138.0,-0.25963045346817165
139.0,-0.25828758666381385
140.0,-0.2572978322909303
141.0,-0.2562989343481471
142.0,-0.2560437733765877
143.0,-0.2563023947783043
144.0,-0.2570015016467588
145.0,-0.2586145747685569
146.0,-0.26016616141701693
147.0,-0.26252889730957324
148.0,-0.2643120009500063
149.0,-0.2668820023022724
150.0,-0.2698129511769455
151.0,-0.27148689519339203
152.0,-0.27279727282260746
153.0,-0.27339014044224863
154.0,-0.2731576622053623
155.0,-0.272863528706092
156.0,-0.27203317470647453
157.0,-0.27087789190655165
158.0,-0.269759326168052
159.0,-0.26864640373860604
160.0,-0.2680489899889297
161.0,-0.2672886760388386
162.0,-0.26714827695997473
163.0,-0.2673206902634951
164.0,-0.26780623118193336
165.0,-0.2687963465582628
166.0,-0.2702122017057199
167.0,-0.2720043535127871
168.0,-0.27411366634212103
169.0,-0.2771190491260036
170.0,-0.27919051158941116
171.0,-0.28123081720940984
172.0,-0.283540307500174
173.0,-0.28461885866317493
174.0,-0.28615111407901483
175.0,-0.28741502691720816
176.0,-0.28840150124238667
177.0,-0.28916447833755604
178.0,-0.2898452009039167
179.0,-0.290079681390718
180.0,-0.29045631098076263
181.0,-0.2906165206043385
182.0,-0.2907733714339225
183.0,-0.2912177327786766
184.0,-0.29157403685063243
185.0,-0.2921672483541816
186.0,-0.2927846144135174
187.0,-0.29354206790969084
188.0,-0.29439543167742394
189.0,-0.2954309330362857
190.0,-0.2966925226098903
191.0,-0.2980779869992194
192.0,-0.29949672586553927
193.0,-0.30106851818948993
194.0,-0.30260278040808597
195.0,-0.3041846265890109
196.0,-0.30541443640540367
197.0,-0.3071718804470874
198.0,-0.308413890617611
199.0,-0.31014356322950504
200.0,-0.31172969438763337
201.0,-0.31284134486021936
202.0,-0.31427183818032844
203.0,-0.315291356950345
204.0,-0.3165404420858637
205.0,-0.31734757668821206
206.0,-0.31842815164143823
207.0,-0.31890396238760743
208.0,-0.31983029377052635
209.0,-0.32031598791712584
210.0,-0.3213019292182738
211.0,-0.3217527284575155
212.0,-0.3224964949205803
213.0,-0.3234374093796519
214.0,-0.32395113950608
215.0,-0.3248200884296163
216.0,-0.32571942776479446
217.0,-0.3270154132124104
218.0,-0.3277782745057384
219.0,-0.3295732035336496
220.0,-0.33048989293729186
221.0,-0.33216278034490343
222.0,-0.33390215993872613
223.0,-0.33564628648730666
224.0,-0.3380011865297641
225.0,-0.33914674690396623
226.0,-0.34098452936200047
227.0,-0.3422144580722961
228.0,-0.34408105404964506
229.0,-0.3452271354499951
230.0,-0.3475825347386594
231.0,-0.3484051372782349
232.0,-0.3494687186455794
233.0,-0.3500627681151323
234.0,-0.35084552384846995
235.0,-0.3509014973704958
236.0,-0.35096195008614856
237.0,-0.3510575910956751
238.0,-0.35098675880455343
239.0,-0.3509092274376096
240.0,-0.3502783092860519
241.0,-0.3500657626700449
242.0,-0.3500330682628518
243.0,-0.3497664792752262
244.0,-0.3497596866872523
245.0,-0.34989623101190753
246.0,-0.35025303585606216
247.0,-0.3509106334221563
248.0,-0.35177673336888826
249.0,-0.35318421457092997
250.0,-0.35401472998612765
