"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-0.8999999999999999,-1.2584015130996704
-0.96,-1.4506393671035767
-1.02,-1.5647187232971191
-1.08,-1.5675225257873535
-1.1400000000000001,-1.5583367347717285
-1.2000000000000002,-1.5393849611282349
-1.26,-1.5258729457855225
-1.32,-1.511946201324463
-1.3800000000000001,-1.4914559125900269
-1.44,-1.4757747650146484
-1.5,-1.455926537513733
-1.56,-1.4417037963867188
-1.62,-1.4215673208236694
-1.6800000000000002,-1.4018851518630981
-1.7399999999999998,-1.3805413246154785
-1.7999999999999998,-1.362922191619873
-1.8599999999999999,-1.3457428216934204
-1.92,-1.3219234943389893
-1.98,-1.3066486120224
-2.04,-1.2877506017684937
-2.0999999999999996,-1.269728660583496
-2.16,-1.2402993440628052
-2.2199999999999998,-1.22102689743042
-2.2800000000000002,-1.2064439058303833
-2.34,-1.1819621324539185
-2.4000000000000004,-1.164004921913147
-2.46,-1.139471173286438
-2.52,-1.1214767694473267
-2.58,-1.1033936738967896
-2.64,-1.0780340433120728
-2.7,-1.0603739023208618
-2.7600000000000002,-1.0334820747375488
-2.82,-1.015092134475708
-2.88,-0.9985472559928894
-2.94,-0.9763215184211731
-3.0,-0.9563946723937988
-3.06,-0.9344325661659241
-3.12,-0.9147437214851379
-3.18,-0.8907135128974915
-3.24,-0.8731175065040588
-3.3000000000000003,-0.8494256734848022
-3.3600000000000003,-0.834854245185852
-3.42,-0.8144538998603821
-3.4799999999999995,-0.7914369106292725
-3.54,-0.7739470601081848
-3.5999999999999996,-0.7531032562255859
-3.66,-0.7365696430206299
-3.7199999999999998,-0.7202221155166626
-3.7800000000000002,-0.6950505971908569
-3.84,-0.6755759119987488
-3.9000000000000004,-0.6562761664390564
-3.96,-0.6413851380348206
-4.0200000000000005,-0.6224167346954346
-4.08,-0.6036220192909241
-4.14,-0.5893283486366272
-4.199999999999999,-0.5707480907440186
-4.26,-0.5523162484169006
-4.32,-0.5290157198905945
-4.38,-0.5109687447547913
-4.4399999999999995,-0.4969090521335602
-4.5,-0.47907885909080505
-4.5600000000000005,-0.4613315761089325
-4.62,-0.44522354006767273
-4.68,-0.4240279793739319
-4.74,-0.4115528464317322
-4.800000000000001,-0.3943556249141693
-4.86,-0.37342604994773865
-4.92,-0.3636948764324188
-4.9799999999999995,-0.3412773907184601
-5.04,-0.3271483778953552
-5.1,-0.3060811161994934
-5.16,-0.2921001613140106
-5.22,-0.27815449237823486
-5.28,-0.2573354244232178
-5.34,-0.2435263842344284
-5.4,-0.2297615259885788
-5.46,-0.20917484164237976
-5.5200000000000005,-0.19550903141498566
-5.58,-0.1750553846359253
-5.64,-0.16142819821834564
-5.699999999999999,-0.14787165820598602
-5.76,-0.12756173312664032
-5.82,-0.11405757814645767
-5.88,-0.09381456673145294
-5.9399999999999995,-0.08034588396549225
-6.0,-0.06689886003732681
0.0,-1.8821498155593872
-0.06,-1.8877296447753906
-0.12,-1.8792880773544312
-0.18,-1.8858221769332886
-0.24,-1.8813573122024536
-0.30000000000000004,-1.8724119663238525
-0.36,-1.8585981130599976
-0.42000000000000004,-1.8563214540481567
-0.48,-1.853402018547058
-0.54,-1.8350980281829834
-0.6000000000000001,-1.8104126453399658
-0.66,-1.6190457344055176
-0.72,-1.4639766216278076
-0.78,-1.2367031574249268
-0.8400000000000001,-1.1674304008483887
