"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,2.6094591362091233
2.0,1.8217881751392404
3.0,1.0664347996738917
4.0,-0.6207303565554437
5.0,-0.6453988875606158
6.0,-0.690054975923822
7.0,-0.7767032244486546
8.0,-0.8004828530833275
9.0,-0.875642821886574
10.0,-0.9981282833176752
11.0,-0.9591970450996744
12.0,-0.8997080168772787
13.0,-0.7784397032104032
14.0,-0.6526616846481169
15.0,-0.47754778764768474
16.0,-0.44066777014992853
17.0,-0.22657552348070412
18.0,-0.2114321506363456
19.0,-0.17934249307579198
20.0,-0.18272054917419328
21.0,-0.2458720298782449
22.0,-0.2639468103559679
23.0,-0.2834630830940337
24.0,-0.49760352372029815
25.0,-0.5111021399311342
26.0,-0.518715964342797
27.0,-0.5219878776685596
28.0,-0.5194572423080984
29.0,-0.5127739213727047
30.0,-0.49838688979329443
31.0,-0.480202544417121
32.0,-0.46857685513171193
33.0,-0.44233366449000067
34.0,-0.4289500822096858
35.0,-0.40183219990237695
36.0,-0.3900747979887305
37.0,-0.36831539525975426
38.0,-0.3598567565739059
39.0,-0.35258706442880794
40.0,-0.34731983419742624
41.0,-0.3438923851251333
42.0,-0.34281922318989494
43.0,-0.3440222749777315
44.0,-0.34705041328102476
45.0,-0.35214615689899026
46.0,-0.3642947886075533
47.0,-0.3741154999521686
48.0,-0.38455393890094486
49.0,-0.3949337925614646
50.0,-0.4046496481650543
51.0,-0.411067366055467
52.0,-0.4165770662396041
53.0,-0.42081004322211935
54.0,-0.42414570273871055
55.0,-0.4261442883500504
56.0,-0.4269274334024157
57.0,-0.4264979706406282
58.0,-0.42505080955049507
59.0,-0.4223396720360509
60.0,-0.41882008778905877
61.0,-0.4145668559676273
62.0,-0.4099887376867546
63.0,-0.40489446239820215
64.0,-0.39985408369716446
65.0,-0.39511327835546695
66.0,-0.39051031945760767
67.0,-0.3867395907320109
68.0,-0.3837495590222289
69.0,-0.3815941527205678
70.0,-0.3803724656237326
71.0,-0.3801273608351065
72.0,-0.3807874915495863
73.0,-0.3824347405122251
74.0,-0.385605882418911
75.0,-0.38881922932619584
76.0,-0.3936171253743368
77.0,-0.3986781123186759
78.0,-0.40419028530158657
79.0,-0.40816393622339653
80.0,-0.4131133692607906
81.0,-0.4176081652418315
82.0,-0.4206246810673982
83.0,-0.42368274170807635
84.0,-0.42556296934807647
85.0,-0.42704055072622155
86.0,-0.4275887118193167
87.0,-0.4274452695561224
88.0,-0.4268053375328117
89.0,-0.42552609598764135
90.0,-0.4243321394124967
91.0,-0.42225189293516924
92.0,-0.42096169250860666
93.0,-0.4191023722250551
94.0,-0.4180699031688169
95.0,-0.41638998815506517
96.0,-0.4158274735888892
97.0,-0.415456075378766
98.0,-0.41503572405381156
99.0,-0.4152700521854724
100.0,-0.4149433258374485
101.0,-0.41553232172738985
102.0,-0.41707245207309984
103.0,-0.4175242006185191
104.0,-0.4173585393563697
105.0,-0.41722708870943936
106.0,-0.4171915436672728
107.0,-0.4141734730936663
108.0,-0.41292383141888717
109.0,-0.4112272444330424
110.0,-0.40816888904635723
111.0,-0.4068827349369399
112.0,-0.4026707651422252
113.0,-0.4024723638105745
114.0,-0.40290202934508074
115.0,-0.40490732780790306
116.0,-0.4065520710402858
117.0,-0.41062711359035176
118.0,-0.4135536207189874
119.0,-0.41972418801051853
120.0,-0.4237009453056975
121.0,-0.4317600018850888
122.0,-0.43950733283890475
123.0,-0.4441294058167441
124.0,-0.45076021141964656
125.0,-0.4560901919965696
126.0,-0.4637778501919156
127.0,-0.4710955288087976
128.0,-0.48103580312907507
129.0,-0.4860477338800398
130.0,-0.4959824286600982
131.0,-0.504160310281957
132.0,-0.5119702780388021
133.0,-0.5203687411553243
134.0,-0.5295339857498644
135.0,-0.5337206933342763
136.0,-0.5412498040907067
137.0,-0.5446682428699088
138.0,-0.5511964510083671
139.0,-0.5541059016714367
140.0,-0.5582348920880722
141.0,-0.5613115474672119
142.0,-0.5639277046408849
143.0,-0.5661768723538817
144.0,-0.5677410919960979
145.0,-0.5688440981668044
146.0,-0.5694674017425978
147.0,-0.569765448961076
148.0,-0.5697618800725232
149.0,-0.5698851782693274
150.0,-0.5700994310923061
151.0,-0.5705800769541732
152.0,-0.5711731977168666
153.0,-0.5720036214214218
154.0,-0.573240959481181
155.0,-0.574478711885658
156.0,-0.5767037307285391
157.0,-0.5782712655735701
158.0,-0.5802519412825199
159.0,-0.5825840131902158
160.0,-0.5853541890071431
161.0,-0.5883799383764583
162.0,-0.5918109071293546
163.0,-0.5953214034162342
164.0,-0.598996648762226
165.0,-0.6029842392752744
166.0,-0.6070980094777618
167.0,-0.6109788187979125
168.0,-0.614877828916008
169.0,-0.6185819038677662
170.0,-0.6224327360665655
171.0,-0.627295067294217
172.0,-0.6332133836717466
173.0,-0.6363615576616137
174.0,-0.639534691257679
175.0,-0.6424546546866655
176.0,-0.645334219064452
177.0,-0.6480500135394476
178.0,-0.6507664461872997
179.0,-0.6533054239062858
180.0,-0.6557391493377714
181.0,-0.6584985355346799
182.0,-0.660417122065464
183.0,-0.6624462492386732
184.0,-0.6639442419110294
185.0,-0.6653182672702077
186.0,-0.6666149628455496
187.0,-0.6673134278747244
188.0,-0.6681279325691444
189.0,-0.6681123683103085
190.0,-0.6679988132556348
191.0,-0.6675184377934208
192.0,-0.6670824697064217
193.0,-0.6669032430695844
194.0,-0.6668559784025191
195.0,-0.667116959726558
196.0,-0.6679585668851532
197.0,-0.6690317956742458
198.0,-0.6707088141678689
199.0,-0.6723432892956465
200.0,-0.6745184733994102
201.0,-0.6767581409267317
202.0,-0.6785223944264966
203.0,-0.6814266024434384
204.0,-0.6834658891889519
205.0,-0.6858977263239195
206.0,-0.6892718297478924
207.0,-0.6920285621414687
208.0,-0.6968808604192456
209.0,-0.699832690138023
210.0,-0.7046475883359768
211.0,-0.7075095677703617
212.0,-0.7126322290269953
213.0,-0.7153686230553
214.0,-0.7194513450285357
215.0,-0.7232653311942283
216.0,-0.7262406862323156
217.0,-0.7310923665785138
218.0,-0.7336263490630515
219.0,-0.7364020684357538
220.0,-0.7400437863594617
221.0,-0.7426166427182059
222.0,-0.7453559713734687
223.0,-0.7488268185213182
224.0,-0.7513230796383524
225.0,-0.7538858489591062
226.0,-0.7569367908440335
227.0,-0.7590942887361577
228.0,-0.7612939122391067
229.0,-0.7634855549765606
230.0,-0.7656124257184779
231.0,-0.7677434547212744
232.0,-0.7696496877485435
233.0,-0.7715223518106529
234.0,-0.7734536740291256
235.0,-0.7748266369270825
236.0,-0.7762715389082583
237.0,-0.777875465210614
238.0,-0.7787943930095813
239.0,-0.780264474683929
240.0,-0.7814627682789573
241.0,-0.7827684797445978
242.0,-0.7844809326911376
243.0,-0.7858262419118436
244.0,-0.7879841723379133
245.0,-0.7895453006045331
246.0,-0.7919888466165081
247.0,-0.7941647768766951
248.0,-0.7965627324912911
249.0,-0.7985254958870742
250.0,-0.8014851499735823
251.0,-0.8042402173185789
252.0,-0.8069002950561777
253.0,-0.8096661087035069
254.0,-0.8124535335245618
255.0,-0.815229354963853
256.0,-0.8180239664333936
257.0,-0.820845555074039
258.0,-0.8235790365338195
259.0,-0.8262697624582184
260.0,-0.828721748483943
261.0,-0.831550648344796
262.0,-0.8333731962338883
263.0,-0.8352417424146138
