"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,6.300852330461499
2.0,4.084582837377914
3.0,1.6019477662978716
4.0,-0.7859201235613894
5.0,-0.7739902182187106
6.0,-0.8231034119499935
7.0,-0.9433950175741622
8.0,-0.965857497779097
9.0,-1.0451364281078281
10.0,-1.1298610657992938
11.0,-1.0439474979611327
12.0,-0.9406051951512108
13.0,-0.7725731649028393
14.0,-0.612711744812828
15.0,-0.4061207160484421
16.0,-0.3650153362724817
17.0,-0.157972744456598
18.0,-0.14181551782541776
19.0,-0.12108852440870436
20.0,-0.12936218330221552
21.0,-0.22359491313854252
22.0,-0.24243441081405862
23.0,-0.2619483265923198
24.0,-0.4829798246927451
25.0,-0.4948778199258203
26.0,-0.5000581904766002
27.0,-0.49907505518395057
28.0,-0.4924229251892974
29.0,-0.48108510550214206
30.0,-0.4623289664458506
31.0,-0.43998735925315174
32.0,-0.42625175766688655
33.0,-0.3957686775463965
34.0,-0.3807499185399433
35.0,-0.3515565728543106
36.0,-0.3389857852905036
37.0,-0.31662126848162736
38.0,-0.3079603368532459
39.0,-0.3006265843980153
40.0,-0.2950402345541663
41.0,-0.29153233074758517
42.0,-0.2904147862555935
43.0,-0.2919004033722127
44.0,-0.29548647922688726
45.0,-0.30110729674082826
46.0,-0.3147143811180889
47.0,-0.3252242037610276
48.0,-0.33612204597935713
49.0,-0.34627349349336856
50.0,-0.35534011683718925
51.0,-0.360816530027072
52.0,-0.3650079875944966
53.0,-0.36768755862019814
54.0,-0.3693079860057907
55.0,-0.3693381255994987
56.0,-0.36809298810977964
57.0,-0.36546947991586204
58.0,-0.3621106187940804
59.0,-0.3576019172310739
60.0,-0.3525915534144293
61.0,-0.3474043560637037
62.0,-0.3421360435539945
63.0,-0.33691424617826177
64.0,-0.3319336686702061
65.0,-0.32751171592674994
66.0,-0.3235343966505757
67.0,-0.32036464999328546
68.0,-0.31805691524089036
69.0,-0.31650306773157355
70.0,-0.3156605259947143
71.0,-0.31576941468201225
72.0,-0.3166578631310187
73.0,-0.3183130819486496
74.0,-0.32106229206270115
75.0,-0.3237020212615955
76.0,-0.32754289045778134
77.0,-0.33146773263961954
78.0,-0.3355979662065068
79.0,-0.3383355260848796
80.0,-0.3415185848446634
81.0,-0.3443371788408144
82.0,-0.34600677951087094
83.0,-0.3473944825589958
84.0,-0.3479225228760561
85.0,-0.3474949623613767
86.0,-0.3465403285791762
87.0,-0.344450181663149
88.0,-0.34240954866838
89.0,-0.33954210054621226
90.0,-0.33721195530803927
91.0,-0.33376645894580914
92.0,-0.33128847636794106
93.0,-0.32783959583101796
94.0,-0.32544492013022847
95.0,-0.3212929318953479
96.0,-0.319355059851907
97.0,-0.3174839312072752
98.0,-0.3145034224224546
99.0,-0.31329211571876164
100.0,-0.3088639083286118
101.0,-0.3079901077317586
102.0,-0.30571449535411405
103.0,-0.30326379706856965
104.0,-0.29807508642436065
105.0,-0.29263650941453756
106.0,-0.2893103834401552
107.0,-0.28040178445785113
108.0,-0.2766631424261257
109.0,-0.27141261418288004
110.0,-0.2644681861453936
111.0,-0.2612185194220388
112.0,-0.2528278782389228
113.0,-0.2517241203426486
114.0,-0.25115340418350074
115.0,-0.25196311550079986
116.0,-0.2533908836532094
117.0,-0.2578096016021583
118.0,-0.26127781040295045
119.0,-0.2686954401190218
120.0,-0.27313013548681214
121.0,-0.2813712892364627
122.0,-0.2884856066614828
123.0,-0.2921801406396073
124.0,-0.2971035486030249
125.0,-0.301158449986938
126.0,-0.3069600880812924
127.0,-0.3130274455171416
128.0,-0.32228723711205814
129.0,-0.32758417953394825
130.0,-0.338687199190132
131.0,-0.34853611613550667
132.0,-0.35781103807483894
133.0,-0.36764047481206263
134.0,-0.37744948393266753
135.0,-0.38184956241675594
136.0,-0.38954967511437844
137.0,-0.3928284146012832
138.0,-0.39861798545447635
139.0,-0.4009076999530336
140.0,-0.40382187493090504
141.0,-0.40548962843575087
142.0,-0.4063493176789408
143.0,-0.4068177745292833
144.0,-0.40648417075055127
145.0,-0.4056538167878364
146.0,-0.4042694866000822
147.0,-0.40313219760487484
148.0,-0.4007932060071487
149.0,-0.39977843369356797
150.0,-0.3989058664611219
151.0,-0.3984360285908319
152.0,-0.39808874777876735
153.0,-0.39819881265216606
154.0,-0.3985670619003344
155.0,-0.3992198593552614
156.0,-0.4005834627754777
157.0,-0.40159215141479393
158.0,-0.40292479078256555
159.0,-0.4045776094734336
160.0,-0.406602315538622
161.0,-0.40883302178760816
162.0,-0.411435325239606
163.0,-0.4141209630708228
164.0,-0.4170075685849891
165.0,-0.42019085747775603
166.0,-0.42350674557882373
167.0,-0.4266753084817934
168.0,-0.42990166018701825
169.0,-0.43300624473650773
170.0,-0.43627250889724717
171.0,-0.4404958680837462
172.0,-0.4456733621441725
173.0,-0.4483493242518502
174.0,-0.4509479944964689
175.0,-0.4532227580354488
176.0,-0.45536226926664547
177.0,-0.45720143039126554
178.0,-0.4589357483832136
179.0,-0.4603900462052334
180.0,-0.46163783187798463
181.0,-0.46284537213284493
182.0,-0.4635241569184307
183.0,-0.4639347259048297
184.0,-0.4642108786946742
185.0,-0.4642944552219472
186.0,-0.46350909915146193
187.0,-0.46304405658451564
188.0,-0.46194019297188715
189.0,-0.46022469971574237
190.0,-0.4585489288354863
191.0,-0.45665619525076145
192.0,-0.4548793462176607
193.0,-0.45346338678323656
194.0,-0.45218858256710515
195.0,-0.4514292686756117
196.0,-0.4508565362428861
197.0,-0.4507217766226519
198.0,-0.45078932061864574
199.0,-0.4510327337735932
200.0,-0.451375000655072
201.0,-0.45185205789670985
202.0,-0.4525061242748886
203.0,-0.4536102839233099
204.0,-0.4546243874818557
205.0,-0.45596438467578315
206.0,-0.45805570813866675
207.0,-0.45987644401985733
208.0,-0.46339085451528816
209.0,-0.46556779741596466
210.0,-0.46918977771523374
211.0,-0.47134820310390313
212.0,-0.47519357445106825
213.0,-0.47719364597796615
214.0,-0.48017832383624487
215.0,-0.4828900282795325
216.0,-0.4849383033219101
217.0,-0.48823582471675187
218.0,-0.4898931141236896
219.0,-0.49166304232099683
220.0,-0.4939824627262632
221.0,-0.4955418793017311
222.0,-0.497208097479008
223.0,-0.49928700989470826
224.0,-0.5007384640008901
225.0,-0.5022268498212445
226.0,-0.5038828782121242
227.0,-0.5050152828808401
228.0,-0.5061467644965841
229.0,-0.5071865450321553
230.0,-0.5081458589545206
231.0,-0.5090668271426942
232.0,-0.5097359541300246
233.0,-0.5103525058185345
234.0,-0.5106618143466527
235.0,-0.510870364228891
236.0,-0.5111138125290725
237.0,-0.5111291223680918
238.0,-0.511204545845818
239.0,-0.5113656834765345
240.0,-0.5113271002542484
241.0,-0.5117063319205628
242.0,-0.5120890504402689
243.0,-0.5125178137322904
244.0,-0.5133855348431803
245.0,-0.5140828522274126
246.0,-0.5152826247238365
247.0,-0.5163570419626684
248.0,-0.5176533128862201
249.0,-0.5187911514603429
250.0,-0.5205676815801233
251.0,-0.5222377328691274
252.0,-0.5238158816091141
253.0,-0.5254828165172253
254.0,-0.527156129441389
255.0,-0.5287575194915254
256.0,-0.5303292937434314
257.0,-0.5318775490776978
258.0,-0.5333176021349317
259.0,-0.5346454297443501
260.0,-0.5357103180617261
261.0,-0.5367040976307743
262.0,-0.5372068602086605
263.0,-0.5374329327434041
264.0,-0.5376826222371212
265.0,-0.5377793831581335
266.0,-0.5378823382749663
267.0,-0.5376549951075411
268.0,-0.5375895758919429
269.0,-0.5373831976150935
270.0,-0.5369636533787323
271.0,-0.5367318172985683
272.0,-0.536104985858742
273.0,-0.5357812649237026
274.0,-0.5353373279720725
275.0,-0.5353852587883566
276.0,-0.5355815238192414
277.0,-0.5358857284262131
278.0,-0.5364073987887292
279.0,-0.5368899608336352
280.0,-0.5374364716335562
281.0,-0.5381928622654255
282.0,-0.5391005821840611
283.0,-0.5404826412609216
284.0,-0.541914236541576
285.0,-0.543094198328151
286.0,-0.5449341168455739
287.0,-0.54690357374111
288.0,-0.5490480874157008
289.0,-0.5502900988127218
290.0,-0.5530401568543277
291.0,-0.5555801113870935
292.0,-0.5581953946502329
293.0,-0.559546008935748
294.0,-0.5624150381237252
295.0,-0.5649276102318587
296.0,-0.5661885742932321
297.0,-0.5698065722365422
298.0,-0.5706087840174603
299.0,-0.5719045364479662
300.0,-0.5730627662164984
301.0,-0.5734208548583045
302.0,-0.5719546196764738
303.0,-0.5720446336055622
304.0,-0.57205866547943
305.0,-0.5719057747143679
306.0,-0.5716265348118451
307.0,-0.5707281299757025
308.0,-0.5709075606152771
309.0,-0.5707387101879732
310.0,-0.5710537844143775
311.0,-0.5718706032934463
312.0,-0.5729423791657675
313.0,-0.5742568970876202
314.0,-0.5765061207016814
315.0,-0.5773083750772781
316.0,-0.5798671907759849
317.0,-0.5806854154621065
318.0,-0.5832114386959436
319.0,-0.5840163332360844
320.0,-0.5864848481722864
321.0,-0.587235836798878
322.0,-0.5893679594394552
323.0,-0.5900421633899391
324.0,-0.5918298589849693
325.0,-0.5924242001253914
326.0,-0.5939042789283008
327.0,-0.5944255030823831
328.0,-0.5957276839373465
329.0,-0.5962264382638094
330.0,-0.5975135207246448
331.0,-0.5980131688728136
332.0,-0.5993518327270403
333.0,-0.5998950783226744
334.0,-0.6014807859312317
335.0,-0.602063754658857
336.0,-0.6038639141697218
337.0,-0.6044851297858028
338.0,-0.6064373822401493
339.0,-0.6071045033238296
340.0,-0.6093235738747852
341.0,-0.6100149416502371
342.0,-0.6126178532070954
343.0,-0.6132578836969538
344.0,-0.6151545924511246
345.0,-0.6157893055807533
346.0,-0.6177656147453687
347.0,-0.618369868440319
348.0,-0.6201868568546446
349.0,-0.6207618818415492
350.0,-0.6227934908280359
351.0,-0.62330084039151
352.0,-0.6245689472659521
353.0,-0.6255007399052399
354.0,-0.6265428030756578
355.0,-0.6280942964413199
356.0,-0.6286151103415373
357.0,-0.6302553205419129
358.0,-0.6307431347384037
359.0,-0.6324526423611884
360.0,-0.6329419448574252
361.0,-0.6344424436387203
362.0,-0.6351577183083799
363.0,-0.6369556804175456
364.0,-0.6374444000328343
365.0,-0.6389792192701537
366.0,-0.639495694611023
367.0,-0.6415568918333462
368.0,-0.6420329589029977
369.0,-0.6436062312967071
370.0,-0.6441252060515021
371.0,-0.6458947033056702
372.0,-0.6463839699571523
373.0,-0.6480882278601027
374.0,-0.6485788544987661
375.0,-0.6503328587909856
376.0,-0.6507838514577456
377.0,-0.6524320023634457
378.0,-0.6528661661507902
379.0,-0.6541053522267779
380.0,-0.6551805323904527
381.0,-0.6559294528671079
382.0,-0.6571644486652306
383.0,-0.6582290240010013
384.0,-0.6589951129771625
385.0,-0.6602235311053654
386.0,-0.660963946436865
387.0,-0.6621539252966612
388.0,-0.6628591319044976
389.0,-0.6640296174376582
390.0,-0.664745328134743
391.0,-0.6659433938465217
392.0,-0.66666219130088
393.0,-0.6678484329370477
394.0,-0.6685432666958905
395.0,-0.6697333769475206
396.0,-0.6703872789834733
397.0,-0.6715229004140278
398.0,-0.6721796868442781
399.0,-0.6729133460319617
400.0,-0.674049143718036
401.0,-0.6746673021418648
402.0,-0.6754566301720147
403.0,-0.6765471993876974
404.0,-0.6771815717796629
405.0,-0.6778784913237934
406.0,-0.678613417730937
407.0,-0.679395243947888
408.0,-0.6810326524477528
409.0,-0.6815783530412708
410.0,-0.6822176735615303
411.0,-0.6828842041693186
412.0,-0.683618768992694
413.0,-0.6843836617987642
414.0,-0.6859397303195689
415.0,-0.6864544039894984
416.0,-0.6870691391555157
417.0,-0.6877982642870502
418.0,-0.6885014907363288
419.0,-0.6898885490920688
420.0,-0.6903601330974505
421.0,-0.6909483615582792
422.0,-0.691621502991102
423.0,-0.6929807946185227
424.0,-0.6934359318288218
425.0,-0.69401027806879
426.0,-0.6949296366529718
427.0,-0.695502991812045
428.0,-0.6964159893730069
429.0,-0.6972268013018653
430.0,-0.6977552422928309
431.0,-0.6986717735505517
432.0,-0.6994952927377274
433.0,-0.7000189514823415
434.0,-0.70092512134039
435.0,-0.7017369560298827
436.0,-0.7024874001637447
437.0,-0.7029585278716076
438.0,-0.7037096464880188
439.0,-0.7043925475511436
