"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,4.447680018525599
2.0,3.220022938184512
3.0,0.7932402835272103
4.0,-0.45019101004474604
5.0,-0.4771240755674142
6.0,-0.6291975438164541
7.0,-0.6677734655725633
8.0,-0.8758602468837733
9.0,-0.8980920234330808
10.0,-1.1092997586291122
11.0,-1.0998227137669132
12.0,-0.8607577865730809
13.0,-0.832979694249366
14.0,-0.562975043492752
15.0,-0.347792625351416
16.0,-0.22744649844504258
17.0,-0.20967460396065832
18.0,-0.17296244447606202
19.0,-0.1760438488281822
20.0,-0.24471885542366562
21.0,-0.26000881933543035
22.0,-0.27637054774187303
23.0,-0.4094689488070936
24.0,-0.4284840789433989
25.0,-0.44088801632301594
26.0,-0.44682961908404706
27.0,-0.454168007052689
28.0,-0.46324121043553884
29.0,-0.4637277165164021
30.0,-0.4589758504694608
31.0,-0.4496364095233266
32.0,-0.42671366007113554
33.0,-0.41378924785849935
34.0,-0.3872183863266127
35.0,-0.3620716080575665
36.0,-0.32170846971565226
37.0,-0.3127196159399858
38.0,-0.3047995484647622
39.0,-0.29296660178519923
40.0,-0.2888557877337155
41.0,-0.2865942666315785
42.0,-0.2871088355337957
43.0,-0.29147624994398635
44.0,-0.2995607193985673
45.0,-0.31073802630479097
46.0,-0.3220569780984245
47.0,-0.3336527184627853
48.0,-0.339541542488714
49.0,-0.34901619967451447
50.0,-0.35319529946234174
51.0,-0.3567943681992719
52.0,-0.3594958546603856
53.0,-0.3613296543658219
54.0,-0.3624366505680986
55.0,-0.3623365149025202
56.0,-0.36126876073526276
57.0,-0.3592704137563349
58.0,-0.3564573850405914
59.0,-0.353073713773043
60.0,-0.3494613046071984
61.0,-0.34574881474153807
62.0,-0.3416740077830397
63.0,-0.33437294332388995
64.0,-0.3307067023207403
65.0,-0.32447694672635613
66.0,-0.32015907007044264
67.0,-0.3153697829074513
68.0,-0.3123067907676904
69.0,-0.30992136845397894
70.0,-0.30821294375900327
71.0,-0.3072126687962234
72.0,-0.3066902139146527
73.0,-0.30693493873510724
74.0,-0.30753406048555443
75.0,-0.30904809068418077
76.0,-0.3108276749187489
77.0,-0.3125393246064422
78.0,-0.314058849638573
79.0,-0.31532060911057247
80.0,-0.3154312886471015
81.0,-0.3141334111948203
82.0,-0.3120934083443803
83.0,-0.3035436232670541
84.0,-0.29973169432440744
85.0,-0.2904844782515972
86.0,-0.28759168904922017
87.0,-0.2824219306495228
88.0,-0.2804105669005788
89.0,-0.2764984730378306
90.0,-0.2755415739233743
91.0,-0.2746098127396532
92.0,-0.2743981826383161
93.0,-0.2746911401981673
94.0,-0.27489965012592693
95.0,-0.27517511253280663
96.0,-0.27611467398134415
97.0,-0.2771003225315192
98.0,-0.2793138580725461
99.0,-0.28091592526624115
100.0,-0.2836579974713972
101.0,-0.2868399902162553
102.0,-0.29067070275490475
103.0,-0.29368054407275884
104.0,-0.29925855659234196
105.0,-0.30260204562263865
106.0,-0.308704825062917
107.0,-0.3119085149197111
108.0,-0.3182355788429297
109.0,-0.3241419340287249
110.0,-0.329504208098491
111.0,-0.33467376372068985
112.0,-0.3371356848682727
113.0,-0.34114515388417765
114.0,-0.3429340970539323
115.0,-0.3454728943310639
116.0,-0.34645421941473115
117.0,-0.3470375310193612
118.0,-0.34720513741319214
119.0,-0.34705607060593313
120.0,-0.34656936296869445
121.0,-0.3457691290012589
122.0,-0.34488607443920893
123.0,-0.34400745109881953
124.0,-0.343236669317885
125.0,-0.3421449686303425
126.0,-0.3420063100686385
127.0,-0.3424116105161903
128.0,-0.34321913658711656
129.0,-0.3446646672551598
130.0,-0.3465504707059885
131.0,-0.3488243102393587
132.0,-0.35178963133420826
133.0,-0.35509981295280335
134.0,-0.35842882794307396
135.0,-0.3617067367556008
136.0,-0.3679608871997966
137.0,-0.37050825441965674
138.0,-0.374106792898481
139.0,-0.3755255997515984
140.0,-0.3770585391489449
141.0,-0.3774087519750705
142.0,-0.3770053808364729
143.0,-0.37637141083358056
144.0,-0.37398605225701714
145.0,-0.3725778963326215
146.0,-0.37049184582324
147.0,-0.3687595498773731
148.0,-0.3669885544317803
149.0,-0.364332156685312
150.0,-0.36256233617543143
151.0,-0.3599528224501366
152.0,-0.3585551273935369
153.0,-0.3575784655452943
154.0,-0.35698000874256863
155.0,-0.3567042523827347
156.0,-0.35687508997274936
157.0,-0.35742744681975747
158.0,-0.35836308813334616
159.0,-0.35965710792794625
160.0,-0.3619571486076404
161.0,-0.36337932513253207
162.0,-0.3655654787272045
163.0,-0.3675841785518902
164.0,-0.36894199348698925
165.0,-0.37072375125570634
166.0,-0.3718137210303499
167.0,-0.37295975527773545
168.0,-0.3733049998577499
169.0,-0.3733844726285597
170.0,-0.3730356093224607
171.0,-0.3724944043913351
172.0,-0.3711403830458898
173.0,-0.37023362763462786
174.0,-0.368949755083983
175.0,-0.36804461982129233
176.0,-0.3679261702814803
177.0,-0.3682118674651083
178.0,-0.36876078196145595
179.0,-0.37008968882713217
180.0,-0.37136509909500115
181.0,-0.3731516043946593
182.0,-0.3768136135716504
183.0,-0.37906494760579945
184.0,-0.38403200822395667
185.0,-0.3892142767746701
186.0,-0.39204122627751653
187.0,-0.39638599809342173
188.0,-0.39952888188652474
189.0,-0.4040012038588149
190.0,-0.40729183082518566
191.0,-0.41044879349144414
192.0,-0.4135999203727773
193.0,-0.41651384030614697
194.0,-0.41917175764379894
195.0,-0.42136027343873034
196.0,-0.4239247885347477
197.0,-0.42519997782780755
198.0,-0.42644807273568647
199.0,-0.4271990623345232
200.0,-0.42726313707705066
201.0,-0.42698490347993306
202.0,-0.4264557385688547
