"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,0.304374701778364
2.0,0.9611032577385998
3.0,0.7205638793032975
4.0,-0.09664560900759833
5.0,-0.23172780266348766
6.0,-0.3183881065874918
7.0,-0.6927825442628138
8.0,-0.7438438918678613
9.0,-1.0403970477939246
10.0,-1.1880450726117888
11.0,-1.1651123952083675
12.0,-1.0225255590030575
13.0,-0.6521769663633674
14.0,-0.5936152605575652
15.0,-0.3176545119749221
16.0,-0.29868293853697325
17.0,-0.26983032569368637
18.0,-0.26325234246549256
19.0,-0.2714458376051031
20.0,-0.281870607437215
21.0,-0.2949810246597226
22.0,-0.44471252398644784
23.0,-0.455690689639872
24.0,-0.46414256488232986
25.0,-0.46976759107068067
26.0,-0.47819532737143033
27.0,-0.48118106947859973
28.0,-0.4808281112106679
29.0,-0.47801002445145585
30.0,-0.4720450969295797
31.0,-0.4568871517541925
32.0,-0.4484250706771351
33.0,-0.43758275722352696
34.0,-0.424903563851551
35.0,-0.4017568863086859
36.0,-0.39218445227465737
37.0,-0.38197863652299996
38.0,-0.37205454036856933
39.0,-0.3582288201176502
40.0,-0.35385188884813423
41.0,-0.3506975938560558
42.0,-0.3488228343647031
43.0,-0.34855889633734044
44.0,-0.3499046039190005
45.0,-0.3525345238721636
46.0,-0.3593534466435117
47.0,-0.3643365488801809
48.0,-0.37004308816933396
49.0,-0.3758826219329161
50.0,-0.3877976439175463
51.0,-0.3939087079500355
52.0,-0.4046683853403446
53.0,-0.4098624812469266
54.0,-0.41417418224769564
55.0,-0.41734724344126395
56.0,-0.4193463696052636
57.0,-0.4203648236171958
58.0,-0.42033715403695115
59.0,-0.41929997679592745
60.0,-0.41725169329189626
61.0,-0.4144947279863912
62.0,-0.4084935561584166
63.0,-0.4051008793314212
64.0,-0.4014121853561826
65.0,-0.39428045699218606
66.0,-0.3905639582551085
67.0,-0.3873506191064135
68.0,-0.3822466277310626
69.0,-0.38015109859785956
70.0,-0.37868340884813934
71.0,-0.37783018267266666
72.0,-0.3776015511661519
73.0,-0.37804956390092975
74.0,-0.37924389148760107
75.0,-0.38076966840077936
76.0,-0.3835425976842939
77.0,-0.38755880991932634
78.0,-0.3916122038044792
79.0,-0.39388440860526663
80.0,-0.3979562113804216
81.0,-0.40384496914329315
82.0,-0.4060946234960329
83.0,-0.4079963740846134
84.0,-0.4082708495281551
85.0,-0.4071092951089466
86.0,-0.40320683151008324
87.0,-0.399247595248554
88.0,-0.3922576819126243
89.0,-0.3879636692409256
90.0,-0.3836282915881864
91.0,-0.381047490211971
92.0,-0.3789691172782425
93.0,-0.3789828630158846
94.0,-0.3801684197361249
95.0,-0.3820503602017589
96.0,-0.383623923339671
97.0,-0.3872601494902698
98.0,-0.3895483766485417
99.0,-0.3946569124844697
100.0,-0.3976511459121261
101.0,-0.4036384155122228
102.0,-0.4069058389390674
103.0,-0.41162510754519377
104.0,-0.4161892377840774
105.0,-0.42056354020597086
106.0,-0.42496670629731675
107.0,-0.4286249514990716
108.0,-0.4323016994496088
109.0,-0.43471735095815595
110.0,-0.43784856185305915
111.0,-0.4401488625816121
112.0,-0.4415799557697966
113.0,-0.4432675342592677
114.0,-0.44427640835266496
115.0,-0.4453895195449097
116.0,-0.4458420816605186
117.0,-0.4462258126278987
118.0,-0.44646965647068215
119.0,-0.4466551417996769
120.0,-0.4469087983816019
121.0,-0.44726672302193393
122.0,-0.4478066961322267
123.0,-0.4484861022179837
124.0,-0.44964291400832385
125.0,-0.4508199308338494
126.0,-0.45232096991568255
127.0,-0.4541465245475397
128.0,-0.456387664122458
129.0,-0.45894187533776876
130.0,-0.4619384122998992
131.0,-0.4651567968976943
132.0,-0.46881411175262233
133.0,-0.4725872682483207
134.0,-0.47638637847215404
135.0,-0.48061012771645767
136.0,-0.4846131402196646
137.0,-0.4884771959053452
138.0,-0.4920822570396137
139.0,-0.49534007752681103
140.0,-0.4982960156196594
141.0,-0.5008036016578217
142.0,-0.5028317672827128
143.0,-0.5047735968549915
144.0,-0.5054815678701767
145.0,-0.5058840342767995
146.0,-0.505407833467933
147.0,-0.5047415609039393
148.0,-0.5030228008894837
149.0,-0.5017465219635984
150.0,-0.5004880499114305
151.0,-0.4983396664693211
152.0,-0.49724756497098566
153.0,-0.4962412628693029
154.0,-0.49573264934273464
155.0,-0.495694094396914
156.0,-0.49607394450182796
157.0,-0.49681028414134837
158.0,-0.4980295230524602
159.0,-0.5001427447776748
160.0,-0.5035472924644592
161.0,-0.5069487376284714
162.0,-0.5106260434357729
163.0,-0.5132950385331654
164.0,-0.517405463606748
165.0,-0.5201898785969341
166.0,-0.5230403455772712
167.0,-0.5258857842544735
168.0,-0.529632730804972
169.0,-0.5326960265674622
170.0,-0.5351100197600126
171.0,-0.5370363197922118
172.0,-0.5384758634741535
173.0,-0.5390793701911425
174.0,-0.5391395316889331
175.0,-0.5386922600071633
176.0,-0.5368811362248885
177.0,-0.5363977559869778
178.0,-0.5346741246775734
179.0,-0.5344719854174722
180.0,-0.534590621934579
181.0,-0.5352137312944955
182.0,-0.5361034884047866
183.0,-0.5383216472852652
184.0,-0.5398644422104848
185.0,-0.5419359726781028
186.0,-0.5465105174086826
187.0,-0.5488627474169738
188.0,-0.5517304700593161
