"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,1.9597372761441538
2.0,1.8517990238259314
3.0,0.35106828193056194
4.0,-0.5470985964820371
5.0,-0.5659890232633105
6.0,-0.6536205309759716
7.0,-0.7344847182806126
8.0,-0.7595447295291881
9.0,-0.7901598292002169
10.0,-0.7235049872148052
11.0,-0.6452334891883083
12.0,-0.6243983455064656
13.0,-0.3884655178001304
14.0,-0.36999822638689367
15.0,-0.34294103336837106
16.0,-0.28261754648195975
17.0,-0.27672993704483245
18.0,-0.263968350596945
19.0,-0.26879189298390405
20.0,-0.2803791084458126
21.0,-0.28854033134379803
22.0,-0.3918068938592664
23.0,-0.3993842577987233
24.0,-0.4022294319626697
25.0,-0.4009661200895053
26.0,-0.39807109362211485
27.0,-0.3838268208027444
28.0,-0.3807978263817674
29.0,-0.37383388870900824
30.0,-0.3567953409021124
31.0,-0.34744044126471463
32.0,-0.3293369713453515
33.0,-0.3208321264730801
34.0,-0.30625738861532953
35.0,-0.2997972259486845
36.0,-0.2936375725301237
37.0,-0.2849133064960444
38.0,-0.2820450751215491
39.0,-0.27995713455996946
40.0,-0.27875823154664703
41.0,-0.27866276136714024
42.0,-0.27955941213677554
43.0,-0.2813620502813461
44.0,-0.28381276048131016
45.0,-0.28975818795824354
46.0,-0.29330218209764264
47.0,-0.2966239450535268
48.0,-0.3019622216834854
49.0,-0.3043015413006308
50.0,-0.30555951504809775
51.0,-0.30630430125277625
52.0,-0.30628391715963166
53.0,-0.30565567153511025
54.0,-0.3044342467954134
55.0,-0.3025742233347869
56.0,-0.3008664579974689
57.0,-0.297602614562522
58.0,-0.2956708202976904
59.0,-0.29332305346275633
60.0,-0.290920276913411
61.0,-0.2886262293503969
62.0,-0.28638313977609636
63.0,-0.28444859509702497
64.0,-0.2827716751875617
65.0,-0.2813493983438939
66.0,-0.2794689769001937
67.0,-0.2786500566448795
68.0,-0.2775935178948077
69.0,-0.27696816049392986
70.0,-0.27655259536550597
71.0,-0.2764226048421844
72.0,-0.27662714354495144
73.0,-0.2761078149483513
74.0,-0.2749056567564291
75.0,-0.27297915892191327
76.0,-0.26867217420681044
77.0,-0.2653992627499681
78.0,-0.259274293965535
79.0,-0.2555488133790847
80.0,-0.2512607284830009
81.0,-0.2472174846379444
82.0,-0.2432786935387693
83.0,-0.24224499584657289
84.0,-0.23942026494341245
85.0,-0.2392059278637033
86.0,-0.23902311884701746
87.0,-0.23918206832449457
88.0,-0.23978998609288477
89.0,-0.24182888831698346
90.0,-0.2447601837428677
91.0,-0.2479218103150235
92.0,-0.25022314375663357
93.0,-0.2530467113218829
94.0,-0.25485654436680205
95.0,-0.25671035491590394
96.0,-0.2574289708554655
97.0,-0.25793633659565696
98.0,-0.2579763418458537
99.0,-0.25800113049777906
100.0,-0.25807268381384124
101.0,-0.258185297892611
102.0,-0.2582808468379997
103.0,-0.2586383501733603
104.0,-0.25893015221253285
105.0,-0.25947003973491306
106.0,-0.2599265521542531
107.0,-0.26051128261750384
108.0,-0.2608300168887951
109.0,-0.26112923197347804
110.0,-0.2611481598709513
111.0,-0.26107635313110833
112.0,-0.26077315210473634
113.0,-0.2605286790773727
114.0,-0.2604399195922993
115.0,-0.2605700527719301
116.0,-0.26094680707265505
117.0,-0.2615053157220345
118.0,-0.2622424348066556
119.0,-0.26317887368710646
120.0,-0.26420446904390466
121.0,-0.2652253558073185
122.0,-0.2663451135211151
123.0,-0.2675354690599052
124.0,-0.26911976603823795
125.0,-0.2703308300061018
126.0,-0.27198400745515
127.0,-0.2730756428524392
128.0,-0.274343570392486
