"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,3.582040444264765
2.0,2.066095141454202
3.0,0.9745933461505404
4.0,-0.023584496728963004
5.0,-0.4650425201829951
6.0,-0.41492122672303
7.0,-0.8163165182079564
8.0,-0.8499813763196761
9.0,-0.8904499617451622
10.0,-0.9609442823303808
11.0,-1.3010330209008039
12.0,-1.3782768362902729
13.0,-1.3537114257441152
14.0,-0.9620133948390927
15.0,-0.9241274675378652
16.0,-0.6572350708041593
17.0,-0.24497751471967885
18.0,-0.17145108774396
19.0,-0.0014967761775116534
20.0,0.003228003346255874
21.0,-0.03763334906292521
22.0,-0.05248059412524799
23.0,-0.2552281315559862
24.0,-0.3403668083531285
25.0,-0.44080600427497735
26.0,-0.45777621475932
27.0,-0.536664017530166
28.0,-0.5411674230868733
29.0,-0.5347390200021966
30.0,-0.5207879609301229
31.0,-0.48493748555058774
32.0,-0.41780506226954206
33.0,-0.4033946643223078
34.0,-0.29542963593603044
35.0,-0.28695737795278115
36.0,-0.27935305823528694
37.0,-0.27307950643425155
38.0,-0.26952749252035657
39.0,-0.26862200896843086
40.0,-0.27007884839597496
41.0,-0.2750038617803855
42.0,-0.28832510322547933
43.0,-0.29731305418107984
44.0,-0.3169204659037103
45.0,-0.32665762837024775
46.0,-0.3426680029026735
47.0,-0.3500735244933933
48.0,-0.35605331455230327
49.0,-0.36018174803400366
50.0,-0.36273689314926566
51.0,-0.36388147009055255
52.0,-0.36345123081228753
53.0,-0.3617425303256878
54.0,-0.3587676317904733
55.0,-0.3548331171049571
56.0,-0.3501414606536458
57.0,-0.3447302799967996
58.0,-0.3336933893367892
59.0,-0.32800629012980664
60.0,-0.32186137316059454
61.0,-0.3109265189491103
62.0,-0.3057996721911577
63.0,-0.2995212811300768
64.0,-0.2954673753684362
65.0,-0.29140958805632716
66.0,-0.2894126333324133
67.0,-0.28828972678072073
68.0,-0.288011345715356
69.0,-0.28900905493650203
70.0,-0.29137352915067294
71.0,-0.29439441560513435
72.0,-0.298234627750406
73.0,-0.3024135370368599
74.0,-0.30818822196807827
75.0,-0.3122193887354359
76.0,-0.3171592463809481
77.0,-0.3211821076847971
78.0,-0.3240140245210486
79.0,-0.32569803237834716
80.0,-0.3257382023252765
81.0,-0.32357770652918877
82.0,-0.3212589076102326
83.0,-0.31549498770761364
84.0,-0.3086088305647069
85.0,-0.29923727815256196
86.0,-0.2954280616743867
87.0,-0.2858315432623589
88.0,-0.28036679078123244
89.0,-0.2737571087437413
90.0,-0.2707406785686972
91.0,-0.2676375979255404
92.0,-0.26617202923424294
93.0,-0.2640340273224219
94.0,-0.26259571354438394
95.0,-0.26210308900044654
96.0,-0.26279615103359577
97.0,-0.26343009652992966
98.0,-0.2659586449692097
99.0,-0.268573459245776
100.0,-0.2713993404526173
101.0,-0.2764742018811942
102.0,-0.27730846357187344
103.0,-0.27867015940691986
104.0,-0.2793508384029782
105.0,-0.2797253156237731
106.0,-0.2804063334942908
107.0,-0.2811296602871241
108.0,-0.2822073173741501
109.0,-0.2840298510227081
110.0,-0.28595454949647897
111.0,-0.28841690352428834
112.0,-0.2921988610450761
113.0,-0.2955271840563276
114.0,-0.2990489933626739
115.0,-0.30229678812160055
116.0,-0.3041244946953964
117.0,-0.30700259981428885
118.0,-0.308671968177493
119.0,-0.31132164936718054
120.0,-0.3129186614428389
121.0,-0.3149922401768424
122.0,-0.3171267582726459
123.0,-0.31931746824103596
124.0,-0.3214728119770926
125.0,-0.3236425660398459
126.0,-0.3257631347974781
127.0,-0.32754877058329623
128.0,-0.3290959775325985
129.0,-0.330113977390516
130.0,-0.3309576944089364
131.0,-0.331644624154068
132.0,-0.33251543240593395
133.0,-0.3334620784391726
134.0,-0.3346457135158766
135.0,-0.33596918165698797
136.0,-0.3373862815396472
