"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,7.26373758472337
2.0,4.80697904495333
3.0,2.6201434714187886
4.0,-0.446036576334223
5.0,-0.29638262510265523
6.0,-1.3676667994409035
7.0,-1.4071829089378092
8.0,-1.5889852896246697
9.0,-1.7083881518560842
10.0,-1.7540350891565935
11.0,-1.6074956212874603
12.0,-1.5445684234888668
13.0,-0.9250645269414871
14.0,-0.8750527732283305
15.0,-0.72071060577128
16.0,-0.3553103701241116
17.0,-0.07626617563463034
18.0,0.11900892794835748
19.0,0.22787233982105037
20.0,0.23816071352144408
21.0,0.2166826895065176
22.0,0.010231509298997092
23.0,-0.1823832306677699
24.0,-0.4265213791655244
25.0,-0.4527642176452047
26.0,-0.5826414337316542
27.0,-0.5898371548757636
28.0,-0.5847986450872333
29.0,-0.5710981334629677
30.0,-0.5337089174747934
31.0,-0.5122611776063357
32.0,-0.3538315352762763
33.0,-0.3398728048565314
34.0,-0.3236852139286932
35.0,-0.3081494438408591
36.0,-0.2828343904823657
37.0,-0.2745004493956023
38.0,-0.26541057838395865
39.0,-0.2652412729890162
40.0,-0.2710505800282857
41.0,-0.27714081306079724
42.0,-0.28926846754599544
43.0,-0.3007194179221124
44.0,-0.3229987932083546
45.0,-0.34538198249785235
46.0,-0.3670849799232757
47.0,-0.3850434649456996
48.0,-0.3998100666992042
49.0,-0.40992267814270883
50.0,-0.4140576440634467
51.0,-0.4147094441941685
52.0,-0.41188547674691345
53.0,-0.4085867992433765
54.0,-0.40374143749178815
55.0,-0.39187034422463896
56.0,-0.3849696582709188
57.0,-0.3771751969271374
58.0,-0.36905396885169633
59.0,-0.36084935778343113
60.0,-0.3455996743319581
61.0,-0.3389905719850681
62.0,-0.33309507426576607
63.0,-0.32834872912823193
64.0,-0.3247662318034195
65.0,-0.32242498016730625
66.0,-0.32121635986518876
67.0,-0.32098950152537564
68.0,-0.3220832173819355
69.0,-0.3242365796498586
70.0,-0.3271587822468102
71.0,-0.3305532958148812
72.0,-0.33456436363326836
73.0,-0.3384483655795062
74.0,-0.34189893035377616
75.0,-0.3450215371692355
76.0,-0.34740348334679505
77.0,-0.34912344748366353
78.0,-0.3499658223172259
79.0,-0.35005862528370885
80.0,-0.34926416809089195
81.0,-0.34735462759375263
82.0,-0.3446415682488458
83.0,-0.3408971249890688
84.0,-0.33542816210286336
85.0,-0.32725315806571803
86.0,-0.3190506184422739
87.0,-0.30931374163607
88.0,-0.2945734750939883
89.0,-0.28959467599172634
90.0,-0.27428992332093893
91.0,-0.27112222121862994
92.0,-0.2647496011495532
93.0,-0.263471473558768
94.0,-0.2589337245348726
95.0,-0.25910031700142255
96.0,-0.2599410578068249
97.0,-0.2606161738166628
98.0,-0.26246136681131577
99.0,-0.26457303733942894
100.0,-0.2676303262721272
101.0,-0.27015375318252866
102.0,-0.27310272984392997
103.0,-0.27696692176519006
104.0,-0.28103632615443985
105.0,-0.28633401231247685
106.0,-0.29420645495129033
107.0,-0.2992755156445255
108.0,-0.3092083340958981
109.0,-0.3149658827219168
110.0,-0.32604087888994526
111.0,-0.33175817595495777
112.0,-0.34359485025499825
113.0,-0.35501692432101095
114.0,-0.36551654653409943
115.0,-0.37568122127498166
116.0,-0.38073201412788554
117.0,-0.38852581201706865
118.0,-0.39224743763311176
119.0,-0.39792754206080283
120.0,-0.39972900000778333
121.0,-0.40182109945683697
122.0,-0.4021471200882499
123.0,-0.4010140487540218
124.0,-0.39975501840615135
125.0,-0.39623255206117497
126.0,-0.39420989046157684
127.0,-0.39187390919968473
128.0,-0.3871877706235743
129.0,-0.384998460262042
130.0,-0.3832662099758886
131.0,-0.3819626953974854
132.0,-0.3808947066177578
133.0,-0.3806026639656865
134.0,-0.3806903800791231
135.0,-0.3810560839189559
136.0,-0.38213806469964773
137.0,-0.38365001596743287
138.0,-0.38620582734718584
139.0,-0.3879057969584153
140.0,-0.3897488570230772
141.0,-0.39267080229878093
142.0,-0.39423748159228494
143.0,-0.39609666333188087
144.0,-0.3980861968254095
145.0,-0.4002032426779278
146.0,-0.4024322824932201
147.0,-0.40461078418112756
148.0,-0.40748545421502275
149.0,-0.4096777479296918
150.0,-0.41174962127327774
151.0,-0.41521869441930875
152.0,-0.41703269440108914
153.0,-0.41889825147959664
154.0,-0.42244592660898644
155.0,-0.4243547288488557
156.0,-0.4262746079795507
157.0,-0.42841416524884585
158.0,-0.4307473936068767
159.0,-0.4331767034380517
160.0,-0.43567867254035825
161.0,-0.43823527515525057
162.0,-0.4407845371556077
163.0,-0.4439898820372036
164.0,-0.44603956008485185
165.0,-0.4480497272095842
166.0,-0.4496527166769989
167.0,-0.45141654506822926
168.0,-0.45232705392723516
169.0,-0.4528566440649883
170.0,-0.45300316329395096
171.0,-0.4527306860429243
172.0,-0.4522141376334049
173.0,-0.4510402385434132
174.0,-0.45009625605463416
175.0,-0.44902502170794817
176.0,-0.44801590665575974
177.0,-0.4471549302669887
178.0,-0.44656332541348853
179.0,-0.4461823578364354
180.0,-0.4458057509252606
181.0,-0.4457315259850422
182.0,-0.4460509171632032
183.0,-0.4470925772934249
184.0,-0.4488536118728011
185.0,-0.45058235649318645
186.0,-0.4529065470697076
187.0,-0.4566137920229932
188.0,-0.45943437973260465
189.0,-0.4625438730770005
190.0,-0.4667738169723963
191.0,-0.4697158600398593
192.0,-0.4725178000924969
193.0,-0.47513187975718785
194.0,-0.4777018610683109
195.0,-0.4794360321883539
196.0,-0.4815062713097447
197.0,-0.48278910872472436
198.0,-0.48412329067612014
199.0,-0.4856308618463996
200.0,-0.4868341101606222
201.0,-0.4882221988228187
202.0,-0.4890386023210178
203.0,-0.49028131566973326
204.0,-0.49109513085198736
205.0,-0.49209298458634054
206.0,-0.4927937725611831
207.0,-0.4937195903613964
208.0,-0.4944506063873741
209.0,-0.4954981284218274
210.0,-0.49630738723672185
211.0,-0.49724933895023976
212.0,-0.49809245219130366
213.0,-0.49899313658546424
214.0,-0.4999539165922291
215.0,-0.5009425441136267
216.0,-0.5019106138564902
217.0,-0.5032224562065417
218.0,-0.5041343473385081
219.0,-0.5062100421291202
220.0,-0.5074531921572029
221.0,-0.5101052955090409
222.0,-0.511508437908362
223.0,-0.5131913389327852
224.0,-0.5158014008349302
225.0,-0.5190837097116426
226.0,-0.5206928468489329
227.0,-0.5232362199639121
228.0,-0.5249923701834619
229.0,-0.5277279650799499
230.0,-0.5295360131903084
231.0,-0.5323269833165184
232.0,-0.5341994246712903
233.0,-0.5362688257233226
234.0,-0.5391400311496016
235.0,-0.540931783063337
236.0,-0.5434131674326418
237.0,-0.5448156282326541
238.0,-0.5474666054008182
239.0,-0.5484611882561867
240.0,-0.5496667606169156
241.0,-0.5501149383696884
242.0,-0.5503189455702185
243.0,-0.5498864797703794
244.0,-0.5496490990827955
245.0,-0.5492637091190222
246.0,-0.5472187332764249
247.0,-0.5464148318855725
248.0,-0.5444536550714139
249.0,-0.5437194602263967
250.0,-0.5427765302781454
251.0,-0.5421318182534135
252.0,-0.5414021483843241
253.0,-0.5412317374073801
254.0,-0.5410410095023296
255.0,-0.5411367621525479
256.0,-0.5417900068993325
257.0,-0.5424489665752946
258.0,-0.5435425666234612
259.0,-0.5454392567757521
260.0,-0.5468220785265661
261.0,-0.5492860694165987
262.0,-0.5516517705378463
263.0,-0.554227105370688
264.0,-0.5568479330868192
265.0,-0.5605347847710218
266.0,-0.5629915422509312
267.0,-0.5663283340619099
268.0,-0.5692741506601147
269.0,-0.5719432533369678
270.0,-0.5732245240859162
271.0,-0.5757409119148023
272.0,-0.5776347349200932
273.0,-0.5785589797020525
274.0,-0.5806013585431326
275.0,-0.5812472118371301
276.0,-0.582638687137349
277.0,-0.5836299927478816
278.0,-0.5844261412046394
279.0,-0.5855444437838628
280.0,-0.586331729748861
281.0,-0.5874856442892086
282.0,-0.5884753711441997
283.0,-0.589349940666689
284.0,-0.5902232603486757
285.0,-0.590786959887422
286.0,-0.5923960259689978
287.0,-0.5927863644116853
288.0,-0.5940041378040077
289.0,-0.5949400257133234
290.0,-0.595495530477917
291.0,-0.5972044278084628
292.0,-0.597584093380361
293.0,-0.5986509686473673
294.0,-0.6001182883768842
295.0,-0.6006896736146906
296.0,-0.6023701963688992
297.0,-0.6029614676400824
298.0,-0.6047976213458114
299.0,-0.6054346547992601
300.0,-0.6073471332199208
301.0,-0.6083650034128856
302.0,-0.6100403466595578
303.0,-0.6110762813047248
304.0,-0.6123266304843775
305.0,-0.6140201607232574
306.0,-0.6150480361318167
307.0,-0.6162604099853397
308.0,-0.6179579343050609
309.0,-0.6189387487979635
310.0,-0.6200907863294781
311.0,-0.6212609359964623
312.0,-0.6224589133577088
313.0,-0.6236307770636782
314.0,-0.6252553411538743
315.0,-0.6261210055922828
316.0,-0.6270629460938821
317.0,-0.6280818340602801
318.0,-0.6290864364631985
319.0,-0.6300960499692885
320.0,-0.631066460921845
321.0,-0.6320212470954049
322.0,-0.632992161790292
323.0,-0.634036113723391
324.0,-0.6351097816911981
325.0,-0.6361986471411795
326.0,-0.6371891167438228
327.0,-0.6383216870687691
328.0,-0.6394520261001366
329.0,-0.6406310819400105
330.0,-0.6417939958931593
331.0,-0.6429383483454284
332.0,-0.6441229016665602
333.0,-0.6452968717187669
334.0,-0.646476970571043
335.0,-0.6476673747161191
336.0,-0.6488857945966175
337.0,-0.6500655780081269
338.0,-0.6512310070230445
339.0,-0.652402395056406
340.0,-0.6535242700439188
341.0,-0.6546074956074944
342.0,-0.6557069024969349
343.0,-0.6567548073668376
344.0,-0.6578191261364285
345.0,-0.6588190630814085
346.0,-0.6597706896881602
347.0,-0.6607019427459805
348.0,-0.6616963708498236
349.0,-0.6626958533608377
350.0,-0.6636450387138205
351.0,-0.6646183516736925
352.0,-0.6655616478277437
353.0,-0.6664720535280674
354.0,-0.6674152284305523
355.0,-0.6683403077734149
356.0,-0.6692592535737661
357.0,-0.670108643176495
358.0,-0.6708606070980675
359.0,-0.6716811141485963
360.0,-0.6724989538421972
361.0,-0.6732932233497121
362.0,-0.674390375467714
363.0,-0.6750909608069942
364.0,-0.6758250405909194
365.0,-0.6769638376662881
366.0,-0.6776697036963297
367.0,-0.6786327908550651
368.0,-0.6792569335846481
369.0,-0.6802449728549951
370.0,-0.6808509428701373
371.0,-0.6818163226007032
372.0,-0.6823643678522282
373.0,-0.6833507148843956
374.0,-0.6840810249841761
375.0,-0.685034224551742
376.0,-0.6856748858118438
377.0,-0.6866417700142978
378.0,-0.6873210700461123
379.0,-0.6883538709461164
380.0,-0.6890030463472196
381.0,-0.6897425061447084
382.0,-0.6908770610945255
383.0,-0.6916590163554411
384.0,-0.6924424979106685
385.0,-0.6934489359837213
386.0,-0.694192263343055
387.0,-0.6949211006081755
388.0,-0.6956202858582794
389.0,-0.6963464699373726
390.0,-0.6970383795559936
