"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-3.0109505653381348
-0.06,-2.9761528968811035
-0.12,-2.963665723800659
-0.18,-2.9372737407684326
-0.24,-2.913123607635498
-0.30000000000000004,-2.8822078704833984
-0.36,-2.8497977256774902
-0.42000000000000004,-2.810042142868042
-0.48,-2.7862308025360107
-0.54,-2.746492385864258
-0.6000000000000001,-2.7143349647521973
-0.66,-2.6804378032684326
-0.72,-2.6309051513671875
-0.78,-2.58129620552063
-0.8400000000000001,-2.545210838317871
-0.8999999999999999,-2.487626075744629
-0.96,-2.415501117706299
-1.02,-2.2881202697753906
-1.08,-2.1421947479248047
-1.1400000000000001,-1.9936002492904663
-1.2000000000000002,-1.9356430768966675
-1.26,-1.952870488166809
-1.32,-2.1934814453125
-1.3800000000000001,-2.4868812561035156
-1.44,-2.535947322845459
-1.5,-2.511880874633789
-1.56,-2.4899673461914062
-1.62,-2.45317006111145
-1.6800000000000002,-2.4159841537475586
-1.7399999999999998,-2.3772008419036865
-1.7999999999999998,-2.3457422256469727
-1.8599999999999999,-2.307206153869629
-1.92,-2.2688887119293213
-1.98,-2.2303504943847656
-2.04,-2.1978259086608887
-2.0999999999999996,-2.165832281112671
-2.16,-2.136225700378418
-2.2199999999999998,-2.0845608711242676
-2.2800000000000002,-2.060018539428711
-2.34,-2.0219764709472656
-2.4000000000000004,-1.9870388507843018
-2.46,-1.949544072151184
-2.52,-1.90129554271698
-2.58,-1.8771946430206299
-2.64,-1.8404160737991333
-2.7,-1.7925326824188232
-2.7600000000000002,-1.7565011978149414
-2.82,-1.732879400253296
-2.88,-1.6858214139938354
-2.94,-1.6507459878921509
-3.0,-1.6160476207733154
-3.06,-1.5816928148269653
-3.12,-1.5469969511032104
-3.18,-1.513217568397522
-3.24,-1.4798723459243774
-3.3000000000000003,-1.4470622539520264
-3.3600000000000003,-1.4148072004318237
-3.42,-1.3829114437103271
-3.4799999999999995,-1.3396133184432983
-3.54,-1.309651494026184
-3.5999999999999996,-1.272953748703003
-3.66,-1.241240382194519
-3.7199999999999998,-1.2161990404129028
-3.7800000000000002,-1.1848549842834473
-3.84,-1.1461880207061768
-3.9000000000000004,-1.112390160560608
-3.96,-1.0832897424697876
-4.0200000000000005,-1.0486658811569214
-4.08,-1.0199214220046997
-4.14,-0.9871146082878113
-4.199999999999999,-0.9628161191940308
-4.26,-0.9268165230751038
-4.32,-0.9043238162994385
-4.38,-0.872608482837677
-4.4399999999999995,-0.8359904885292053
-4.5,-0.8073700070381165
-4.5600000000000005,-0.7862306237220764
-4.62,-0.7448518872261047
-4.68,-0.7175585627555847
-4.74,-0.690412700176239
-4.800000000000001,-0.6634325385093689
-4.86,-0.6366044282913208
-4.92,-0.6099081039428711
-4.9799999999999995,-0.5833267569541931
-5.04,-0.5411839485168457
-5.1,-0.5142983794212341
-5.16,-0.4868665337562561
-5.22,-0.45888379216194153
-5.28,-0.43043962121009827
-5.34,-0.4013366997241974
-5.4,-0.38780146837234497
-5.46,-0.3552049398422241
-5.5200000000000005,-0.3217714726924896
-5.58,-0.3048226535320282
-5.64,-0.2724224030971527
-5.699999999999999,-0.23986472189426422
-5.76,-0.2235201895236969
-5.82,-0.19413359463214874
-5.88,-0.16746048629283905
-5.9399999999999995,-0.14117920398712158
-6.0,-0.11494670063257217
