"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,5.5500539856153015
2.0,4.066214145884671
3.0,1.4234645834717374
4.0,-0.5364335226315827
5.0,-0.545389386958903
6.0,-0.6961369790123991
7.0,-0.9485855898649774
8.0,-0.9910232425854284
9.0,-1.3017312233656362
10.0,-1.4964073644268505
11.0,-1.377275416137264
12.0,-1.2185313404385676
13.0,-0.8221276723394457
14.0,-0.7218399290041583
15.0,-0.22491476443541866
16.0,-0.19742921669679894
17.0,-0.07041350525546926
18.0,-0.06754739421480842
19.0,-0.12374165766732757
20.0,-0.13884023437612383
21.0,-0.30182702023228664
22.0,-0.32477062037583193
23.0,-0.4649559289825638
24.0,-0.4787144606344587
25.0,-0.484225799719922
26.0,-0.4841228271510039
27.0,-0.4789547802202458
28.0,-0.47630830136811947
29.0,-0.4633163917911173
30.0,-0.45363802186508567
31.0,-0.43934458642376734
32.0,-0.42302126124905065
33.0,-0.3905838979525607
34.0,-0.37539022264130034
35.0,-0.3467052697580157
36.0,-0.33465900491071304
37.0,-0.31396977303055307
38.0,-0.30586804324235867
39.0,-0.2996685564546705
40.0,-0.2954688269985216
41.0,-0.2937260866464741
42.0,-0.29452610706969806
43.0,-0.2980273936808618
44.0,-0.3055262632568905
45.0,-0.3122690731777732
46.0,-0.32053937356620926
47.0,-0.3290905353307872
48.0,-0.3413775318647713
49.0,-0.35111887055028557
50.0,-0.3641936983596655
51.0,-0.37330603357529474
52.0,-0.3839209874755553
53.0,-0.3909341613362635
54.0,-0.3965258864505194
55.0,-0.4007652386872734
56.0,-0.4031717922004204
57.0,-0.4036696379019993
58.0,-0.40301119001686714
59.0,-0.40071017066451214
60.0,-0.3972658823438428
61.0,-0.392551953194844
62.0,-0.386808985669089
63.0,-0.3803242954428205
64.0,-0.3732598995906814
65.0,-0.36309827706216835
66.0,-0.3559887901360604
67.0,-0.34898642380080186
68.0,-0.3423993155787518
69.0,-0.3361660369915639
70.0,-0.3308332385756451
71.0,-0.3262235510129689
72.0,-0.3222741829699024
73.0,-0.31932666385096126
74.0,-0.3173525403341522
75.0,-0.3162485156454036
76.0,-0.31613393165545667
77.0,-0.31698809273604495
78.0,-0.31868295982392086
79.0,-0.32282185513122186
80.0,-0.32638821791799116
81.0,-0.3297528345263056
82.0,-0.3333916394156204
83.0,-0.33571754212364396
84.0,-0.3381940888883976
85.0,-0.33975996836839
