"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,4.301766425424675
2.0,3.12978232439722
3.0,0.1288396878644517
4.0,-0.015167522797647966
5.0,-1.0032375814400254
6.0,-0.9760565147036798
7.0,-0.9293767377441141
8.0,-0.9684051972435984
9.0,-1.0776891097881232
10.0,-0.9463510834696293
11.0,-0.929462645777312
12.0,-0.6549474161424147
13.0,-0.6096407399339457
14.0,-0.5040227900511863
15.0,-0.41322540506119476
16.0,-0.09641559528019746
17.0,-0.06804342164729729
18.0,-0.0536769849826619
19.0,-0.06335750487039472
20.0,-0.195417153137164
21.0,-0.21687965523184424
22.0,-0.4369094966496209
23.0,-0.44909910323687324
24.0,-0.4577882473989229
25.0,-0.46889666811751446
26.0,-0.4718637346903124
27.0,-0.4671203916612542
28.0,-0.4647540869888003
29.0,-0.45493619230778004
30.0,-0.4406711115535176
31.0,-0.42261966498892306
32.0,-0.3860696621411623
33.0,-0.3700345386120421
34.0,-0.35241878812748656
35.0,-0.31957465798597734
36.0,-0.3061917099706157
37.0,-0.2817869315695716
38.0,-0.27291352026444954
39.0,-0.2657650000372368
40.0,-0.26127641903564985
41.0,-0.25973227383457537
42.0,-0.26059114050521276
43.0,-0.26417701013898187
44.0,-0.2699964621091327
45.0,-0.27742363242059725
46.0,-0.2862135895476311
47.0,-0.29988277102924216
48.0,-0.3176814513165784
49.0,-0.3271049422729992
50.0,-0.33924874781168013
51.0,-0.3496177767889157
52.0,-0.35807520108553126
53.0,-0.36241715025321003
54.0,-0.36655039287637853
55.0,-0.3678786360386066
56.0,-0.3678208020203919
57.0,-0.3661595462814989
58.0,-0.3632037432553552
59.0,-0.3587997420275875
60.0,-0.35343346170317963
61.0,-0.3475959264393602
62.0,-0.3374785808753426
63.0,-0.3319928520042894
64.0,-0.3247533601397979
65.0,-0.31813960842128314
66.0,-0.3136825411569044
67.0,-0.3096262847736719
68.0,-0.3059935022548612
69.0,-0.302862693658256
70.0,-0.29963089789094016
71.0,-0.2978675767480187
72.0,-0.29641176582353734
73.0,-0.29583483507454766
74.0,-0.29627750269496717
75.0,-0.2969323933680897
76.0,-0.29807794509764846
77.0,-0.2993319193654644
78.0,-0.30192369752134257
79.0,-0.3033728143842038
80.0,-0.30452324291610877
81.0,-0.30615369121567326
82.0,-0.30665873545686784
83.0,-0.30497671093393797
84.0,-0.3035641695106629
85.0,-0.29652638281372057
86.0,-0.2907980237005345
87.0,-0.2806975821400868
88.0,-0.26975792627018225
89.0,-0.2618140821314943
90.0,-0.25689892114207413
91.0,-0.25258002271409347
92.0,-0.2517320856719877
93.0,-0.25101388698634225
94.0,-0.25100928356840524
95.0,-0.2513478256320425
96.0,-0.25207722639414804
97.0,-0.2533411906195192
98.0,-0.25472055801779175
99.0,-0.25787183044373496
100.0,-0.26046576328077875
101.0,-0.26443618145759956
102.0,-0.26961942961848606
103.0,-0.2754685888262781
104.0,-0.2846023177392607
105.0,-0.2895269117016077
106.0,-0.2999853909706744
107.0,-0.30469304944673065
108.0,-0.31347138047844686
109.0,-0.3179506865736824
110.0,-0.32808642934964194
111.0,-0.3314598492523015
112.0,-0.3366673190441727
113.0,-0.3416598110755664
114.0,-0.3436542194562471
115.0,-0.3469249297442353
116.0,-0.34825309482561323
117.0,-0.34956603278007625
118.0,-0.35012467497035643
119.0,-0.35035605500829237
120.0,-0.35008520198892235
121.0,-0.3494373217782421
122.0,-0.3488773919337
123.0,-0.3472948416343604
124.0,-0.34627923056024207
125.0,-0.3437027100996707
126.0,-0.3423759150765418
127.0,-0.3389767692027061
128.0,-0.3373449510657222
129.0,-0.3342322339793284
130.0,-0.33126561649345504
131.0,-0.33014933871951496
132.0,-0.3283069650470088
133.0,-0.3276617332453349
134.0,-0.3271840891081767
135.0,-0.32734140572074594
136.0,-0.3281668397397024
137.0,-0.3293620198867889
138.0,-0.33108251524320015
139.0,-0.33316820290341065
140.0,-0.3354667390191403
141.0,-0.3378304705550189
142.0,-0.3398688137245881
