"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-1.1400000000000001,-1.8763878345489502
-1.2000000000000002,-1.942610502243042
-1.26,-2.198826551437378
-1.32,-2.415118932723999
-1.3800000000000001,-2.4378104209899902
-1.44,-2.3941781520843506
-1.5,-2.373739719390869
-1.56,-2.348299741744995
-1.62,-2.305142879486084
-1.6800000000000002,-2.2704737186431885
-1.7399999999999998,-2.240372896194458
-1.7999999999999998,-2.2113900184631348
-1.8599999999999999,-2.1770970821380615
-1.92,-2.143749475479126
-1.98,-2.1050498485565186
-2.04,-2.076857805252075
-2.0999999999999996,-2.0330731868743896
-2.16,-2.001512050628662
-2.2199999999999998,-1.9715912342071533
-2.2800000000000002,-1.932571530342102
-2.34,-1.907086968421936
-2.4000000000000004,-1.8687351942062378
-2.46,-1.8331413269042969
-2.52,-1.7976877689361572
-2.58,-1.7609529495239258
-2.64,-1.720073938369751
-2.7,-1.6972788572311401
-2.7600000000000002,-1.653911828994751
-2.82,-1.629785180091858
-2.88,-1.5915855169296265
-2.94,-1.559853196144104
-3.0,-1.5259610414505005
-3.06,-1.4879449605941772
-3.12,-1.4638797044754028
-3.18,-1.426389217376709
-3.24,-1.3904471397399902
-3.3000000000000003,-1.35899817943573
-3.3600000000000003,-1.3216509819030762
-3.42,-1.2969839572906494
-3.4799999999999995,-1.2601704597473145
-3.54,-1.2356675863265991
-3.5999999999999996,-1.2042077779769897
-3.66,-1.1735661029815674
-3.7199999999999998,-1.1364022493362427
-3.7800000000000002,-1.105655312538147
-3.84,-1.076959490776062
-3.9000000000000004,-1.0502970218658447
-3.96,-1.0178241729736328
-4.0200000000000005,-0.9827274680137634
-4.08,-0.9560896754264832
-4.14,-0.933322548866272
-4.199999999999999,-0.9042233228683472
-4.26,-0.8750651478767395
-4.32,-0.8379243612289429
-4.38,-0.8129410743713379
-4.4399999999999995,-0.7856994867324829
-4.5,-0.7618968486785889
-4.5600000000000005,-0.7254214882850647
-4.62,-0.6995482444763184
-4.68,-0.6726959943771362
-4.74,-0.6463131904602051
-4.800000000000001,-0.6148063540458679
-4.86,-0.588697612285614
-4.92,-0.5627185702323914
-4.9799999999999995,-0.5472213625907898
-5.04,-0.5215650200843811
-5.1,-0.48963409662246704
-5.16,-0.4675799310207367
-5.22,-0.42955470085144043
-5.28,-0.4044142961502075
-5.34,-0.38925445079803467
-5.4,-0.36266130208969116
-5.46,-0.3338424861431122
-5.5200000000000005,-0.3072740137577057
-5.58,-0.2851661145687103
-5.64,-0.2551233172416687
-5.699999999999999,-0.22545689344406128
-5.76,-0.21003025770187378
-5.82,-0.18128642439842224
-5.88,-0.15356232225894928
-5.9399999999999995,-0.13330905139446259
-6.0,-0.10576625168323517
0.0,-2.8283960819244385
-0.06,-2.807309150695801
-0.12,-2.786012887954712
-0.18,-2.7697157859802246
-0.24,-2.7500219345092773
-0.30000000000000004,-2.721189022064209
-0.36,-2.697622060775757
-0.42000000000000004,-2.678455352783203
-0.48,-2.6355085372924805
-0.54,-2.6081900596618652
-0.6000000000000001,-2.5786116123199463
-0.66,-2.544668674468994
-0.72,-2.5115485191345215
-0.78,-2.4591989517211914
-0.8400000000000001,-2.4206383228302
-0.8999999999999999,-2.330376386642456
-0.96,-2.220104694366455
-1.02,-2.0803303718566895
-1.08,-1.9357728958129883
