"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,0.35655520808853386
2.0,0.2552571136206047
3.0,-0.2956600913862388
4.0,-0.3355995310730043
5.0,-0.4658723171061971
6.0,-0.4847731663165666
7.0,-0.531257279506954
8.0,-0.5632335024510577
9.0,-0.6739634276860051
10.0,-0.7022522723969725
11.0,-0.6611614234528606
12.0,-0.6497759782337308
13.0,-0.4769508523088257
14.0,-0.4561740465627745
15.0,-0.35521801097096783
16.0,-0.3427055844480454
17.0,-0.2883602394212347
18.0,-0.2873588819834168
19.0,-0.29064485293199305
20.0,-0.3065625532069744
21.0,-0.3760153350994414
22.0,-0.38580104307514584
23.0,-0.40530547395403804
24.0,-0.4254491117648927
25.0,-0.4436778710244053
26.0,-0.45790397668783195
27.0,-0.46225433386149306
28.0,-0.46572817748227474
29.0,-0.4655136148040793
30.0,-0.462910098112757
31.0,-0.4549829406545303
32.0,-0.44928582600613515
33.0,-0.43720382242077976
34.0,-0.4246020552149861
35.0,-0.4169154847559418
36.0,-0.402583768430271
37.0,-0.3951670805464133
38.0,-0.3825288751895165
39.0,-0.37699286710086105
40.0,-0.3717826903140803
41.0,-0.367641895576073
42.0,-0.3649258421373362
43.0,-0.36362129434892115
44.0,-0.36362328720378123
45.0,-0.36506363420852517
46.0,-0.3696418523046446
47.0,-0.3733833795971729
48.0,-0.38042616876289587
49.0,-0.38437320842423944
50.0,-0.38844895922132683
51.0,-0.3953063106551956
52.0,-0.3988848011287138
53.0,-0.4019993789277633
54.0,-0.40451276802557745
55.0,-0.4063134711934404
56.0,-0.4075297622196171
57.0,-0.4080737472388829
58.0,-0.40800622965089406
59.0,-0.40730427935828917
60.0,-0.4061212113910508
61.0,-0.4039255415144355
62.0,-0.40199227031705853
63.0,-0.39798955941809533
64.0,-0.3958364348190987
65.0,-0.39153014751661747
66.0,-0.3869975560618091
67.0,-0.3843265267303039
68.0,-0.3819648251826569
69.0,-0.37910153998954715
70.0,-0.37757246243138676
71.0,-0.37613974002215717
72.0,-0.3759408181331531
73.0,-0.3766697349394168
74.0,-0.3789258811692306
75.0,-0.38081741335140173
76.0,-0.38446792941559077
77.0,-0.3880488439939922
78.0,-0.3907945974607707
79.0,-0.39276627782206314
80.0,-0.39397270888219965
81.0,-0.3946920621704551
82.0,-0.39469154798245437
83.0,-0.394476080063669
84.0,-0.39339238826462297
85.0,-0.39278460732067144
86.0,-0.39160781297366776
87.0,-0.39172653584479367
88.0,-0.3919665863961046
89.0,-0.39223261325737485
90.0,-0.3932055065810399
91.0,-0.3945989088151906
92.0,-0.39616142346117633
93.0,-0.3983075045647273
94.0,-0.3998467391524293
95.0,-0.402838591741294
96.0,-0.40445258924766625
97.0,-0.4068488022153874
98.0,-0.4084833201449818
99.0,-0.4108715497405749
100.0,-0.4131635657499795
101.0,-0.41533026513904664
102.0,-0.41780091676644254
103.0,-0.41885767047186184
104.0,-0.42036649093986767
105.0,-0.42172486887381133
106.0,-0.42284587887026853
107.0,-0.42371118645862077
108.0,-0.4246374862866821
109.0,-0.42520273751942855
110.0,-0.4258031031834288
111.0,-0.42665199343378335
112.0,-0.4271594871552558
113.0,-0.4277581832372707
114.0,-0.4281507193009913
115.0,-0.4285548557304449
116.0,-0.42860182103552313
117.0,-0.4285921261902671
118.0,-0.4284941244098991
119.0,-0.4283692751669415
120.0,-0.4281391940046507
121.0,-0.427996544501135
122.0,-0.42795314482063335
123.0,-0.42792424749361657
124.0,-0.4280432670765382
125.0,-0.4283608218774372
126.0,-0.42867278833716027
127.0,-0.42955121215998704
128.0,-0.4301085921942371
129.0,-0.43124291815285204
130.0,-0.43258251983572427
131.0,-0.4346961716969913
132.0,-0.436273805904744
133.0,-0.43866441885827934
134.0,-0.4403768162898569
135.0,-0.4429440107197927
