"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,1.635062443804895
2.0,1.0122405761355242
3.0,-0.06845967627149258
4.0,-0.2913562345415156
5.0,-0.5519886528942851
6.0,-0.56040040611455
7.0,-0.6015454402819214
8.0,-0.6315668001920602
9.0,-0.7246933332527046
10.0,-0.7292811038376432
11.0,-0.6664327192992616
12.0,-0.6525554995484218
13.0,-0.4566659579206957
14.0,-0.43344351119354585
15.0,-0.33216248249558433
16.0,-0.3214205741333495
17.0,-0.27929865416264726
18.0,-0.27882247404181537
19.0,-0.28187949391087025
20.0,-0.29778576769765064
21.0,-0.3717752081954644
22.0,-0.3819228059401068
23.0,-0.3999432352846975
24.0,-0.4173402491418446
25.0,-0.4328767995095485
26.0,-0.44464793491315024
27.0,-0.4477987700627879
28.0,-0.44901222686594594
29.0,-0.44767205709230046
30.0,-0.4438128209503209
31.0,-0.43325127782779843
32.0,-0.4263693628481917
33.0,-0.4115378829595312
34.0,-0.39639701478623424
35.0,-0.38747889407695985
36.0,-0.3704307548583705
37.0,-0.3616273419460346
38.0,-0.34645539613274
39.0,-0.3395493018490627
40.0,-0.33296068243160953
41.0,-0.327389853010473
42.0,-0.32355996238702495
43.0,-0.3215951372322889
44.0,-0.3212996807027584
45.0,-0.3229391477844042
46.0,-0.3290782067754446
47.0,-0.3337301275896573
48.0,-0.34313367532205574
49.0,-0.3480420590357598
50.0,-0.35316652392055903
51.0,-0.36155399542312305
52.0,-0.3654278373533561
53.0,-0.368739682807945
54.0,-0.37125240762442874
55.0,-0.3727543342831943
56.0,-0.37346367751755055
57.0,-0.37325935812893474
58.0,-0.37221705737613286
59.0,-0.3703622749197389
60.0,-0.36790447259403714
61.0,-0.3637841535605437
62.0,-0.3604767949786572
63.0,-0.3540119766961643
64.0,-0.3506880681295153
65.0,-0.3444444260303222
66.0,-0.3384397068650268
67.0,-0.33502376068281525
68.0,-0.3320621702047407
69.0,-0.32884657950679735
70.0,-0.3272721466018978
71.0,-0.32595396598650866
72.0,-0.3256838535567046
73.0,-0.32611784240299746
74.0,-0.3274656837087438
75.0,-0.3285493001722136
76.0,-0.3303925918288044
77.0,-0.3320817202277442
78.0,-0.33288877797758554
79.0,-0.33330393663837565
80.0,-0.33293036582464464
81.0,-0.33266719349081736
82.0,-0.3316155849224334
83.0,-0.3307732753310974
84.0,-0.3288510795066556
85.0,-0.3279566294544193
86.0,-0.32608882252939553
87.0,-0.32596864265677467
88.0,-0.3258004982631427
89.0,-0.32598172233143347
90.0,-0.326857367367
91.0,-0.3282711417658902
92.0,-0.32980160346387555
93.0,-0.3320562152733028
94.0,-0.33355877196356964
95.0,-0.3365331754666602
96.0,-0.3380869051731828
97.0,-0.3403261777472511
98.0,-0.3417995838332456
99.0,-0.3439143968921033
100.0,-0.3459067554917931
101.0,-0.3477072874450765
102.0,-0.3498154026660404
103.0,-0.35076146851640916
104.0,-0.35224354829956245
105.0,-0.3535314010577725
106.0,-0.35461919553994853
107.0,-0.35536422177128135
108.0,-0.35607500571550854
109.0,-0.3564215762890345
110.0,-0.356745743470196
111.0,-0.35709675375722694
112.0,-0.35718776307625505
113.0,-0.3570913866643852
114.0,-0.3566776594142535
115.0,-0.3561116739447412
116.0,-0.35506140884843757
117.0,-0.3542321170268406
118.0,-0.35327025798973444
119.0,-0.35233025094941994
120.0,-0.3510333951782601
121.0,-0.35029356103677284
122.0,-0.3497288074638777
123.0,-0.3492988070156493
124.0,-0.3490817619220534
125.0,-0.34905081609452615
126.0,-0.3492035509391925
127.0,-0.3498111614235188
128.0,-0.3502230412662637
129.0,-0.3510858611257163
130.0,-0.3521055524782514
131.0,-0.35373081569517806
132.0,-0.35495652185408827
133.0,-0.35677912014331636
134.0,-0.3580145692551295
135.0,-0.35984191675395616
136.0,-0.36103633330005486
137.0,-0.3627491540655269
138.0,-0.3638968539702286
139.0,-0.36503661813459515
