"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-0.66,-0.4524046778678894
-0.72,-0.2929898202419281
-0.78,-0.34839457273483276
-0.8400000000000001,-0.4666968584060669
-0.8999999999999999,-0.5425013303756714
-0.96,-0.5979824662208557
-1.02,-0.6640123128890991
-1.08,-0.7215355038642883
-1.1400000000000001,-0.7614626884460449
-1.2000000000000002,-0.7846735119819641
-1.26,-0.8080533742904663
-1.32,-0.8171094059944153
-1.3800000000000001,-0.8263716101646423
-1.44,-0.8383215069770813
-1.5,-0.8557866811752319
-1.56,-0.8637611865997314
-1.62,-0.8697690367698669
-1.6800000000000002,-0.8774847984313965
-1.7399999999999998,-0.8883976340293884
-1.7999999999999998,-0.894242525100708
-1.8599999999999999,-0.8979769945144653
-1.92,-0.8992628455162048
-1.98,-0.9013048410415649
-2.04,-0.9037855863571167
-2.0999999999999996,-0.9047293066978455
-2.16,-0.9043327569961548
-2.2199999999999998,-0.9025936126708984
-2.2800000000000002,-0.9003604650497437
-2.34,-0.8960614800453186
-2.4000000000000004,-0.8927037715911865
-2.46,-0.8863384127616882
-2.52,-0.8813937306404114
-2.58,-0.8727705478668213
-2.64,-0.8662135601043701
-2.7,-0.8545737266540527
-2.7600000000000002,-0.8409542441368103
-2.82,-0.831291139125824
-2.88,-0.8153191208839417
-2.94,-0.8047426342964172
-3.0,-0.7876094579696655
-3.06,-0.7762627601623535
-3.12,-0.7577549815177917
-3.18,-0.7437953352928162
-3.24,-0.7258142232894897
-3.3000000000000003,-0.7108380198478699
-3.3600000000000003,-0.6910240054130554
-3.42,-0.6771893501281738
-3.4799999999999995,-0.655666172504425
-3.54,-0.629160463809967
-3.5999999999999996,-0.6025076508522034
-3.66,-0.5872196555137634
-3.7199999999999998,-0.5694469213485718
-3.7800000000000002,-0.5594196319580078
-3.84,-0.5420151948928833
-3.9000000000000004,-0.5253950357437134
-3.96,-0.5140747427940369
-4.0200000000000005,-0.4971608519554138
-4.08,-0.4859088957309723
-4.14,-0.4669324457645416
-4.199999999999999,-0.45003876090049744
-4.26,-0.4386928081512451
-4.32,-0.42157942056655884
-4.38,-0.4027896523475647
-4.4399999999999995,-0.3915839195251465
-4.5,-0.37467896938323975
-4.5600000000000005,-0.3619360029697418
-4.62,-0.3481392562389374
-4.68,-0.33592236042022705
-4.74,-0.3175642788410187
-4.800000000000001,-0.309156209230423
-4.86,-0.2975373864173889
-4.92,-0.2870577573776245
-4.9799999999999995,-0.27586936950683594
-5.04,-0.2628297805786133
-5.1,-0.2492557168006897
-5.16,-0.23943327367305756
-5.22,-0.22523868083953857
-5.28,-0.2160857766866684
-5.34,-0.20191863179206848
-5.4,-0.18759335577487946
-5.46,-0.17758238315582275
-5.5200000000000005,-0.1621880978345871
-5.58,-0.15085850656032562
-5.64,-0.13615386188030243
-5.699999999999999,-0.1283620446920395
-5.76,-0.11349857598543167
-5.82,-0.09695092588663101
-5.88,-0.08601047843694687
-5.9399999999999995,-0.06965891271829605
-6.0,-0.0543413907289505
0.0,-1.5123039484024048
-0.06,-1.5203173160552979
-0.12,-1.524430274963379
-0.18,-1.5342165231704712
-0.24,-1.5383738279342651
-0.30000000000000004,-1.5417795181274414
-0.36,-1.546321988105774
-0.42000000000000004,-1.5534522533416748
-0.48,-1.5411690473556519
-0.54,-1.470501184463501
-0.6000000000000001,-1.2126922607421875
