"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,1.2163052821301152
2.0,1.3028969567551405
3.0,0.9046515506664188
4.0,0.3217214815737181
5.0,-0.01746460326113495
6.0,-0.08069195975243798
7.0,-0.534159343006736
8.0,-0.5950029337245539
9.0,-0.7437103154848866
10.0,-1.1105280127347399
11.0,-1.2853795653321485
12.0,-1.2460948073381808
13.0,-1.0905664079302444
14.0,-0.7718542055258937
15.0,-0.48219757236458877
16.0,-0.4156970630875109
17.0,-0.1675675391356252
18.0,-0.15133561589706518
19.0,-0.1441796918398932
20.0,-0.16429211532500781
21.0,-0.17775310821301973
22.0,-0.31152507959171616
23.0,-0.330220213857095
24.0,-0.4560119259455297
25.0,-0.46828871043920556
26.0,-0.47723970195947735
27.0,-0.48284471325976047
28.0,-0.48745263979068115
29.0,-0.48728135291669417
30.0,-0.4816332737639808
31.0,-0.47566086021343185
32.0,-0.4665165735436696
33.0,-0.44614230046282105
34.0,-0.43478319954391054
35.0,-0.41273007109503895
36.0,-0.4015612119688548
37.0,-0.3824283786058886
38.0,-0.3733259191498904
39.0,-0.3652885290552008
40.0,-0.3586686095529968
41.0,-0.3538324976324037
42.0,-0.35131536095406496
43.0,-0.3507054875748277
44.0,-0.35174965035587696
45.0,-0.35455025778633775
46.0,-0.358525472216655
47.0,-0.36360467645841243
48.0,-0.3696735621568662
49.0,-0.37844997751451964
50.0,-0.3873479845623029
51.0,-0.3958814335900822
52.0,-0.4038863256728489
53.0,-0.41089441499047247
54.0,-0.4168072490133683
55.0,-0.421439591564048
56.0,-0.4246007113214155
57.0,-0.4261299444270243
58.0,-0.4262457498260017
59.0,-0.42517086147010646
60.0,-0.42286788774344936
61.0,-0.41956307283143296
62.0,-0.41562176426040026
63.0,-0.4115048159902307
64.0,-0.40608963387410185
65.0,-0.4022885883538714
66.0,-0.3975818000494474
67.0,-0.39386671419068264
68.0,-0.3919561213919903
69.0,-0.39040586577393266
70.0,-0.38998311537387215
71.0,-0.39021972619246126
72.0,-0.39125145018369084
73.0,-0.39287844799506005
74.0,-0.3950057875608314
75.0,-0.39768194775508997
76.0,-0.40066951326896777
77.0,-0.4038964692093909
78.0,-0.4071078090527008
79.0,-0.41050351852589867
80.0,-0.4136281811782874
81.0,-0.41670363385742837
82.0,-0.42030415401767285
83.0,-0.42339188432573954
84.0,-0.42544961025667916
85.0,-0.4273791028914141
86.0,-0.42938462911989184
87.0,-0.4292662967682631
88.0,-0.42733786905874077
89.0,-0.4261029616873285
90.0,-0.4224666384076416
91.0,-0.4177132997597948
92.0,-0.41298082891291626
93.0,-0.409392126455342
94.0,-0.4068678307253303
95.0,-0.40507357266940947
96.0,-0.40489013196492013
97.0,-0.4052333483440494
98.0,-0.40570064702369635
99.0,-0.40676660634166295
100.0,-0.4089591968636546
101.0,-0.41024898976488566
102.0,-0.41254101135040583
103.0,-0.41529643463741794
104.0,-0.41852898481169043
105.0,-0.42225146816005277
106.0,-0.4261435893161794
107.0,-0.43047331457612675
108.0,-0.4360841150660808
109.0,-0.44033217226009935
110.0,-0.44620974753880815
111.0,-0.45154437880215426
112.0,-0.45619581493277744
113.0,-0.46031498084621736
114.0,-0.46368543364292003
115.0,-0.4667367005286837
116.0,-0.4689059103880808
117.0,-0.47098285693145464
118.0,-0.4725515419125991
119.0,-0.4735595160792457
120.0,-0.4751559732001422
121.0,-0.4763749311886579
122.0,-0.4776487016027954
123.0,-0.47971588631042084
124.0,-0.48092807478027766
125.0,-0.482275220293461
126.0,-0.4838300878781901
127.0,-0.48552050175409645
128.0,-0.48722226768661453
129.0,-0.4896025922013416
130.0,-0.49117793559576595
131.0,-0.4928163972508397
132.0,-0.49451724579100087
133.0,-0.4971451639043903
134.0,-0.49841133476643446
