"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-2.2800000000000002,-0.671339750289917
-2.34,-0.6671001315116882
-2.4000000000000004,-0.6613520383834839
-2.46,-0.6541228890419006
-2.52,-0.6487559676170349
-2.58,-0.638913094997406
-2.64,-0.6318761706352234
-2.7,-0.6204231977462769
-2.7600000000000002,-0.6125785708427429
-2.82,-0.5995410084724426
-2.88,-0.5896658301353455
-2.94,-0.5802702307701111
-3.0,-0.5650432109832764
-3.06,-0.5544506907463074
-3.12,-0.5373411178588867
-3.18,-0.5194656848907471
-3.24,-0.5075029134750366
-3.3000000000000003,-0.48956823348999023
-3.3600000000000003,-0.4775511920452118
-3.42,-0.4579392969608307
-3.4799999999999995,-0.4384934902191162
-3.54,-0.4256576597690582
-3.5999999999999996,-0.40871113538742065
-3.66,-0.40036705136299133
-3.7199999999999998,-0.3913348317146301
-3.7800000000000002,-0.3837120831012726
-3.84,-0.37539660930633545
-3.9000000000000004,-0.36262425780296326
-3.96,-0.35425323247909546
-4.0200000000000005,-0.34596800804138184
-4.08,-0.33439886569976807
-4.14,-0.32340207695961
-4.199999999999999,-0.31682324409484863
-4.26,-0.30676013231277466
-4.32,-0.2955993711948395
-4.38,-0.28405866026878357
-4.4399999999999995,-0.27658581733703613
-4.5,-0.265281081199646
-4.5600000000000005,-0.25695985555648804
-4.62,-0.249024897813797
-4.68,-0.23751762509346008
-4.74,-0.22757889330387115
-4.800000000000001,-0.22406110167503357
-4.86,-0.21056458353996277
-4.92,-0.20017549395561218
-4.9799999999999995,-0.1933445781469345
-5.04,-0.1829403042793274
-5.1,-0.17377322912216187
-5.16,-0.16588552296161652
-5.22,-0.15473672747612
-5.28,-0.14676299691200256
-5.34,-0.13835249841213226
-5.4,-0.1277661919593811
-5.46,-0.12073064595460892
-5.5200000000000005,-0.10922592133283615
-5.58,-0.10098125040531158
-5.64,-0.09115932881832123
-5.699999999999999,-0.08293990045785904
-5.76,-0.07307229191064835
-5.82,-0.06312885880470276
-5.88,-0.05661321431398392
-5.9399999999999995,-0.046250831335783005
-6.0,-0.03624184802174568
0.0,-1.1272293329238892
-0.06,-1.1206740140914917
-0.12,-1.1159210205078125
-0.18,-1.116784691810608
-0.24,-1.1175397634506226
-0.30000000000000004,-1.1117318868637085
-0.36,-1.0794355869293213
-0.42000000000000004,-0.9840700030326843
-0.48,-0.7945535182952881
-0.54,-0.4556630551815033
-0.6000000000000001,-0.23415018618106842
-0.66,-0.2578580379486084
-0.72,-0.3701860308647156
-0.78,-0.4334085285663605
-0.8400000000000001,-0.4751609265804291
-0.8999999999999999,-0.5191893577575684
-0.96,-0.5387420654296875
-1.02,-0.5598987340927124
-1.08,-0.5828606486320496
-1.1400000000000001,-0.5985971093177795
-1.2000000000000002,-0.6076000928878784
-1.26,-0.6186004877090454
-1.32,-0.6230979561805725
-1.3800000000000001,-0.628840446472168
-1.44,-0.6357348561286926
-1.5,-0.6509138941764832
-1.56,-0.6588446497917175
-1.62,-0.6687372326850891
-1.6800000000000002,-0.674078643321991
-1.7399999999999998,-0.6791121363639832
-1.7999999999999998,-0.6823011636734009
-1.8599999999999999,-0.6862584948539734
-1.92,-0.6883513927459717
-1.98,-0.6885077953338623
-2.04,-0.6860143542289734
-2.0999999999999996,-0.6827772259712219
-2.16,-0.6789173483848572
-2.2199999999999998,-0.6756383776664734
