"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,2.467792952208137
2.0,1.8451629150578985
3.0,0.5470728947457736
4.0,0.21782237641112726
5.0,-0.10207800879498889
6.0,-0.28601303615081897
7.0,-0.3342063978882898
8.0,-0.8736092327429704
9.0,-0.9000861895786375
10.0,-1.0296727731857451
11.0,-1.0144839203828728
12.0,-0.7161888877782792
13.0,-0.5882100369826031
14.0,-0.40929764567691823
15.0,-0.18428247040576165
16.0,-0.16458716508908233
17.0,-0.1526102374673712
18.0,-0.14746810391564497
19.0,-0.16910752907015172
20.0,-0.17895126396486705
21.0,-0.28257760503135837
22.0,-0.29600305161843193
23.0,-0.30906730889767864
24.0,-0.40299783172812675
25.0,-0.4125636575281089
26.0,-0.41819291936241554
27.0,-0.4188492333179207
28.0,-0.4142194330132604
29.0,-0.41056398865135657
30.0,-0.39782036094136775
31.0,-0.38230128552427134
32.0,-0.3732937733946765
33.0,-0.3525224521844471
34.0,-0.3382704760982775
35.0,-0.3185433766905981
36.0,-0.3057579813254085
37.0,-0.2944320949477023
38.0,-0.28540109700166333
39.0,-0.27897147009696965
40.0,-0.2760473703118285
41.0,-0.2751107209562809
42.0,-0.2761108088576498
43.0,-0.27957276127623654
44.0,-0.2832609186767685
45.0,-0.28982340442088017
46.0,-0.29490508894792616
47.0,-0.3053728382587121
48.0,-0.31357150499880043
49.0,-0.3214537187937741
50.0,-0.3285368831688096
51.0,-0.3330014173374271
52.0,-0.3382171798801885
53.0,-0.34079588045600945
54.0,-0.34231584089112826
55.0,-0.3426942201075533
56.0,-0.34168250803189854
57.0,-0.33947801164412594
58.0,-0.33627061750006537
59.0,-0.33227353813553456
60.0,-0.3279296160562111
61.0,-0.323455192868335
62.0,-0.3189823232574686
63.0,-0.31577468370515166
64.0,-0.31186158436396527
65.0,-0.3084685768968386
66.0,-0.30614063145782255
67.0,-0.30382737987497144
68.0,-0.30251304697938813
69.0,-0.30150444904000057
70.0,-0.30127770715423285
71.0,-0.3018755447084525
72.0,-0.3030664753973782
73.0,-0.3049797581259838
74.0,-0.30727876243685326
75.0,-0.3098626553835402
76.0,-0.3126451406806651
77.0,-0.31537990682512435
78.0,-0.318039569634927
79.0,-0.32072590481114427
80.0,-0.32215220123230837
81.0,-0.3231309919024535
82.0,-0.32341748958814515
83.0,-0.32286666034505196
84.0,-0.32170356100266095
85.0,-0.3196696738685312
86.0,-0.3168908690973244
87.0,-0.3139277517278545
88.0,-0.3101345541807871
89.0,-0.3036319901352868
90.0,-0.29972301518918765
91.0,-0.2916932747581165
92.0,-0.28903298884167933
93.0,-0.2842398493190767
94.0,-0.2816267978926309
95.0,-0.2775509279415308
96.0,-0.27584331401736073
97.0,-0.2736318234955135
98.0,-0.2723331934356773
99.0,-0.2723024837596789
100.0,-0.2719018682443512
101.0,-0.2719856448417945
102.0,-0.27197698558579364
103.0,-0.27309147104205234
104.0,-0.27477485087051107
105.0,-0.2759694689471938
106.0,-0.27878914844399894
107.0,-0.282783124808725
108.0,-0.28755939672708825
109.0,-0.29368496436996266
110.0,-0.30073992123392235
111.0,-0.31143906187088716
112.0,-0.3191105132970664
113.0,-0.32749770525236394
114.0,-0.3349495319493468
115.0,-0.3421300276466221
116.0,-0.34658124168059395
117.0,-0.35207426561964317
118.0,-0.3541368738611002
119.0,-0.35617040766716607
120.0,-0.3573554231407083
121.0,-0.3572706798083247
122.0,-0.355865202017607
123.0,-0.3537239777953874
124.0,-0.34973883569249065
125.0,-0.34734084756698
126.0,-0.34174217343872526
127.0,-0.33918546196278593
128.0,-0.3342609853197099
129.0,-0.3323613490133341
130.0,-0.32966065118634263
131.0,-0.32888299619615996
132.0,-0.3278479885034016
133.0,-0.3269449028299317
134.0,-0.3272336058088516
135.0,-0.3278666384350842
136.0,-0.32927759146344227
137.0,-0.3306534515697806
138.0,-0.33255898745710305
139.0,-0.33572894443475176
140.0,-0.338017862029785
141.0,-0.34155288903335573
142.0,-0.34422053972665106
143.0,-0.34818678241329026
144.0,-0.35084354892677044
145.0,-0.35447947575552247
146.0,-0.3576372876896122
147.0,-0.36016301714066523
148.0,-0.36155676293678113
149.0,-0.36320618167176755
150.0,-0.36357836087255635
151.0,-0.36316800343104955
152.0,-0.3626417434117502
153.0,-0.35945466584658964
154.0,-0.358717397204142
155.0,-0.35703924217420246
156.0,-0.355702381078463
157.0,-0.35523518527353876
158.0,-0.35437848012695855
159.0,-0.35425240602525476
160.0,-0.35460296500661376
161.0,-0.3551906616996816
162.0,-0.35608011191733946
163.0,-0.3569589227477039
164.0,-0.35843562014294517
165.0,-0.35957659689385435
166.0,-0.3614417253909811
167.0,-0.3628067040860346
168.0,-0.36504708008301534
169.0,-0.36741332378063063
170.0,-0.3690666225065365
171.0,-0.3714428164027874
172.0,-0.3738211589451848
173.0,-0.37586749690264526
174.0,-0.3784690811957191
175.0,-0.37983144353693216
176.0,-0.3812150537046164
177.0,-0.3830177495064906
178.0,-0.38335269492596474
179.0,-0.3837740729820026
180.0,-0.38433984888590583
181.0,-0.3844145553073753
182.0,-0.38498131344829617
183.0,-0.3852708090248127
184.0,-0.38558058113196686
185.0,-0.3857686353557927
186.0,-0.38639398843938905
187.0,-0.3874211224001516
188.0,-0.3884000605847175
189.0,-0.38919385548670515
190.0,-0.39068689069057383
191.0,-0.3921246593656538
192.0,-0.392996188196884
193.0,-0.3953054996153818
194.0,-0.3975445713286095
195.0,-0.3986652497877746
196.0,-0.40137131384869
197.0,-0.40253731140955956
198.0,-0.40542015768337963
199.0,-0.406598852170267
200.0,-0.4094544537689025
201.0,-0.410556197849458
202.0,-0.4131955234057453
203.0,-0.4142276459371712
204.0,-0.41661001368490924
205.0,-0.41754107509741767
206.0,-0.4191358009956239
207.0,-0.42111917505507523
208.0,-0.42201820187661776
209.0,-0.42302885550761726
210.0,-0.42499426255723693
211.0,-0.425749773531949
212.0,-0.4266659336211025
213.0,-0.4286676925953957
214.0,-0.42942334678813293
215.0,-0.43043717066627357
216.0,-0.43257578936444896
217.0,-0.43339154664398466
218.0,-0.43522715651499244
219.0,-0.43598015911753335
220.0,-0.43765660323189987
221.0,-0.4385662607812223
222.0,-0.4397191932374874
223.0,-0.4404085504027178
224.0,-0.44106329380895587
225.0,-0.4413340953778583
226.0,-0.441430548305363
227.0,-0.441230495879122
228.0,-0.44063060491885725
229.0,-0.44028828322524466
230.0,-0.43763411674419295
231.0,-0.4371121629079101
232.0,-0.4363470623358744
233.0,-0.4357600869882711
234.0,-0.43523759655817496
235.0,-0.43507276337265344
236.0,-0.43511131808878534
237.0,-0.43528544351738546
238.0,-0.4357294902279593
239.0,-0.43660114956957546
240.0,-0.43743981441280955
241.0,-0.43856254767551667
242.0,-0.44030767274547356
243.0,-0.4417111074407514
244.0,-0.44329638510673697
245.0,-0.44555429238063854
246.0,-0.4472387706044418
247.0,-0.44901192087142155
248.0,-0.45140932521603017
249.0,-0.4530088652017558
250.0,-0.45463749966973493
251.0,-0.45669536037037894
252.0,-0.4578416095562099
253.0,-0.4589437629554791
254.0,-0.46023761775456296
255.0,-0.46071789141901054
256.0,-0.4613564943183265
257.0,-0.4614109923228676
258.0,-0.4610544691631639
259.0,-0.46045799851476493
260.0,-0.45974501911548976
261.0,-0.458941442376058
262.0,-0.4582023956628035
263.0,-0.4575341710275486
264.0,-0.4571188870671925
265.0,-0.45688485560175884
266.0,-0.45680561643633716
267.0,-0.4570142137041822
268.0,-0.45753970021447854
269.0,-0.45840479624524216
270.0,-0.4595472196869544
271.0,-0.46095573921621263
272.0,-0.462602916116879
273.0,-0.4643751435373084
274.0,-0.4673379354090612
275.0,-0.468159041888284
276.0,-0.4698701860047149
277.0,-0.4714329598859925
278.0,-0.47290037639918425
279.0,-0.4742266186557386
280.0,-0.4753945551094873
281.0,-0.4764109523071555
282.0,-0.4772661205723502
283.0,-0.4779939397159503
284.0,-0.4785518039858456
285.0,-0.4789887381648679
286.0,-0.47936280539026127
287.0,-0.4796771702120132
288.0,-0.4799259148138989
289.0,-0.4801235895581916
290.0,-0.480587407455476
291.0,-0.48108243272368745
292.0,-0.4818907110926171
293.0,-0.48233722582480626
294.0,-0.48315366826517014
295.0,-0.48439510341578595
296.0,-0.4850135926846026
297.0,-0.4865107759298066
298.0,-0.487198273370669
299.0,-0.48886884570300754
300.0,-0.48957974544747485
301.0,-0.4912166281905166
302.0,-0.49190914832387955
303.0,-0.4934312363497472
304.0,-0.49405955366429843
305.0,-0.4953782015401513
306.0,-0.4959384897367108
307.0,-0.497032395162236
308.0,-0.497666579344912
309.0,-0.4983228792290255
310.0,-0.49893508247543733
311.0,-0.49949637624847576
312.0,-0.5000660929481925
313.0,-0.5006530889408263
314.0,-0.5012296537280289
315.0,-0.5018096504565166
316.0,-0.5023636890707814
317.0,-0.503038147952264
318.0,-0.5040006284245475
319.0,-0.504459329889738
320.0,-0.505259791044212
321.0,-0.5061212181585388
322.0,-0.5070499671112056
323.0,-0.5080366740874926
324.0,-0.50907802614919
325.0,-0.5101623619909826
326.0,-0.5112959070536416
327.0,-0.5124864936236807
328.0,-0.5137120989641697
329.0,-0.514946450066145
330.0,-0.5161936250236212
331.0,-0.517425192001044
332.0,-0.5186500629992432
333.0,-0.5193488554734332
334.0,-0.5215490047133843
335.0,-0.5220908537256151
336.0,-0.5229948725780214
