"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-1.818407654762268
-0.06,-1.817171573638916
-0.12,-1.8107869625091553
-0.18,-1.8130236864089966
-0.24,-1.8120348453521729
-0.30000000000000004,-1.8048347234725952
-0.36,-1.8059464693069458
-0.42000000000000004,-1.7945038080215454
-0.48,-1.7868651151657104
-0.54,-1.7773720026016235
-0.6000000000000001,-1.7411251068115234
-0.66,-1.564197301864624
-0.72,-1.3383026123046875
-0.78,-1.2219268083572388
-0.8400000000000001,-1.2412558794021606
-0.8999999999999999,-1.397303581237793
-0.96,-1.536104679107666
-1.02,-1.5685218572616577
-1.08,-1.5629931688308716
-1.1400000000000001,-1.5453375577926636
-1.2000000000000002,-1.527690052986145
-1.26,-1.5146822929382324
-1.32,-1.4955748319625854
-1.3800000000000001,-1.475977897644043
-1.44,-1.4641627073287964
-1.5,-1.4437710046768188
-1.56,-1.4265899658203125
-1.62,-1.4042057991027832
-1.6800000000000002,-1.3843408823013306
-1.7399999999999998,-1.3683743476867676
-1.7999999999999998,-1.3516699075698853
-1.8599999999999999,-1.3279637098312378
-1.92,-1.3104727268218994
-1.98,-1.290515661239624
-2.04,-1.2667388916015625
-2.0999999999999996,-1.2432947158813477
-2.16,-1.2269439697265625
-2.2199999999999998,-1.200564980506897
-2.2800000000000002,-1.1748663187026978
-2.34,-1.1581265926361084
-2.4000000000000004,-1.132648229598999
-2.46,-1.115265965461731
-2.52,-1.0978909730911255
-2.58,-1.07045578956604
-2.64,-1.052306890487671
-2.7,-1.032607913017273
-2.7600000000000002,-1.0150599479675293
-2.82,-0.9882204532623291
-2.88,-0.9689115285873413
-2.94,-0.9524553418159485
-3.0,-0.9269343614578247
-3.06,-0.902073860168457
-3.12,-0.8843014240264893
-3.18,-0.8677284717559814
-3.24,-0.8473705053329468
-3.3000000000000003,-0.8277320861816406
-3.3600000000000003,-0.8093337416648865
-3.42,-0.7859209179878235
-3.4799999999999995,-0.7645639181137085
-3.54,-0.7502340078353882
-3.5999999999999996,-0.7287567257881165
-3.66,-0.707801878452301
-3.7199999999999998,-0.6937914490699768
-3.7800000000000002,-0.6728332042694092
-3.84,-0.6519718766212463
-3.9000000000000004,-0.6381959319114685
-3.96,-0.6175910234451294
-4.0200000000000005,-0.5968981385231018
-4.08,-0.5836036801338196
-4.14,-0.5630848407745361
-4.199999999999999,-0.5494596362113953
-4.26,-0.5298661589622498
-4.32,-0.509908139705658
-4.38,-0.4966789186000824
-4.4399999999999995,-0.47687670588493347
-4.5,-0.4571312963962555
-4.5600000000000005,-0.4441049098968506
-4.62,-0.4245568513870239
-4.68,-0.41134193539619446
-4.74,-0.39153236150741577
-4.800000000000001,-0.3782830834388733
-4.86,-0.36349523067474365
-4.92,-0.3440893292427063
-4.9799999999999995,-0.32639098167419434
-5.04,-0.3142114281654358
-5.1,-0.29642048478126526
-5.16,-0.278728187084198
-5.22,-0.26106134057044983
-5.28,-0.24786120653152466
-5.34,-0.23307596147060394
-5.4,-0.22074060142040253
-5.46,-0.20326422154903412
-5.5200000000000005,-0.18285749852657318
-5.58,-0.17293445765972137
-5.64,-0.15657776594161987
-5.699999999999999,-0.14245092868804932
-5.76,-0.12173202633857727
-5.82,-0.11025814712047577
-5.88,-0.09298571199178696
-5.9399999999999995,-0.07525384426116943
-6.0,-0.059418752789497375
