"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-1.4437302350997925
-0.06,-1.443102478981018
-0.12,-1.434124231338501
-0.18,-1.4384790658950806
-0.24,-1.4354453086853027
-0.30000000000000004,-1.428113579750061
-0.36,-1.4231741428375244
-0.42000000000000004,-1.4235440492630005
-0.48,-1.3895020484924316
-0.54,-1.2988953590393066
-0.6000000000000001,-1.2068265676498413
-0.66,-1.2314034700393677
-0.72,-1.3377504348754883
-0.78,-1.3563975095748901
-0.8400000000000001,-1.3470386266708374
-0.8999999999999999,-1.3335987329483032
-0.96,-1.3233088254928589
-1.02,-1.3092349767684937
-1.08,-1.3023210763931274
-1.1400000000000001,-1.2848975658416748
-1.2000000000000002,-1.2628675699234009
-1.26,-1.2534815073013306
-1.32,-1.2376025915145874
-1.3800000000000001,-1.2214733362197876
-1.44,-1.205557107925415
-1.5,-1.188888669013977
-1.56,-1.1753864288330078
-1.62,-1.1587449312210083
-1.6800000000000002,-1.1422874927520752
-1.7399999999999998,-1.1237518787384033
-1.7999999999999998,-1.1072723865509033
-1.8599999999999999,-1.09017813205719
-1.92,-1.0693402290344238
-1.98,-1.0482537746429443
-2.04,-1.0357959270477295
-2.0999999999999996,-1.018110990524292
-2.16,-0.9966769218444824
-2.2199999999999998,-0.9839851260185242
-2.2800000000000002,-0.9626258611679077
-2.34,-0.9452250003814697
-2.4000000000000004,-0.9246067404747009
-2.46,-0.907499372959137
-2.52,-0.8872000575065613
-2.58,-0.8754148483276367
-2.64,-0.8503226637840271
-2.7,-0.8385602831840515
-2.7600000000000002,-0.8221185803413391
-2.82,-0.8022440075874329
-2.88,-0.7861555218696594
-2.94,-0.7665303945541382
-3.0,-0.7510398626327515
-3.06,-0.7345399856567383
-3.12,-0.717217743396759
-3.18,-0.7019951939582825
-3.24,-0.6879367232322693
-3.3000000000000003,-0.6654424071311951
-3.3600000000000003,-0.6515977382659912
-3.42,-0.6347619295120239
-3.4799999999999995,-0.6211462616920471
-3.54,-0.6075976490974426
-3.5999999999999996,-0.585644543170929
-3.66,-0.5715628862380981
-3.7199999999999998,-0.5573326945304871
-3.7800000000000002,-0.5433314442634583
-3.84,-0.5301105976104736
-3.9000000000000004,-0.5129545331001282
-3.96,-0.49397528171539307
-4.0200000000000005,-0.4813130795955658
-4.08,-0.47036319971084595
-4.14,-0.4544364809989929
-4.199999999999999,-0.4370509386062622
-4.26,-0.4238499701023102
-4.32,-0.40947598218917847
-4.38,-0.3984382748603821
-4.4399999999999995,-0.38010820746421814
-4.5,-0.36977872252464294
-4.5600000000000005,-0.3588925004005432
-4.62,-0.33950796723365784
-4.68,-0.3240821957588196
-4.74,-0.31577906012535095
-4.800000000000001,-0.3009481132030487
-4.86,-0.28695279359817505
-4.92,-0.27670973539352417
-4.9799999999999995,-0.26302656531333923
-5.04,-0.24945779144763947
-5.1,-0.23462410271167755
-5.16,-0.22262944281101227
-5.22,-0.21496710181236267
-5.28,-0.19571299850940704
-5.34,-0.18385876715183258
-5.4,-0.17736773192882538
-5.46,-0.1604435294866562
-5.5200000000000005,-0.15293055772781372
-5.58,-0.13586725294589996
-5.64,-0.12470883876085281
-5.699999999999999,-0.11571336537599564
-5.76,-0.096746526658535
-5.82,-0.0872381255030632
-5.88,-0.07426988333463669
-5.9399999999999995,-0.064842589199543
-6.0,-0.046954404562711716
