"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,1.2346146030770164
2.0,1.042963730521818
3.0,0.3652294177837007
4.0,-0.0904499856022679
5.0,-0.1129527546531226
6.0,-0.23041333603900804
7.0,-0.2692903914618306
8.0,-0.366435326967686
9.0,-0.3950794213627926
10.0,-0.5561506712204419
11.0,-0.7152760063026672
12.0,-0.7278604445019805
13.0,-0.6839443902711325
14.0,-0.5249248994198774
15.0,-0.3541955804415535
16.0,-0.31026612946879206
17.0,-0.13318297430914203
18.0,-0.1205553010030378
19.0,-0.06608284773734809
20.0,-0.06846952803349605
21.0,-0.07720768929589271
22.0,-0.20242050672621045
23.0,-0.21615574870309276
24.0,-0.24376537738269066
25.0,-0.25788309950499755
26.0,-0.3052485803706703
27.0,-0.31464477505290833
28.0,-0.32143570917471437
29.0,-0.32880194134413177
30.0,-0.3299737702141868
31.0,-0.3284736751933855
32.0,-0.3241888592114371
33.0,-0.3179233647284354
34.0,-0.3036474284172849
35.0,-0.2889400314547659
36.0,-0.27838426887536505
37.0,-0.26313438029133956
38.0,-0.2490085367752515
39.0,-0.2412288512762952
40.0,-0.2325912995888509
41.0,-0.22966849561077735
42.0,-0.2281103561952613
43.0,-0.22769047616787141
44.0,-0.22887301492213544
45.0,-0.2314219516934648
46.0,-0.23502712237812418
47.0,-0.23977586403591733
48.0,-0.2501087326262734
49.0,-0.2557441705441578
50.0,-0.261546499287733
51.0,-0.2714409102408168
52.0,-0.276201098032768
53.0,-0.28042902783329415
54.0,-0.2837276460016702
55.0,-0.28853215226921697
56.0,-0.2903970904237513
57.0,-0.29153736198317093
58.0,-0.29142299326012033
59.0,-0.2902077946870343
60.0,-0.2877626978288247
61.0,-0.2844756443874062
62.0,-0.2806415115456578
63.0,-0.27659701008378407
64.0,-0.27130020865819127
65.0,-0.26835052945116417
66.0,-0.26491066724716567
67.0,-0.261997797515462
68.0,-0.2603753776960869
69.0,-0.25934046776567976
70.0,-0.25890608062542153
71.0,-0.2590458430588347
72.0,-0.2599588066031712
73.0,-0.26123268672127176
74.0,-0.26358517401644666
75.0,-0.26633237373837587
76.0,-0.269431070160813
77.0,-0.2729675603172951
78.0,-0.2776056241943729
79.0,-0.28154147291409154
80.0,-0.2852599145641425
81.0,-0.2900933578621771
82.0,-0.2914396117452446
83.0,-0.2915814821411938
84.0,-0.29014710593816895
85.0,-0.2871303558773163
86.0,-0.282312125726076
87.0,-0.27577861110321583
88.0,-0.2730305428721228
89.0,-0.26812234622297587
90.0,-0.2671315123813226
91.0,-0.26594883309399736
92.0,-0.2659850478504725
93.0,-0.2671105192217993
94.0,-0.267595687037917
95.0,-0.2704601822160682
96.0,-0.27144142771791135
97.0,-0.2740484660337419
98.0,-0.27580071160701036
99.0,-0.2796286784123459
100.0,-0.2815938484293355
101.0,-0.2847702545276869
102.0,-0.2878537458433723
103.0,-0.29025793109438863
104.0,-0.2946141742900573
105.0,-0.2968606979149651
106.0,-0.301027017355623
107.0,-0.3037575390675054
108.0,-0.30724993047440224
109.0,-0.30905765428263426
110.0,-0.31211299771825135
111.0,-0.31382656818949006
112.0,-0.3169927683925467
113.0,-0.31861299375484614
114.0,-0.3210584369368193
115.0,-0.3229911183092228
116.0,-0.32568909641391686
117.0,-0.3278071519141437
118.0,-0.32983428244157154
119.0,-0.3319767318366739
120.0,-0.3339459094684959
121.0,-0.33637510164594825
122.0,-0.337913149438279
123.0,-0.33930402747606997
124.0,-0.3408948098225143
125.0,-0.3417269271223486
126.0,-0.3424698828117612
127.0,-0.34270140865573423
128.0,-0.3426509894171188
129.0,-0.3424722799812637
130.0,-0.3421701009049222
131.0,-0.3416526681736597
132.0,-0.34133176069467
133.0,-0.3408092069095416
134.0,-0.3407567138120249
135.0,-0.3408194026043941
136.0,-0.3409182343212952
137.0,-0.3414223998692363
138.0,-0.34223897359218675
139.0,-0.3433775820744905
140.0,-0.3448055124934062
141.0,-0.34651173109898814
142.0,-0.3483739324581495
143.0,-0.349909586541211
144.0,-0.35215113798423514
145.0,-0.3547931712828778
146.0,-0.3562287482558825
147.0,-0.35862104824301827
148.0,-0.3601735694792427
149.0,-0.3619125318057925
150.0,-0.3633589148996844
151.0,-0.3647204821648718
152.0,-0.365758789873206
153.0,-0.36701576687525905
154.0,-0.3679790885613081
155.0,-0.3694112706156952
156.0,-0.3706204818609448
157.0,-0.3722542877721848
158.0,-0.3737789624946562
159.0,-0.3752451502460125
160.0,-0.3766785093636125
161.0,-0.3781029578627734
162.0,-0.3793944002080941
163.0,-0.38046219203391246
164.0,-0.3815327366159313
165.0,-0.3823555466482152
166.0,-0.38334455069335593
167.0,-0.3842272362447351
168.0,-0.3852026374378007
169.0,-0.3860094567550325
170.0,-0.3870012223339225
171.0,-0.3881115895544957
172.0,-0.389200238604597
173.0,-0.3904782083797366
174.0,-0.39201977627419593
175.0,-0.3936779530197616
176.0,-0.395898204188438
177.0,-0.39776561155517637
178.0,-0.39924511639158794
179.0,-0.4018861160537798
180.0,-0.4030731456250287
181.0,-0.4060149484409957
182.0,-0.4071278433664779
183.0,-0.4103660163872952
184.0,-0.41144365291559337
185.0,-0.4132224437956459
186.0,-0.41546729785244846
187.0,-0.41665671347844696
188.0,-0.4185027356224514
189.0,-0.42032610297644085
190.0,-0.4222470558994202
191.0,-0.4240992185409673
192.0,-0.4260052018536433
