"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,2.9612552659231053
2.0,2.0980997103502474
3.0,0.6653656285262189
4.0,-0.016696002587439994
5.0,-0.009810814365242624
6.0,-0.2556477426217958
7.0,-0.2948016249641168
8.0,-0.42824428418283866
9.0,-0.46599739838879334
10.0,-0.6707156709406775
11.0,-0.8240798204668728
12.0,-0.7790339633035512
13.0,-0.6917171000290232
14.0,-0.461968454434467
15.0,-0.2587145755774511
16.0,-0.20946636162629248
17.0,-0.039422682034102006
18.0,-0.028058839015074357
19.0,-5.846329567335733E-4
20.0,-0.006210242367042041
21.0,-0.01771822513531206
22.0,-0.17103725918243157
23.0,-0.184485759955994
24.0,-0.20858662980243067
25.0,-0.22042354145773488
26.0,-0.25716490692459754
27.0,-0.2653247253542376
28.0,-0.27010365334353803
29.0,-0.27299214375349606
30.0,-0.2721510092538829
31.0,-0.26883851443453705
32.0,-0.26289917752335024
33.0,-0.2553301836852219
34.0,-0.23923192574416494
35.0,-0.22447521252954333
36.0,-0.2145304467149551
37.0,-0.20052080189609525
38.0,-0.18769218367257165
39.0,-0.18103485802212904
40.0,-0.17375973274903136
41.0,-0.17149737474978025
42.0,-0.1706298286811701
43.0,-0.1708065133538394
44.0,-0.17247287546764767
45.0,-0.17530219500803926
46.0,-0.17899679171464117
47.0,-0.1835162583563526
48.0,-0.1935051079004807
49.0,-0.19894554009794396
50.0,-0.20480176422206564
51.0,-0.21473455326986687
52.0,-0.21951488084526577
53.0,-0.2237534648550725
54.0,-0.22707185638515165
55.0,-0.2318692909831688
56.0,-0.233548034746734
57.0,-0.2345574186355313
58.0,-0.23435677122071147
59.0,-0.2331892900222694
60.0,-0.23099794972230203
61.0,-0.2279212705268452
62.0,-0.22415985730858293
63.0,-0.21998470397512349
64.0,-0.21411480716881306
65.0,-0.21073935104493607
66.0,-0.20687032274321718
67.0,-0.20366989493614146
68.0,-0.20195288387587298
69.0,-0.2009439011358184
70.0,-0.20066074869624814
71.0,-0.20092672893265592
72.0,-0.20187246180254467
73.0,-0.20295694199013567
74.0,-0.20499541832340465
75.0,-0.207346714530039
76.0,-0.21015306534816539
77.0,-0.21345499056259418
78.0,-0.2178279158429755
79.0,-0.2213114938635423
80.0,-0.2241627191080314
81.0,-0.2268529652787517
82.0,-0.22678461270029304
83.0,-0.22409435416083215
84.0,-0.21976190789766215
85.0,-0.21410544418131255
86.0,-0.2063032712787973
87.0,-0.19636621685329744
88.0,-0.19222140778240404
89.0,-0.18479884868241012
