"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-1.5456328392028809
-0.06,-1.5235055685043335
-0.12,-1.4744510650634766
-0.18,-1.4411883354187012
-0.24,-1.4017754793167114
-0.30000000000000004,-1.328991174697876
-0.36,-1.2746976613998413
-0.42000000000000004,-1.2116329669952393
-0.48,-1.1130144596099854
-0.54,-1.0178765058517456
-0.6000000000000001,-0.9558210372924805
-0.66,-0.901430606842041
-0.72,-0.9316422939300537
-0.78,-1.0055489540100098
-0.8400000000000001,-1.0735596418380737
-0.8999999999999999,-1.1244094371795654
-0.96,-1.153962254524231
-1.02,-1.183947205543518
-1.08,-1.1952568292617798
-1.1400000000000001,-1.2038850784301758
-1.2000000000000002,-1.2030413150787354
-1.26,-1.2055823802947998
-1.32,-1.2056537866592407
-1.3800000000000001,-1.2023358345031738
-1.44,-1.192156434059143
-1.5,-1.1883528232574463
-1.56,-1.1835576295852661
-1.62,-1.1806385517120361
-1.6800000000000002,-1.1766005754470825
-1.7399999999999998,-1.1631057262420654
-1.7999999999999998,-1.1564184427261353
-1.8599999999999999,-1.1484098434448242
-1.92,-1.1391808986663818
-1.98,-1.1226094961166382
-2.04,-1.112657070159912
-2.0999999999999996,-1.10184645652771
-2.16,-1.084023356437683
-2.2199999999999998,-1.0712209939956665
-2.2800000000000002,-1.0579954385757446
-2.34,-1.0433586835861206
-2.4000000000000004,-1.0242892503738403
-2.46,-1.0093432664871216
-2.52,-0.9937463998794556
-2.58,-0.9820191860198975
-2.64,-0.9588111042976379
-2.7,-0.9451132416725159
-2.7600000000000002,-0.9294796586036682
-2.82,-0.910138726234436
-2.88,-0.8966677784919739
-2.94,-0.8769733309745789
-3.0,-0.858122706413269
-3.06,-0.8399092555046082
-3.12,-0.8216012120246887
-3.18,-0.8032554388046265
-3.24,-0.78920978307724
-3.3000000000000003,-0.7683218717575073
-3.3600000000000003,-0.7512860298156738
-3.42,-0.736130952835083
-3.4799999999999995,-0.7140706181526184
-3.54,-0.7029073238372803
-3.5999999999999996,-0.6801232099533081
-3.66,-0.6632735133171082
-3.7199999999999998,-0.6454159021377563
-3.7800000000000002,-0.6302632689476013
-3.84,-0.614994466304779
-3.9000000000000004,-0.5979593992233276
-3.96,-0.5767066478729248
-4.0200000000000005,-0.5616771578788757
-4.08,-0.54676353931427
-4.14,-0.5313462018966675
-4.199999999999999,-0.5124110579490662
-4.26,-0.4981391131877899
-4.32,-0.47951972484588623
-4.38,-0.4654715657234192
-4.4399999999999995,-0.4520384967327118
-4.5,-0.438084214925766
-4.5600000000000005,-0.4209015965461731
-4.62,-0.40675342082977295
-4.68,-0.3919166028499603
-4.74,-0.3769324719905853
-4.800000000000001,-0.35384616255760193
-4.86,-0.33873677253723145
-4.92,-0.3230695128440857
-4.9799999999999995,-0.3073878884315491
-5.04,-0.29768574237823486
-5.1,-0.28247228264808655
-5.16,-0.2651313841342926
-5.22,-0.24996823072433472
-5.28,-0.2346581518650055
-5.34,-0.22042842209339142
-5.4,-0.2067284882068634
-5.46,-0.19098922610282898
-5.5200000000000005,-0.17499002814292908
-5.58,-0.1602519154548645
-5.64,-0.14424735307693481
-5.699999999999999,-0.13659967482089996
-5.76,-0.11479725688695908
-5.82,-0.10050839185714722
-5.88,-0.09123038500547409
-5.9399999999999995,-0.07638327032327652
-6.0,-0.062195297330617905
