"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,1.92638308468621
2.0,1.5358588787549374
3.0,0.5631630763079132
4.0,-0.16292103445314857
5.0,-0.13984321303843408
6.0,-0.4034801214884773
7.0,-0.4222541475399084
8.0,-0.4880682825116413
9.0,-0.5894392003151411
10.0,-0.6949376535684888
11.0,-0.6554266067992396
12.0,-0.5657438859566182
13.0,-0.4457374666845049
14.0,-0.2503927125687773
15.0,-0.2306570351241383
16.0,-0.029205557654403202
17.0,-0.021694535317992696
18.0,-0.010118458923132541
19.0,-0.019336817924612004
20.0,-0.1076465958767055
21.0,-0.12005259630957747
22.0,-0.24590460697066202
23.0,-0.25514155970603797
24.0,-0.2663889787551856
25.0,-0.2682574457180699
26.0,-0.2668971904810992
27.0,-0.26486854465344817
28.0,-0.2601935814347872
29.0,-0.22176046994929283
30.0,-0.2181375112244132
31.0,-0.21395861990978196
32.0,-0.2053671195951133
33.0,-0.20092614880079832
34.0,-0.19261929557079532
35.0,-0.1858603165900756
36.0,-0.18371414587166782
37.0,-0.18251092940086913
38.0,-0.1819523027686802
39.0,-0.18281547768257564
40.0,-0.18478600628280412
41.0,-0.18765528844012683
42.0,-0.19479806929559298
43.0,-0.19916211871699877
44.0,-0.2030784885803339
45.0,-0.2099216919429978
46.0,-0.21327031564165608
47.0,-0.21572392064537732
48.0,-0.21903367978492327
49.0,-0.22033768231248949
50.0,-0.2210289995808957
51.0,-0.22108103762517245
52.0,-0.22041589652930657
53.0,-0.21907728826327064
54.0,-0.21555232188218257
55.0,-0.21335640690753332
56.0,-0.2082886883043007
57.0,-0.20536337511223912
58.0,-0.19957234471239796
59.0,-0.1965931709795521
60.0,-0.19150972714966139
61.0,-0.18908672555451048
62.0,-0.1865613807763495
63.0,-0.1853260563690488
64.0,-0.18476022078310098
65.0,-0.18490690079252783
66.0,-0.18561548741186612
67.0,-0.18798171094957666
68.0,-0.18971854411761288
69.0,-0.1937311161913041
70.0,-0.19763229732942034
71.0,-0.20097439088809435
72.0,-0.20369124683580503
73.0,-0.20592733527905832
74.0,-0.2079960564673059
75.0,-0.20794228737092071
76.0,-0.20603898240602647
77.0,-0.20355443822304414
78.0,-0.19978502950666854
79.0,-0.19466685372895534
80.0,-0.18976436420788334
81.0,-0.18366706458467016
82.0,-0.17991143810142712
83.0,-0.17702442531939966
84.0,-0.17512985607675524
85.0,-0.17429187565126045
86.0,-0.17442931128248357
87.0,-0.17609125616462906
88.0,-0.17804234482502743
89.0,-0.1803846649178667
90.0,-0.18164835683058034
91.0,-0.18447079897030902
92.0,-0.18695037764105304
93.0,-0.18856256390583104
94.0,-0.19058540869219082
95.0,-0.19191378189114333
96.0,-0.19304311890844772
97.0,-0.19397691878238035
98.0,-0.19507316172512282
99.0,-0.19553615743982886
100.0,-0.19599866086710088
101.0,-0.1961222679621682
102.0,-0.19604369837119837
103.0,-0.19589573441202787
104.0,-0.19573352089165105
105.0,-0.19554942979947032
106.0,-0.19549319295881645
107.0,-0.1955961558260578
108.0,-0.19578992674129636
109.0,-0.19617585725310702
110.0,-0.19684943684242462
111.0,-0.19769663322343767
112.0,-0.19874338505193623
113.0,-0.19997333691186978
114.0,-0.20278757104729947
115.0,-0.20434451879571247
116.0,-0.20596796042243404
117.0,-0.2076289280315236
118.0,-0.20926848690714706
119.0,-0.21087346072107327
120.0,-0.21235121104051408
121.0,-0.21384992475180042
122.0,-0.21508412494767742
123.0,-0.2168543159127039
124.0,-0.2172600231848509
125.0,-0.21740927849678526
126.0,-0.21703032519965793
127.0,-0.2164566699165214
128.0,-0.21507606015353553
129.0,-0.21397667240958526
130.0,-0.21215671751257134
131.0,-0.21086392303279303
132.0,-0.20898963510748184
133.0,-0.2078258104022323
134.0,-0.20640725196319323
135.0,-0.2057124850036462
136.0,-0.205057378984947
137.0,-0.20497117257013633
138.0,-0.20543580601050832
139.0,-0.20595212311320632
140.0,-0.20721262009613375
141.0,-0.20940543090878136
142.0,-0.21068516724398142
143.0,-0.21360704202829556
144.0,-0.2150612708369255
145.0,-0.21731004337346208
146.0,-0.21946945678387517
147.0,-0.22147920399134757
148.0,-0.22275908190688987
149.0,-0.22455074226290014
150.0,-0.2262049504425941
151.0,-0.22778732194435483
152.0,-0.22922790008455904
153.0,-0.23049826571645243
154.0,-0.23155824442135842
155.0,-0.23242735259203576
156.0,-0.23325313663367647
157.0,-0.2336432737238791
158.0,-0.23391196809159795
159.0,-0.23376224217760144
160.0,-0.23346743951514196
161.0,-0.2333130538005389
162.0,-0.23309200690438972
163.0,-0.2326940676910088
164.0,-0.23261087642610032
165.0,-0.23264576775813617
166.0,-0.23254687245562228
167.0,-0.23263827575692134
168.0,-0.233121110578099
169.0,-0.23370135675323225
170.0,-0.23453701961628023
171.0,-0.2355211528144942
172.0,-0.23667864750092774
173.0,-0.23794127196944181
174.0,-0.23921965931004863
175.0,-0.24058053230097676
176.0,-0.24183285505395966
177.0,-0.24298203156924505
178.0,-0.2440173777768027
179.0,-0.24488260948672042
180.0,-0.24544356137829346
181.0,-0.24589563285234808
182.0,-0.24630543221831563
183.0,-0.24652928303071567
184.0,-0.24653088653776437
185.0,-0.2465616698111802
186.0,-0.24651737390121262
187.0,-0.2465057651774388
188.0,-0.2465994264217544
189.0,-0.24701479242341012
190.0,-0.24724753038077998
191.0,-0.2481808667360725
192.0,-0.24842969102872192
193.0,-0.2488312022465213
194.0,-0.2500622937013481
195.0,-0.2505442620255235
196.0,-0.25223038967277994
197.0,-0.25263411016027776
198.0,-0.2531521283339085
199.0,-0.2540386009528757
200.0,-0.2553155892886474
201.0,-0.25582106536840504
202.0,-0.2564318029290752
203.0,-0.2580475888629332
204.0,-0.2585966426379417
205.0,-0.25928886585921673
206.0,-0.2604871585952748
207.0,-0.2612104907672959
208.0,-0.2624453342492547
209.0,-0.26316188974515803
210.0,-0.26443985405047116
211.0,-0.2655123164614731
212.0,-0.26614183739771313
213.0,-0.2672570997572715
214.0,-0.26859822337908357
215.0,-0.2690819867024042
216.0,-0.26963637366886084
217.0,-0.27051156167898527
218.0,-0.27093064356558916
219.0,-0.2716623987469295
220.0,-0.27222552912991593
221.0,-0.27248587901009386
222.0,-0.2730129234195721
223.0,-0.2732219849748239
224.0,-0.27338243874898244
225.0,-0.27348919797523985
226.0,-0.27371206405145654
227.0,-0.2737654753213509
228.0,-0.27377484369164024
229.0,-0.2738495946910521
230.0,-0.27415307796511307
231.0,-0.2744071372742473
232.0,-0.27472010938570607
233.0,-0.2751271938288083
234.0,-0.2755729139899343
235.0,-0.2761158846690687
236.0,-0.2766898735152107
237.0,-0.27735590408826316
238.0,-0.278386097633156
239.0,-0.2788426990105518
240.0,-0.28024613882803334
241.0,-0.28066529252816347
242.0,-0.28142306733621686
243.0,-0.28225008835009185
244.0,-0.28368849664285894
245.0,-0.2840992978950808
246.0,-0.2852573955741417
247.0,-0.2856403017757788
248.0,-0.28684423446831414
249.0,-0.28712209179872766
250.0,-0.2878395216672288
251.0,-0.28813439678332725
252.0,-0.28903994546401124
253.0,-0.2891927182648295
254.0,-0.28951643989544923
255.0,-0.28991729634951935
256.0,-0.29054996193377974
257.0,-0.29085077545782334
258.0,-0.29159581865064593
259.0,-0.292031213648745
260.0,-0.2926412484732993
261.0,-0.2936263745825889
262.0,-0.29429662701749737
263.0,-0.29489071678683365
264.0,-0.29595547970817887
265.0,-0.296540755288564
266.0,-0.2972477779885944
267.0,-0.29835870945740384
268.0,-0.2990488930085812
269.0,-0.29965799093075945
270.0,-0.3006674842926264
271.0,-0.30127748930579884
272.0,-0.30182833584895696
273.0,-0.30271190174623697
274.0,-0.3032541904000754
275.0,-0.30376058587378224
276.0,-0.304577031417088
277.0,-0.30520206757815843
278.0,-0.30571922621099956
279.0,-0.3062389649886175
280.0,-0.3071162616883221
281.0,-0.3078162197885979
282.0,-0.3084180804026955
283.0,-0.30899773719346574
284.0,-0.3099603751822826
285.0,-0.3107782770090666
286.0,-0.3113105387024977
287.0,-0.3119933231643405
288.0,-0.3130669501776426
289.0,-0.3137519634653431
290.0,-0.3143763731552981
291.0,-0.31538490715981476
292.0,-0.31595232931585815
293.0,-0.31665479448055495
294.0,-0.31773610759586685
295.0,-0.31819759066946085
296.0,-0.3192823581540448
297.0,-0.3197389548036547
298.0,-0.3208531553384228
299.0,-0.32131358120695064
300.0,-0.3223944298356527
301.0,-0.3227659813856479
302.0,-0.3241293383295667
303.0,-0.32446598058128445
304.0,-0.32535663374445656
305.0,-0.32590721791695193
306.0,-0.3271831420483635
307.0,-0.32757017349326595
308.0,-0.32900648889888756
309.0,-0.32935410299296297
310.0,-0.3302781976305521
311.0,-0.3308219120082883
312.0,-0.33209156123728445
313.0,-0.3324848019774909
314.0,-0.33373286896773413
315.0,-0.3342361380394547
316.0,-0.3353931236127027
317.0,-0.3358729698966416
318.0,-0.337007135164906
319.0,-0.3374836825475073
320.0,-0.338584345567889
321.0,-0.3390376830068051
322.0,-0.34012440363085733
323.0,-0.3405919532350472
324.0,-0.3416980853133517
