"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,1.1111868845604624
2.0,0.8246474252644023
3.0,0.3723334012334776
4.0,0.2779202857179265
5.0,-0.3947397905639969
6.0,-0.4122948471709796
7.0,-0.4989673491557644
8.0,-0.661688545561288
9.0,-0.5757219135721429
10.0,-0.5578462094585628
11.0,-0.2783646185359709
12.0,-0.24088587823142554
13.0,-0.1026176140746688
14.0,-0.08845894974028891
15.0,-0.04762474043936732
16.0,-0.0476575789911135
17.0,-0.07643295096554466
18.0,-0.08532415222724428
19.0,-0.15506569447719737
20.0,-0.16484172391499177
21.0,-0.22742538420963251
22.0,-0.23504120355041466
23.0,-0.23959854233339953
24.0,-0.24209015629281583
25.0,-0.24247444902503917
26.0,-0.240739378336901
27.0,-0.23905380168404364
28.0,-0.23564839236833843
29.0,-0.23084908668985032
30.0,-0.22468436680302
31.0,-0.21268773185351122
32.0,-0.20712319959930175
33.0,-0.19686774520532302
34.0,-0.19234999459791213
35.0,-0.18416970063360744
36.0,-0.18030718734652276
37.0,-0.1766189790105984
38.0,-0.17165573526545935
39.0,-0.1698699482069662
40.0,-0.16888900323504788
41.0,-0.16866483916581798
42.0,-0.16947950873576212
43.0,-0.1715840298269059
44.0,-0.17393539240421163
45.0,-0.17769743443179073
46.0,-0.18196851581007295
47.0,-0.18648381191147306
48.0,-0.18961249970852792
49.0,-0.19468443588239334
50.0,-0.19705707262785715
51.0,-0.19881106624596126
52.0,-0.20027505622467365
53.0,-0.2006444304023115
54.0,-0.200291606645263
55.0,-0.19947961282246895
56.0,-0.1977406983633692
57.0,-0.1960958264983027
58.0,-0.19350848104641497
59.0,-0.19135877350148012
60.0,-0.1882116083099061
61.0,-0.1849633654871221
62.0,-0.18273422642832893
63.0,-0.17901817465926567
64.0,-0.17731706617559923
65.0,-0.1743792708327338
66.0,-0.17173662230066739
67.0,-0.16956688852056706
68.0,-0.16658828859455307
69.0,-0.16533708662818108
70.0,-0.16426026976938204
71.0,-0.1640436623648364
72.0,-0.16439722200614612
73.0,-0.16503161208387185
74.0,-0.16516345842213828
75.0,-0.16486851136122999
76.0,-0.16491661582852857
77.0,-0.1641888461709039
78.0,-0.16422362021305664
79.0,-0.1644509972933409
80.0,-0.16457284810269024
81.0,-0.1648128308629042
82.0,-0.16490910562874828
83.0,-0.16510327381028836
84.0,-0.16502623359035037
85.0,-0.16501532869564045
86.0,-0.16520023351494129
87.0,-0.16611285525947253
88.0,-0.16691519415839515
89.0,-0.16919167516612946
90.0,-0.1707498600042572
91.0,-0.1735665324289593
92.0,-0.17652687142315618
93.0,-0.17977132637690296
94.0,-0.18292821219338298
95.0,-0.186188248321528
96.0,-0.1891113194554704
97.0,-0.19199805225990796
98.0,-0.19384814483739654
99.0,-0.19622459915247098
100.0,-0.19778509806677697
101.0,-0.19925393070547257
102.0,-0.20121759794378946
103.0,-0.20250250230840186
104.0,-0.20413183334769117
105.0,-0.20499700118683856
106.0,-0.20576955028514574
107.0,-0.20602390531984038
108.0,-0.20571858381461292
109.0,-0.20484245760752698
110.0,-0.2028609359019581
111.0,-0.20145156044482704
112.0,-0.19832623344073566
113.0,-0.19655570753514176
114.0,-0.19396741454787647
115.0,-0.19209501351478916
116.0,-0.19037420460537807
117.0,-0.18803466149623002
118.0,-0.18726786004602014
119.0,-0.18623421087048186
120.0,-0.18614200176125087
121.0,-0.1868098351369939
122.0,-0.1874557683272663
123.0,-0.18860302481225788
124.0,-0.19020965677758161
125.0,-0.19488889063714704
126.0,-0.19682983791112765
127.0,-0.19908384071944035
128.0,-0.20498648645007891
129.0,-0.2072832843011589
130.0,-0.21304049099045894
131.0,-0.2180453090402258
132.0,-0.21978867933735857
133.0,-0.2232743339456057
134.0,-0.22446371770997117
135.0,-0.22666630287727185
136.0,-0.2278714873260844
137.0,-0.22803824875116532
138.0,-0.22770714498466754
139.0,-0.22670298714595888
140.0,-0.22515668463530808
141.0,-0.22346274962350168
142.0,-0.22146469139293012
143.0,-0.21948277452775378
144.0,-0.21766327447144784
145.0,-0.2161078950145558
146.0,-0.21473743375166687
147.0,-0.21373976219670016
148.0,-0.21335313202265815
149.0,-0.21312829388092194
150.0,-0.2132382272901274
151.0,-0.21367756981647987
152.0,-0.21432545594265304
153.0,-0.21511747574686735
154.0,-0.21606750709675873
155.0,-0.21706257511216367
156.0,-0.2180263944380962
157.0,-0.21900389258439526
158.0,-0.2199332275780258
159.0,-0.2208237578766743
160.0,-0.2211583625522301
161.0,-0.22136336834528592
162.0,-0.22139110680854704
163.0,-0.22123838307035396
164.0,-0.22079633854955752
165.0,-0.22065349630235073
166.0,-0.22024208225524686
167.0,-0.2201415775602926
168.0,-0.21989502228166638
169.0,-0.2199082431226082
170.0,-0.22012910913952805
171.0,-0.22062063742175675
172.0,-0.22117599600582297
173.0,-0.2222327695105128
174.0,-0.22301181820918872
175.0,-0.2242862382711129
176.0,-0.2252411276631869
177.0,-0.22636960879277782
178.0,-0.22811020339056515
179.0,-0.22895068992584053
180.0,-0.23095517219913364
181.0,-0.2318539372821538
182.0,-0.23384884050684898
183.0,-0.23475186543089224
184.0,-0.23675287392903446
185.0,-0.23837956830515097
186.0,-0.2390827609810076
187.0,-0.24052436181273146
188.0,-0.2410203832526743
189.0,-0.24211774339822859
190.0,-0.24250639104998375
191.0,-0.2432860851695895
192.0,-0.24354473340814975
193.0,-0.24407068611932448
194.0,-0.24424837513976502
195.0,-0.24456290085751384
196.0,-0.2447160779937006
197.0,-0.24503883305849844
198.0,-0.2450739405514767
199.0,-0.24524053389150216
200.0,-0.2452509969163434
201.0,-0.2454624516940468
202.0,-0.24563490821972175
203.0,-0.24574646123140262
204.0,-0.2459495704871979
205.0,-0.24634211146887308
206.0,-0.24660074995693285
207.0,-0.24715837368842472
208.0,-0.24755137354516238
209.0,-0.24859296039951817
210.0,-0.2489873000179521
211.0,-0.2497559441445643
212.0,-0.25030696677573305
213.0,-0.251260037933671
214.0,-0.2519120455957071
215.0,-0.25305919564788526
216.0,-0.25374226507452363
217.0,-0.2552815709958063
218.0,-0.2558689304178735
219.0,-0.2565844391338053
220.0,-0.2576193126140503
221.0,-0.2585463355269454
222.0,-0.2593907434766744
223.0,-0.26014085529262315
224.0,-0.2608070544158928
225.0,-0.26157744327011345
226.0,-0.261864327489456
227.0,-0.2622810791818399
228.0,-0.26275014258239526
229.0,-0.2629130903318736
230.0,-0.2631951973468863
231.0,-0.2633715359175732
232.0,-0.26368675668133335
233.0,-0.26376426905320255
234.0,-0.26388712350238325
235.0,-0.2640941148456267
236.0,-0.2641903380856732
237.0,-0.2643828876735543
238.0,-0.2647614924671947
239.0,-0.2650006257534741
240.0,-0.26548678170603857
241.0,-0.26615642863346556
242.0,-0.2664077132328661
243.0,-0.2669396679177359
244.0,-0.2675507838240147
245.0,-0.26821832392440836
246.0,-0.26893053761831526
247.0,-0.2699234673592704
248.0,-0.27037078611117493
249.0,-0.27157843066115134
250.0,-0.2719439634268462
251.0,-0.2729583649400396
252.0,-0.2732883748032677
253.0,-0.2742334600641297
254.0,-0.27443537006927277
255.0,-0.2748502816890367
256.0,-0.27497667295266637
257.0,-0.2749818359182675
258.0,-0.27502357165745245
259.0,-0.2742314850197435
260.0,-0.2742258594395076
261.0,-0.2742003982239965
262.0,-0.2741488138809653
263.0,-0.27404008625095416
264.0,-0.2741549343468236
265.0,-0.27431248170744654
266.0,-0.2744691251337597
267.0,-0.2748311338358527
268.0,-0.2754416702608583
269.0,-0.2764544319650546
270.0,-0.27681096328307936
271.0,-0.2780936278115282
272.0,-0.27848706206805235
273.0,-0.2799265188967515
274.0,-0.2803240509105538
275.0,-0.2817335994981376
276.0,-0.2821111129221261
277.0,-0.28314389797895373
278.0,-0.2835268729390787
279.0,-0.2847552982322656
280.0,-0.2850594100114426
281.0,-0.2858705348561962
282.0,-0.28618249233083687
283.0,-0.2872770368034873
284.0,-0.2875071776285424
285.0,-0.2879281796211624
286.0,-0.2884981075170795
287.0,-0.289006241842216
288.0,-0.28951632672555544
289.0,-0.2900368400211283
290.0,-0.29056777933864997
291.0,-0.291116314302632
292.0,-0.2916918702516843
293.0,-0.2922758188276462
294.0,-0.2928948924518988
295.0,-0.2935340855486332
296.0,-0.2941891935945338
297.0,-0.2948920931089356
298.0,-0.29560910528575857
299.0,-0.2963353596157223
300.0,-0.2970725656959423
301.0,-0.29781536679443027
302.0,-0.2985589798669642
303.0,-0.2993086431210208
304.0,-0.30005240451573495
305.0,-0.3007922154970671
306.0,-0.3015223723048035
307.0,-0.302230861849631
308.0,-0.3029340200993683
309.0,-0.30362970031734343
310.0,-0.3043235525719752
311.0,-0.3050106163656808
312.0,-0.3056864698093398
313.0,-0.30635343548845245
314.0,-0.3070255667744847
315.0,-0.30769598524599656
316.0,-0.3083629289234551
317.0,-0.3090319163260204
318.0,-0.30971270418106245
319.0,-0.3103969652253164
320.0,-0.31109318843879114
321.0,-0.31177394775621153
322.0,-0.31246547035877015
323.0,-0.31316922047579626
324.0,-0.31390853787703393
325.0,-0.31464805022946996
326.0,-0.31538837478922416
327.0,-0.3161195769516437
328.0,-0.3168526252275337
329.0,-0.31758455412963177
330.0,-0.3183143227879766
331.0,-0.31904431046463533
332.0,-0.3197581407324991
333.0,-0.32046593917137645
334.0,-0.321188441504021
335.0,-0.32188834757456575
336.0,-0.32259245347719906
337.0,-0.32327090976081707
338.0,-0.32394615850235625
339.0,-0.3246215327189971
340.0,-0.3253069031526943
341.0,-0.32598221751034895
342.0,-0.3266526355469204
343.0,-0.32731408371919385
344.0,-0.32797473205432487
345.0,-0.3286388768739255
346.0,-0.32930207714830234
347.0,-0.3299564655467892
348.0,-0.33061124022437766
349.0,-0.3312611576463249
350.0,-0.33190767539066535
351.0,-0.3325655109624037
352.0,-0.3332284151907308
353.0,-0.33420670244179546
354.0,-0.3346059848495859
355.0,-0.33522126497075794
356.0,-0.33610916914963157
357.0,-0.33650215287258073
358.0,-0.33736820617972696
359.0,-0.337845285859069
360.0,-0.3384151732820741
361.0,-0.33929892151737395
362.0,-0.3398833011782688
363.0,-0.3405180256689296
364.0,-0.3411565421228868
365.0,-0.34193198579532413
366.0,-0.34251521643318605
367.0,-0.3431320375782692
368.0,-0.3439018644448577
369.0,-0.3446019517550012
370.0,-0.34515618359956535
371.0,-0.34586391499020247
372.0,-0.34652496925344595
373.0,-0.3470680889442134
374.0,-0.3477725190336597
375.0,-0.3484339706398461
376.0,-0.34907830342307217
377.0,-0.349612697194243
378.0,-0.35032186076185645
379.0,-0.3511243561743141
380.0,-0.35162742553697257
381.0,-0.3523191686782135
382.0,-0.353117303128373
383.0,-0.3536114146596671
384.0,-0.35430262415438507
385.0,-0.35510047112540893
386.0,-0.3555869580497176
387.0,-0.35636375448377194
388.0,-0.3568450074395109
389.0,-0.3576445499955719
390.0,-0.3581311396478681
391.0,-0.3589391181936369
392.0,-0.359540180198414
393.0,-0.3602683938550002
394.0,-0.36073851862100553
395.0,-0.36152146998855467
396.0,-0.36219736508209716
397.0,-0.36266328724839325
398.0,-0.3634133099638776
399.0,-0.36407703631116245
400.0,-0.3645284667149784
401.0,-0.3652716426209953
402.0,-0.3659300478580652
403.0,-0.3663853295855957
404.0,-0.36716223058682895
405.0,-0.36783940485239514
406.0,-0.36830601068667673
407.0,-0.3690758913269419
408.0,-0.3697426544398248
409.0,-0.37019802664829277
410.0,-0.37094554304231486
411.0,-0.37160266010968157
412.0,-0.37203892681043965
413.0,-0.3727838964714741
414.0,-0.37341090238855984
415.0,-0.37383846914544183
416.0,-0.374564398793446
417.0,-0.3752043442438773
418.0,-0.3758088933998371
419.0,-0.37639768393938683
420.0,-0.37697938915708196
421.0,-0.3775737571895647
422.0,-0.3781665728460192
423.0,-0.3787681523090359
424.0,-0.37937145774588354
425.0,-0.379945573796168
426.0,-0.3805222481686363
427.0,-0.3810878311002693
428.0,-0.38165291729445483
429.0,-0.3822184445367757
430.0,-0.38278626733905946
431.0,-0.3833707048715594
432.0,-0.38394518580880066
433.0,-0.38451820212930987
434.0,-0.38510386059460944
435.0,-0.3856873039242968
436.0,-0.38624082303379575
437.0,-0.38681403701664685
438.0,-0.38738199712785926
439.0,-0.3879354360940979
440.0,-0.38848874966645425
441.0,-0.3890274800958315
442.0,-0.38956259679308686
443.0,-0.3900952787759312
444.0,-0.390639423652647
445.0,-0.39119862123818544
446.0,-0.3917263290474242
447.0,-0.3922638128047065
448.0,-0.3928050473080333
449.0,-0.3933414403199459
450.0,-0.3938843139045532
451.0,-0.394417326114667
452.0,-0.3949378731960625
453.0,-0.3954642424494457
454.0,-0.39597784958767784
455.0,-0.3965035572149746
456.0,-0.3970209133810444
457.0,-0.3975418110883324
458.0,-0.39805392454654764
459.0,-0.39855544604297966
460.0,-0.399053175162073
461.0,-0.39955422081671566
462.0,-0.4000396389693551
463.0,-0.4005436603360819
464.0,-0.40105980009907716
465.0,-0.40156020990776664
466.0,-0.40205973640289616
467.0,-0.40255495185728957
468.0,-0.4030417927276258
469.0,-0.40352757384190163
470.0,-0.40400823968712213
471.0,-0.4044951846616292
472.0,-0.4049876531637317
473.0,-0.40547768441470805
474.0,-0.40594958968133665
475.0,-0.4064264572913049
476.0,-0.4068943955512224
477.0,-0.40728317842248524
478.0,-0.40788055340257184
479.0,-0.40812423917606383
480.0,-0.4088787949528074
481.0,-0.40906351168979715
482.0,-0.4099255178921203
483.0,-0.41009819607067205
484.0,-0.4105476155648807
485.0,-0.4110945567272093
486.0,-0.41161887212224624
487.0,-0.4121009714890704
488.0,-0.4124821921734205
489.0,-0.4129740195965222
490.0,-0.41344059631997065
491.0,-0.41381335100117944
492.0,-0.41431250907813794
493.0,-0.41477498686648334
494.0,-0.41515295300359795
495.0,-0.41564820749606735
