"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-1.6942992210388184
-0.06,-1.6990171670913696
-0.12,-1.6967623233795166
-0.18,-1.6889837980270386
-0.24,-1.690528392791748
-0.30000000000000004,-1.6844313144683838
-0.36,-1.6836190223693848
-0.42000000000000004,-1.6723905801773071
-0.48,-1.6712671518325806
-0.54,-1.6490485668182373
-0.6000000000000001,-1.5742110013961792
-0.66,-1.4075080156326294
-0.72,-1.3323760032653809
-0.78,-1.4074116945266724
-0.8400000000000001,-1.5570107698440552
-0.8999999999999999,-1.5650280714035034
-0.96,-1.5539543628692627
-1.02,-1.5413542985916138
-1.08,-1.519311547279358
-1.1400000000000001,-1.5072624683380127
-1.2000000000000002,-1.4928463697433472
-1.26,-1.4691762924194336
-1.32,-1.4558515548706055
-1.3800000000000001,-1.4313982725143433
-1.44,-1.417441725730896
-1.5,-1.3996473550796509
-1.56,-1.3849499225616455
-1.62,-1.3591965436935425
-1.6800000000000002,-1.3411964178085327
-1.7399999999999998,-1.3250049352645874
-1.7999999999999998,-1.2994937896728516
-1.8599999999999999,-1.283275842666626
-1.92,-1.2578645944595337
-1.98,-1.2376993894577026
-2.04,-1.2124180793762207
-2.0999999999999996,-1.1958993673324585
-2.16,-1.1752492189407349
-2.2199999999999998,-1.150397539138794
-2.2800000000000002,-1.1296144723892212
-2.34,-1.1130530834197998
-2.4000000000000004,-1.0887072086334229
-2.46,-1.0678114891052246
-2.52,-1.046953797340393
-2.58,-1.0239657163619995
-2.64,-1.0078294277191162
-2.7,-0.9887170791625977
-2.7600000000000002,-0.9662020802497864
-2.82,-0.9470850229263306
-2.88,-0.926216185092926
-2.94,-0.9071606397628784
-3.0,-0.8866639733314514
-3.06,-0.860582709312439
-3.12,-0.8476305603981018
-3.18,-0.8277917504310608
-3.24,-0.8091347813606262
-3.3000000000000003,-0.7896938920021057
-3.3600000000000003,-0.7646194100379944
-3.42,-0.7521800994873047
-3.4799999999999995,-0.7274938821792603
-3.54,-0.7089487910270691
-3.5999999999999996,-0.6909873485565186
-3.66,-0.6728088855743408
-3.7199999999999998,-0.6564775109291077
-3.7800000000000002,-0.6399932503700256
-3.84,-0.6236432194709778
-3.9000000000000004,-0.6015639901161194
-3.96,-0.5854918360710144
-4.0200000000000005,-0.5662804245948792
-4.08,-0.5536648631095886
-4.14,-0.534363329410553
-4.199999999999999,-0.5161644816398621
-4.26,-0.5046090483665466
-4.32,-0.4871141016483307
-4.38,-0.4698258340358734
-4.4399999999999995,-0.4538951516151428
-4.5,-0.43713730573654175
-4.5600000000000005,-0.4173690378665924
-4.62,-0.4071634113788605
-4.68,-0.38952457904815674
-4.74,-0.37151920795440674
-4.800000000000001,-0.35382822155952454
-4.86,-0.3365119695663452
-4.92,-0.32715559005737305
-4.9799999999999995,-0.3101760149002075
-5.04,-0.2948932349681854
-5.1,-0.2782105803489685
-5.16,-0.2691739499568939
-5.22,-0.25271767377853394
-5.28,-0.23639613389968872
-5.34,-0.22020463645458221
-5.4,-0.2041378617286682
-5.46,-0.18815436959266663
-5.5200000000000005,-0.17197836935520172
-5.58,-0.16358740627765656
-5.64,-0.1462489366531372
-5.699999999999999,-0.12889254093170166
-5.76,-0.1201830729842186
-5.82,-0.102907195687294
-5.88,-0.08568743616342545
-5.9399999999999995,-0.07711240649223328
-6.0,-0.06008818745613098
