"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,1.7573049656301305
2.0,1.1247215573645264
3.0,0.291035919691473
4.0,0.014919331547311648
5.0,-0.1501314811888868
6.0,-0.22067933553215663
7.0,-0.27732172519918047
8.0,-0.3748646641460627
9.0,-0.48452090328745606
10.0,-0.5005394596713832
11.0,-0.49145674298597114
12.0,-0.37773988598179625
13.0,-0.26154303627781184
14.0,-0.23919792452092323
15.0,-0.10042094434117038
16.0,-0.08835639051673569
17.0,-0.042449989043476924
18.0,-0.041698625467343306
19.0,-0.04881358496892454
20.0,-0.05784138241902346
21.0,-0.1381140179909413
22.0,-0.14986293582582938
23.0,-0.2161106544581536
24.0,-0.22261128731699237
25.0,-0.2262983384802514
26.0,-0.2274342340038427
27.0,-0.22574965204470387
28.0,-0.22402926129878062
29.0,-0.21215383581500774
30.0,-0.20885397743844936
31.0,-0.20388700202793164
32.0,-0.1931983816075565
33.0,-0.1822873306517616
34.0,-0.17456355515372216
35.0,-0.16760825268665341
36.0,-0.1594004220385444
37.0,-0.15459723399083675
38.0,-0.15173133534699962
39.0,-0.14860546620574722
40.0,-0.14775586502539725
41.0,-0.14789073623956991
42.0,-0.14969596067726246
43.0,-0.1516778482590261
44.0,-0.15657558297855498
45.0,-0.16255066236455407
46.0,-0.16920823301552607
47.0,-0.17537218775163205
48.0,-0.1806251238737087
49.0,-0.18489663403459444
50.0,-0.18712103697947488
51.0,-0.18898251298840893
52.0,-0.18927625017140193
53.0,-0.18884087151221585
54.0,-0.18765484775118588
55.0,-0.18603955733950278
56.0,-0.18386209610998955
57.0,-0.18042353147285203
58.0,-0.17726045586587522
59.0,-0.17467762387924948
60.0,-0.17252324039922973
61.0,-0.17110784262286347
62.0,-0.16954993597987852
63.0,-0.16849766787038553
64.0,-0.16742388453900256
65.0,-0.16662875694632348
66.0,-0.16627938490677158
67.0,-0.16641803342067113
68.0,-0.16683751921817783
69.0,-0.16766581261078087
70.0,-0.16920048027021636
71.0,-0.1716497426869968
72.0,-0.17290975982917273
73.0,-0.1750920158296816
74.0,-0.1767824374176297
75.0,-0.17750621844437459
76.0,-0.17776030293353615
77.0,-0.17722441418415696
78.0,-0.1764606003695183
79.0,-0.17337629105454555
80.0,-0.17200437974330282
81.0,-0.16832008544700414
82.0,-0.16552184106645684
83.0,-0.1633953460137453
84.0,-0.16181188772316446
85.0,-0.16041010874684808
86.0,-0.16055840276117736
87.0,-0.1605551618263654
88.0,-0.16065065483191057
89.0,-0.16101769968423524
90.0,-0.1613918320375797
91.0,-0.1623955820141615
92.0,-0.16283757589883815
93.0,-0.1636112208333518
94.0,-0.16446479201444203
95.0,-0.1659078608420916
96.0,-0.16838531675385607
97.0,-0.16981784566939884
98.0,-0.17308700900120497
99.0,-0.1749347406747695
100.0,-0.1786404308634929
101.0,-0.18054121950882257
102.0,-0.18322303188675543
