Profilo_1,Profilo_2,Angolo_deviazione_deg,Angolo_attacco_deg
be092_075.dat,be092_075.dat,-43.756055645042984,-7.86
be092_075.dat,be122_125.dat,-56.46395343226456,-7.86
be092_075.dat,be122_155.dat,-64.57928657548311,-7.86
be092_075.dat,naca45008.dat,-30.778611920372946,-7.86
be092_075.dat,naca5406.dat,-40.34116523525429,-7.86
be092_075.dat,naca6408.dat,-44.02714823000545,-7.86
be092_075.dat,naca6508.dat,-45.936279954284615,-7.86
be092_075.dat,s1210.dat,-64.15007640756718,-7.86
be092_075.dat,s1223.dat,-69.01540896528556,-7.86
be092_075.dat,s4083.dat,-37.74036374333105,-7.86
be092_075.dat,sd7037.dat,-34.46859888013306,-7.86
be122_125.dat,be092_075.dat,-55.74669666661294,-6.05
be122_125.dat,be122_125.dat,-68.454594453813,-6.05
be122_125.dat,be122_155.dat,-76.56992759710927,-6.05
be122_125.dat,naca45008.dat,-42.76925294195605,-6.05
be122_125.dat,naca5406.dat,-52.33180625670263,-6.05
be122_125.dat,naca6408.dat,-56.01778925158944,-6.05
be122_125.dat,naca6508.dat,-57.92692097581044,-6.05
be122_125.dat,s1210.dat,-76.14071742913889,-6.05
be122_125.dat,s1223.dat,-81.00604998685971,-6.05
be122_125.dat,s4083.dat,-49.73100476490871,-6.05
be122_125.dat,sd7037.dat,-46.459239901701174,-6.05
be122_155.dat,be092_075.dat,-63.565078185775356,-9.22
be122_155.dat,be122_125.dat,-76.27297597297981,-9.22
be122_155.dat,be122_155.dat,-84.3883091161759,-9.22
be122_155.dat,naca45008.dat,-50.58763446103598,-9.22
be122_155.dat,naca5406.dat,-60.15018777605608,-9.22
be122_155.dat,naca6408.dat,-63.836170770814164,-9.22
be122_155.dat,naca6508.dat,-65.74530249506334,-9.22
be122_155.dat,s1210.dat,-83.95909894830723,-9.22
be122_155.dat,s1223.dat,89.90353968195274,-9.22
be122_155.dat,s4083.dat,-57.549386284073236,-9.22
be122_155.dat,sd7037.dat,-54.277621420859724,-9.22
naca45008.dat,be092_075.dat,-35.16648021823369,-4.96
naca45008.dat,be122_125.dat,-47.87437800546921,-4.96
naca45008.dat,be122_155.dat,-55.98971114867628,-4.96
naca45008.dat,naca45008.dat,-22.1890364934776,-4.96
naca45008.dat,naca5406.dat,-31.751589808395906,-4.96
naca45008.dat,naca6408.dat,-35.437572803219865,-4.96
naca45008.dat,naca6508.dat,-37.34670452747251,-4.96
naca45008.dat,s1210.dat,-55.560500980764004,-4.96
naca45008.dat,s1223.dat,-60.42583353847599,-4.96
