xflr5 v6.32
C:/Users/silvi/OneDrive/Documenti/GitHub/progettoAerodinamico/OUTWASH/profili/naca5406.dat
Analysis1
Alpha =   0.0,  Re =   400000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.362     0.145     0.799     0.925
 0.9998    0.269     0.142     0.855     0.926
 0.9990    0.217     0.137     0.885     0.929
 0.9978    0.179     0.131     0.906     0.932
 0.9961    0.149     0.122     0.923     0.937
 0.9939    0.123     0.112     0.936     0.942
 0.9912    0.098     0.101     0.950     0.948
 0.9881    0.076     0.088     0.961     0.955
 0.9845    0.056     0.074     0.972     0.962
 0.9804    0.036     0.059     0.982     0.970
 0.9758    0.016     0.044     0.992     0.978
 0.9708   -0.002     0.028     1.001     0.986
 0.9653   -0.020     0.013     1.010     0.994
 0.9593   -0.038    -0.003     1.019     1.002
 0.9529   -0.056    -0.019     1.028     1.010
 0.9461   -0.073    -0.035     1.036     1.017
 0.9388   -0.090    -0.050     1.044     1.025
 0.9311   -0.106    -0.065     1.052     1.032
 0.9229   -0.123    -0.080     1.060     1.039
 0.9144   -0.138    -0.094     1.067     1.046
 0.9054   -0.155    -0.108     1.075     1.052
 0.8961   -0.170    -0.121     1.082     1.059
 0.8863   -0.185    -0.136     1.089     1.066
 0.8762   -0.201    -0.152     1.096     1.073
 0.8656   -0.216    -0.172     1.103     1.083
 0.8548   -0.231    -0.200     1.109     1.096
 0.8435   -0.246    -0.241     1.116     1.114
 0.8320   -0.260    -0.294     1.122     1.138
 0.8201   -0.274    -0.345     1.129     1.160
 0.8079   -0.288    -0.349     1.135     1.162
 0.7953   -0.302    -0.354     1.141     1.164
 0.7825   -0.316    -0.359     1.147     1.166
 0.7694   -0.329    -0.365     1.153     1.168
 0.7560   -0.343    -0.371     1.159     1.171
 0.7424   -0.356    -0.377     1.164     1.173
 0.7285   -0.368    -0.383     1.170     1.176
 0.7144   -0.381    -0.390     1.175     1.179
 0.7001   -0.394    -0.398     1.181     1.182
 0.6856   -0.406    -0.406     1.186     1.186
 0.6708   -0.418    -0.414     1.191     1.189
 0.6559   -0.430    -0.424     1.196     1.193
 0.6409   -0.442    -0.433     1.201     1.197
