     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.7330515  
          0.1         0.7286977  
          0.2         0.7250224  
          0.3         0.7212447  
          0.4         0.7170674  
          0.5         0.7136429  
          0.6         0.7092535  
          0.7         0.7053368  
          0.8         0.7014945  
          0.9         0.6971202  
            1         0.6935358  
          1.1         0.6889419  
          1.2         0.6849194  
          1.3         0.6807212  
          1.4         0.6762897  
          1.5         0.6723744  
          1.6         0.6675847  
          1.7         0.6635893  
          1.8          0.658735  
          1.9          0.654391  
            2         0.6496669  
          2.1         0.6450068  
          2.2         0.6403068  
          2.3         0.6353723  
          2.4         0.6305747  
          2.5         0.6254171  
          2.6         0.6204149  
          2.7         0.6150659  
          2.8         0.6097774  
          2.9         0.6042926  
            3         0.5986011  
          3.1         0.5930822  
          3.2         0.5869022  
          3.3         0.5811176  
          3.4         0.5747077  
          3.5         0.5683803  
          3.7         0.5551839  
          3.8         0.5485177  
            4         0.5344101  
          4.1         0.5272866  
          4.2         0.5201585  
          4.3         0.5125119  
          4.4         0.5042908  
          4.6         0.4863393  
          4.7         0.4766274  
          4.8         0.4668692  
          4.9         0.4556544  
            5         0.4438884  
          5.1         0.4316042  
          5.2         0.4190928  
          5.3         0.4064411  
          5.4          0.394099  
          5.5         0.3825924  
          5.6         0.3714521  
          5.7         0.3600019  
          5.8         0.3482641  
          5.9         0.3362658  
            6         0.3237154  
          6.1         0.3102374  
          6.2         0.2962472  
          6.3         0.2822237  
          6.4         0.2680291  
          6.5         0.2545405  
          6.6         0.2414599  
          6.7         0.2282468  
          6.8         0.2152986  
          6.9         0.2027601  
            7         0.1907606  
          7.1         0.1792556  
          7.2          0.168191  
          7.3         0.1577338  
          7.4         0.1478965  
          7.5         0.1386529  
          7.6         0.1299073  
          7.7         0.1218969  
          7.8         0.1141745  
          7.9         0.1073357  
            8         0.1007281  
          8.1        0.09487294  
          8.2        0.08919256  
          8.3          0.084051  
          8.4        0.07908749  
          8.5        0.07461022  
          8.6         0.0702762  
          8.7         0.0664452  
          8.8        0.06261159  
          8.9        0.05893748  
            9        0.05585046  
          9.1        0.05271475  
          9.2        0.04950644  
          9.3        0.04751981  
          9.4        0.04538247  
          9.5        0.04347648  
          9.6        0.04159884  
          9.7        0.03987285  
          9.8        0.03912215  
          9.9           0.03827  
           10        0.03742159  

