     Alpha       T1_Re0.400_M0.00_N9.0    
          -10        0.09623427  
         -9.9        0.09489282  
         -9.8        0.09359444  
         -9.7        0.09227957  
         -9.6        0.09096693  
         -9.5        0.08971006  
         -9.4        0.08845444  
         -9.3        0.08720008  
         -9.2        0.08599717  
         -9.1        0.08481939  
           -9        0.08365285  
         -8.9        0.08234547  
         -8.8        0.08089463  
         -8.7        0.07946559  
         -8.6        0.07803022  
         -8.5        0.07665325  
         -8.4        0.07535141  
         -8.3        0.07406665  
         -8.2        0.07279771  
         -8.1        0.07159646  
           -8        0.07041555  
         -7.9        0.06923848  
         -7.8        0.06809818  
         -7.7        0.06687279  
         -7.6        0.06565387  
         -7.5        0.06447139  
         -7.4        0.06335322  
         -7.3        0.06225416  
         -7.2        0.06107292  
         -7.1        0.05996582  
           -7        0.05897963  
         -6.9        0.05796815  
         -6.8        0.05679703  
         -6.7        0.05561968  
         -6.6        0.05447022  
         -6.5        0.05358315  
         -6.4        0.05269142  
         -6.3        0.05175616  
         -6.2        0.05101446  
         -6.1        0.05021425  
           -6        0.04919431  
         -5.9        0.04825994  
         -5.8        0.04743466  
         -5.7        0.04670256  
         -5.6        0.04578659  
         -5.5        0.04483979  
         -5.4        0.04397125  
         -5.3        0.04315108  
         -5.2        0.04230867  
         -5.1        0.04130317  
           -5        0.04023994  
         -4.9        0.03939993  
         -4.8        0.03887497  
         -4.7        0.03802531  
         -4.6        0.03734718  
         -4.5        0.03654872  
         -4.4        0.03581649  
         -4.3        0.03554623  
         -4.2        0.03478541  
         -4.1        0.03400412  
           -4        0.03352576  
         -3.9        0.03311329  
         -3.8        0.03269713  
         -3.7        0.03238584  
         -3.6        0.03196818  
         -3.5        0.03145358  
         -3.4        0.03099629  
         -3.3        0.03061196  
         -3.2        0.03027795  
         -3.1        0.02980923  
           -3        0.02928998  
         -2.9        0.02881929  
         -2.8        0.02840324  
         -2.7        0.02802682  
         -2.6        0.02769586  
         -2.5        0.02725732  
         -2.4        0.02676718  
         -2.3        0.02630673  
         -2.2        0.02588391  
         -2.1        0.02549289  
           -2         0.0251381  
         -1.9        0.02471441  
         -1.8        0.02423842  
         -1.7        0.02380663  
         -1.6        0.02340986  
         -1.5        0.02301798  
         -1.4         0.0225055  
         -1.3        0.02200094  
         -1.2         0.0213695  
         -1.1        0.02131136  
           -1        0.02094024  
         -0.9         0.0206765  
         -0.8         0.0204449  
         -0.7        0.02010574  
         -0.6        0.01981912  
         -0.5        0.01958986  
         -0.4        0.01929925  
         -0.3        0.01897074  
         -0.2         0.0186822  
         -0.1        0.01843195  
            0        0.01810809  

