     Alpha       T1_Re0.400_M0.00_N9.0    
          -10         -1.880239  
         -9.9         -1.880953  
         -9.8         -1.881395  
         -9.7         -1.881889  
         -9.6         -1.882284  
         -9.5         -1.882324  
         -9.4         -1.882391  
         -9.3         -1.882424  
         -9.2         -1.882121  
         -9.1         -1.881688  
           -9         -1.881161  
         -8.9         -1.881741  
         -8.8         -1.883559  
         -8.7         -1.885207  
         -8.6         -1.886911  
         -8.5         -1.888256  
         -8.4         -1.889108  
         -8.3         -1.889864  
         -8.2         -1.890498  
         -8.1         -1.890735  
           -8         -1.890836  
         -7.9         -1.890942  
         -7.8         -1.890832  
         -7.7         -1.891537  
         -7.6         -1.892199  
         -7.5         -1.892541  
         -7.4         -1.892373  
         -7.3          -1.89207  
         -7.2         -1.892541  
         -7.1         -1.892458  
           -7         -1.891337  
         -6.9         -1.890511  
         -6.8         -1.891286  
         -6.7         -1.892169  
         -6.6         -1.892944  
         -6.5         -1.891335  
         -6.4         -1.889807  
         -6.3         -1.888726  
         -6.2         -1.885853  
         -6.1         -1.883614  
           -6         -1.883626  
         -5.9         -1.882868  
         -5.8         -1.881114  
         -5.7         -1.878432  
         -5.6         -1.877597  
         -5.5         -1.877119  
         -5.4         -1.875961  
         -5.3         -1.874347  
         -5.2         -1.873016  
         -5.1         -1.873546  
           -5         -1.874851  
         -4.9         -1.873869  
         -4.8         -1.869425  
         -4.7         -1.868724  
         -4.6         -1.866199  
         -4.5         -1.865162  
         -4.4         -1.863483  
         -4.3         -1.862841  
         -4.2         -1.861831  
         -4.1          -1.86103  
           -4         -1.856562  
         -3.9         -1.851265  
         -3.8          -1.84602  
         -3.7         -1.839413  
         -3.6         -1.834167  
         -3.5         -1.830194  
         -3.4         -1.825569  
         -3.3         -1.819955  
         -3.2         -1.813849  
         -3.1         -1.809536  
           -3         -1.806009  
         -2.9         -1.801892  
         -2.8         -1.797062  
         -2.7         -1.791734  
         -2.6         -1.785778  
         -2.5         -1.781316  
         -2.4         -1.777645  
         -2.3         -1.773607  
         -2.2         -1.769081  
         -2.1         -1.764156  
           -2         -1.758761  
         -1.9         -1.754442  
         -1.8         -1.750996  
         -1.7         -1.746977  
         -1.6          -1.74251  
         -1.5         -1.738017  
         -1.4         -1.735444  
         -1.3         -1.732943  
         -1.2         -1.732781  
         -1.1         -1.723064  
           -1         -1.718639  
         -0.9         -1.712441  
         -0.8          -1.70575  
         -0.7         -1.700994  
         -0.6         -1.695261  
         -0.5         -1.688554  
         -0.4         -1.683032  
         -0.3         -1.678288  
         -0.2         -1.672869  
         -0.1         -1.666752  
            0         -1.662162  

