     Alpha       T1_Re0.400_M0.00_N9.0    
          -10        0.05729817  
         -9.9        0.05764095  
         -9.8        0.05799558  
         -9.7        0.05835234  
         -9.6         0.0587135  
         -9.5        0.05908266  
         -9.4         0.0594475  
         -9.3        0.05980622  
         -9.2        0.06016083  
         -9.1        0.06050033  
           -9        0.06081794  
         -8.9        0.06122075  
         -8.8        0.06175726  
         -8.7        0.06231088  
         -8.6        0.06287307  
         -8.5         0.0634614  
         -8.4        0.06408903  
         -8.3        0.06475023  
         -8.2         0.0654555  
         -8.1        0.06621822  
           -8        0.06702507  
         -7.9        0.06786869  
         -7.8        0.06876035  
         -7.7        0.07002047  
         -7.6        0.07139068  
         -7.5        0.07291961  
         -7.4        0.07463913  
         -7.3        0.07649366  
         -7.2        0.07869671  
         -7.1        0.08150454  
           -7         0.0843631  
         -6.9        0.08684663  
         -6.8        0.08948938  
         -6.7         0.0922452  
         -6.6        0.09555538  
         -6.5         0.1022171  
         -6.4         0.1059871  
         -6.3         0.1096074  
         -6.2         0.1127507  
         -6.1         0.1150255  
           -6         0.1172268  
         -5.9         0.1195168  
         -5.8         0.1217837  
         -5.7         0.1238701  
         -5.6         0.1258917  
         -5.5         0.1281347  
         -5.4         0.1306978  
         -5.3         0.1333926  
         -5.2         0.1363535  
         -5.1           0.13998  
           -5          0.143345  
         -4.9         0.1518483  
         -4.8         0.1584271  
         -4.7         0.1633901  
         -4.6         0.1681837  
         -4.5         0.1723431  
         -4.4         0.1771703  
         -4.3         0.1813519  
         -4.2         0.1864587  
         -4.1         0.1913704  
           -4         0.2033452  
         -3.9         0.2091092  
         -3.8         0.2141936  
         -3.7         0.2178605  
         -3.6         0.2205718  
         -3.5         0.2234832  
         -3.4         0.2264612  
         -3.3         0.2293355  
         -3.2         0.2318107  
         -3.1         0.2340292  
           -3         0.2363876  
         -2.9         0.2388043  
         -2.8          0.241178  
         -2.7         0.2433852  
         -2.6         0.2453866  
         -2.5         0.2473728  
         -2.4         0.2495514  
         -2.3         0.2518446  
         -2.2          0.254212  
         -2.1         0.2565936  
           -2         0.2589398  
         -1.9         0.2614654  
         -1.8         0.2643821  
         -1.7         0.2676217  
         -1.6         0.2711122  
         -1.5         0.2751689  
         -1.4         0.2805433  
         -1.3         0.2860742  
         -1.2         0.3006979  
         -1.1         0.3172886  
           -1         0.3231645  
         -0.9         0.3287184  
         -0.8         0.3329927  
         -0.7         0.3372221  
         -0.6         0.3416253  
         -0.5         0.3457042  
         -0.4         0.3493142  
         -0.3          0.353331  
         -0.2         0.3575063  
         -0.1         0.3615814  
            0         0.3658447  

