     Alpha       T1_Re0.400_M0.00_N9.0    
          -10                 1  
         -9.9                 1  
         -9.8                 1  
         -9.7                 1  
         -9.6                 1  
         -9.5                 1  
         -9.4                 1  
         -9.3                 1  
         -9.2                 1  
         -9.1                 1  
           -9                 1  
         -8.9                 1  
         -8.8                 1  
         -8.7                 1  
         -8.6                 1  
         -8.5                 1  
         -8.4                 1  
         -8.3                 1  
         -8.2                 1  
         -8.1                 1  
           -8                 1  
         -7.9                 1  
         -7.8                 1  
         -7.7                 1  
         -7.6                 1  
         -7.5                 1  
         -7.4                 1  
         -7.3                 1  
         -7.2                 1  
         -7.1                 1  
           -7                 1  
         -6.9                 1  
         -6.8                 1  
         -6.7                 1  
         -6.6                 1  
         -6.5                 1  
         -6.4                 1  
         -6.3                 1  
         -6.2                 1  
         -6.1                 1  
           -6                 1  
         -5.9                 1  
         -5.8                 1  
         -5.7                 1  
         -5.6                 1  
         -5.5                 1  
         -5.4                 1  
         -5.3                 1  
         -5.2                 1  
         -5.1                 1  
           -5                 1  
         -4.9                 1  
         -4.8                 1  
         -4.7                 1  
         -4.6                 1  
         -4.5                 1  
         -4.4                 1  
         -4.3         0.6132927  
         -4.2         0.5961797  
         -4.1         0.5751016  
           -4         0.5549283  
         -3.9         0.5399716  
         -3.8         0.5284413  
         -3.7         0.5185646  
         -3.6          0.510547  
         -3.5          0.503825  
         -3.4         0.4963402  
         -3.3            0.4899  
         -3.2          0.481989  
         -3.1         0.4756397  
           -3         0.4695889  
         -2.9         0.4635159  
         -2.8         0.4582015  
         -2.7         0.4516779  
         -2.6         0.4457976  
         -2.5         0.4405991  
         -2.4         0.4351806  
         -2.3         0.4303978  
         -2.2         0.4258849  
         -2.1         0.4208002  
           -2         0.4161478  
         -1.9         0.4122013  
         -1.8         0.4080142  
         -1.7         0.4037756  
         -1.6         0.3998785  
         -1.5         0.3962304  
         -1.4          0.392322  
         -1.3         0.3882365  
         -1.2         0.3850007  
         -1.1         0.3808711  
           -1         0.3768928  
         -0.9         0.3727405  
         -0.8         0.3690665  
         -0.7         0.3661112  
         -0.6          0.362266  
         -0.5          0.358183  
         -0.4          0.354784  
         -0.3         0.3518707  
         -0.2         0.3486269  
         -0.1         0.3448698  
            0         0.3416585  

