     Alpha       T1_Re0.400_M0.00_N9.0    
          -10         0.1101035  
         -9.9         0.1085506  
         -9.8          0.107257  
         -9.7          0.105821  
         -9.6         0.1041078  
         -9.5         0.1024233  
         -9.4         0.1010548  
         -9.3         0.0996764  
         -9.2        0.09852937  
         -9.1        0.09749649  
           -9        0.09596155  
         -8.9        0.09456739  
         -8.8        0.09341199  
         -8.7        0.09239554  
         -8.6         0.0909983  
         -8.5        0.08959793  
         -8.4        0.08825081  
         -8.3        0.08698783  
         -8.2        0.08573415  
         -8.1        0.08419304  
           -8        0.08248904  
         -7.9         0.0808034  
         -7.8        0.08006506  
         -7.7        0.07874875  
         -7.6        0.07768136  
         -7.5        0.07657044  
         -7.4        0.07517075  
         -7.3        0.07392038  
         -7.2        0.07274025  
         -7.1        0.07126053  
           -7        0.06977776  
         -6.9        0.06877259  
         -6.8        0.06802868  
         -6.6        0.06669516  
         -6.5        0.06580788  
         -6.4        0.06479958  
         -6.3        0.06396094  
         -6.2        0.06322968  
         -6.1         0.0625844  
           -6        0.06184108  
         -5.9        0.06081476  
         -5.8        0.05990664  
         -5.7        0.05908412  
         -5.6        0.05831673  
         -5.5        0.05758922  
         -5.4        0.05690177  
         -5.3        0.05626272  
         -5.2        0.05530605  
         -5.1         0.0543937  
           -5        0.05350343  
         -4.9        0.05263484  
         -4.8        0.05178896  
         -4.7        0.05101102  
         -4.6        0.05029247  
         -4.5         0.0494282  
         -4.4        0.04842481  
         -4.3        0.04747168  
         -4.2        0.04658232  
         -4.1        0.04570467  
           -4        0.04477205  
         -3.9        0.04364703  
         -3.8        0.04249529  
         -3.7        0.04126672  
         -3.6         0.0406838  
         -3.5        0.04013442  
         -3.4        0.03942495  
         -3.3        0.03887084  
         -3.2        0.03836532  
         -3.1        0.03761421  
           -3         0.0369664  
         -2.9        0.03640139  
         -2.8        0.03591759  
         -2.7         0.0352372  
         -2.6        0.03450531  
         -2.5        0.03385032  
         -2.4        0.03323533  
         -2.3        0.03266946  
         -2.2        0.03190206  
         -2.1        0.03116892  
           -2        0.03049547  
         -1.9        0.02982999  
         -1.8        0.02894359  
         -1.7        0.02804651  
         -1.6        0.02757184  
         -1.5        0.02726203  
         -1.4        0.02688837  
         -1.3        0.02664692  
         -1.2        0.02625389  
         -1.1        0.02583434  
           -1        0.02548652  
         -0.9        0.02518704  
         -0.8        0.02493972  
         -0.7        0.02448952  
         -0.6        0.02405799  
         -0.5        0.02369296  
         -0.4        0.02335878  
         -0.3        0.02308559  
         -0.2        0.02266106  
         -0.1        0.02224177  
            0        0.02187046  

