     Alpha       T1_Re0.400_M0.00_N9.0    
          -10         -1.953037  
         -9.9         -1.955654  
         -9.8         -1.956417  
         -9.7         -1.958221  
         -9.6         -1.962128  
         -9.5         -1.965938  
         -9.4         -1.967421  
         -9.3         -1.968929  
         -9.2         -1.968748  
         -9.1         -1.967687  
           -9          -1.97057  
         -8.9         -1.972441  
         -8.8         -1.972532  
         -8.7         -1.971474  
         -8.6         -1.973357  
         -8.5         -1.975305  
         -8.4         -1.976775  
         -8.3         -1.977576  
         -8.2         -1.978391  
         -8.1         -1.981613  
           -8         -1.986098  
         -7.9         -1.990528  
         -7.8          -1.98722  
         -7.7         -1.988679  
         -7.6         -1.991039  
         -7.5         -1.990348  
         -7.4         -1.992604  
         -7.3         -1.993575  
         -7.2         -1.994002  
         -7.1         -1.997052  
           -7         -2.000266  
         -6.9         -1.999386  
         -6.8         -1.996227  
         -6.6          -1.98851  
         -6.5         -1.986682  
         -6.4         -1.985988  
         -6.3         -1.983821  
         -6.2         -1.980647  
         -6.1         -1.976737  
           -6         -1.973725  
         -5.9         -1.973391  
         -5.8         -1.972041  
         -5.7         -1.969945  
         -5.6         -1.967298  
         -5.5         -1.964252  
         -5.4         -1.960776  
         -5.3         -1.956793  
         -5.2         -1.956011  
         -5.1         -1.954873  
           -5         -1.953532  
         -4.9         -1.951929  
         -4.8         -1.950109  
         -4.7         -1.947741  
         -4.6         -1.944807  
         -4.5         -1.943346  
         -4.4         -1.943294  
         -4.3         -1.942943  
         -4.2         -1.942043  
         -4.1         -1.940921  
           -4         -1.940416  
         -3.9         -1.942053  
         -3.8         -1.944082  
         -3.7         -1.947306  
         -3.6         -1.943427  
         -3.5         -1.939237  
         -3.4         -1.936993  
         -3.3         -1.932991  
         -3.2          -1.92843  
         -3.1         -1.926979  
           -3         -1.924383  
         -2.9         -1.920843  
         -2.8         -1.916331  
         -2.7         -1.914325  
         -2.6          -1.91312  
         -2.5         -1.911038  
         -2.4         -1.908435  
         -2.3         -1.905209  
         -2.2         -1.904675  
         -2.1         -1.903791  
           -2         -1.902235  
         -1.9         -1.900728  
         -1.8         -1.902544  
         -1.7         -1.904864  
         -1.6         -1.901138  
         -1.5         -1.894934  
         -1.4         -1.889762  
         -1.3         -1.882596  
         -1.2         -1.877851  
         -1.1         -1.873547  
           -1         -1.868076  
         -0.9         -1.861876  
         -0.8         -1.854876  
         -0.7         -1.851208  
         -0.6         -1.847308  
         -0.5         -1.842348  
         -0.4         -1.836917  
         -0.3         -1.830515  
         -0.2         -1.826802  
         -0.1         -1.823158  
            0         -1.818783  

