     Alpha       T1_Re0.400_M0.00_N9.0    
          -10        0.07721467  
         -9.9         0.0807026  
         -9.8        0.08477953  
         -9.7        0.08800591  
         -9.6        0.09122736  
         -9.5        0.09450934  
         -9.4         0.1032323  
         -9.3         0.1078632  
         -9.2         0.1122362  
         -9.1         0.1151483  
           -9         0.1175039  
         -8.9         0.1199876  
         -8.8         0.1224849  
         -8.7         0.1246884  
         -8.6         0.1268081  
         -8.5         0.1290599  
         -8.4          0.131428  
         -8.3         0.1338896  
         -8.2         0.1366303  
         -8.1           0.13985  
           -8         0.1428381  
         -7.9         0.1455188  
         -7.8         0.1568426  
         -7.7         0.1611599  
         -7.6         0.1654085  
         -7.5         0.1695951  
         -7.4         0.1733559  
         -7.3         0.1777218  
         -7.2         0.1821038  
         -7.1         0.1867681  
           -7         0.1911552  
         -6.9         0.2029493  
         -6.8         0.2092955  
         -6.6          0.218624  
         -6.5         0.2213025  
         -6.4         0.2241087  
         -6.3         0.2269169  
         -6.2         0.2294408  
         -6.1         0.2316446  
           -6           0.23351  
         -5.9         0.2353882  
         -5.8         0.2373604  
         -5.7         0.2393207  
         -5.6         0.2411997  
         -5.5         0.2430128  
         -5.4         0.2447262  
         -5.3         0.2462969  
         -5.2         0.2479579  
         -5.1          0.249756  
           -5         0.2516274  
         -4.9         0.2535471  
         -4.8         0.2554845  
         -4.7         0.2574371  
         -4.6         0.2593751  
         -4.5         0.2614348  
         -4.4          0.263792  
         -4.3         0.2663747  
         -4.2         0.2691878  
         -4.1         0.2721965  
           -4         0.2758188  
         -3.9         0.2806191  
         -3.8         0.2853654  
         -3.7         0.2932575  
         -3.6         0.3152609  
         -3.5         0.3200291  
         -3.4         0.3250172  
         -3.3         0.3295157  
         -3.2         0.3330153  
         -3.1         0.3363726  
           -3         0.3399786  
         -2.9         0.3434886  
         -2.8         0.3466495  
         -2.7         0.3495014  
         -2.6         0.3526272  
         -2.5         0.3559447  
         -2.4         0.3592584  
         -2.3         0.3624645  
         -2.2         0.3659479  
         -2.1         0.3699595  
           -2         0.3742878  
         -1.9         0.3789326  
         -1.8         0.3844152  
         -1.7         0.3893001  
         -1.6         0.4042017  
         -1.5         0.4127829  
         -1.4         0.4192845  
         -1.3         0.4236437  
         -1.2         0.4269082  
         -1.1         0.4303944  
           -1         0.4338637  
         -0.9         0.4371381  
         -0.8         0.4401703  
         -0.7         0.4431007  
         -0.6         0.4464064  
         -0.5         0.4498727  
         -0.4         0.4531423  
         -0.3         0.4560013  
         -0.2         0.4587353  
         -0.1         0.4616581  
            0         0.4646924  

