     Alpha       T1_Re0.400_M0.00_N9.0    
            0          0.461954  
          0.1          0.458737  
          0.2         0.4558294  
          0.3         0.4528217  
          0.4         0.4498009  
          0.5         0.4468702  
          0.6         0.4441162  
          0.7         0.4414925  
          0.8         0.4389131  
          0.9         0.4361638  
            1          0.433381  
          1.1         0.4306947  
          1.2         0.4281938  
          1.3         0.4258601  
          1.4         0.4236154  
          1.5         0.4213291  
          1.6         0.4196142  
          1.7         0.4147465  
          1.8         0.4124915  
          1.9         0.4103044  
            2         0.4081387  
          2.1         0.4059462  
          2.2         0.4037048  
          2.3         0.4015415  
          2.4         0.3994351  
          2.5         0.3973908  
          2.6         0.3953842  
          2.7         0.3933203  
          2.8         0.3913159  
          2.9         0.3891555  
            3         0.3870009  
          3.1         0.3849495  
          3.2         0.3830318  
          3.3         0.3811776  
          3.4         0.3792866  
          3.5         0.3773993  
          3.6         0.3754265  
          3.7         0.3733332  
          3.8         0.3712461  
          3.9         0.3692536  
            4         0.3673828  
          4.1         0.3655971  
          4.2         0.3637451  
          4.3          0.361939  
          4.4         0.3599899  
          4.5         0.3579371  
          4.6         0.3558943  
          4.7         0.3539493  
          4.8         0.3521229  
          4.9         0.3503559  
            5         0.3485003  
          5.1         0.3467096  
          5.2         0.3447538  
          5.3         0.3427093  
          5.4         0.3406915  
          5.5         0.3387837  
          5.6         0.3369708  
          5.7         0.3351665  
          5.8         0.3332448  
          5.9         0.3314211  
            6          0.329438  
          6.1          0.327385  
          6.2         0.3253639  
          6.3         0.3234277  
          6.4         0.3215284  
          6.5         0.3196268  
          6.6         0.3176422  
          6.7         0.3157533  
          6.8         0.3136846  
          6.9         0.3115491  
            7         0.3094524  
          7.1         0.3074148  
          7.2         0.3054261  
          7.3         0.3033402  
          7.4         0.3013176  
          7.5         0.2987476  
          7.6         0.2953789  
          7.7         0.2914262  
          7.8         0.2868007  
          7.9         0.2810298  
            8         0.2757743  
          8.1         0.2709887  
          8.2         0.2661717  
          8.3         0.2619638  
          8.4          0.258036  
          8.5         0.2533657  
          8.6          0.248495  
          8.7         0.2438572  
          8.8         0.2383981  
          8.9         0.2325885  
            9         0.2260006  
          9.1         0.2182542  
          9.2         0.2090418  
          9.3         0.1984329  
          9.4         0.1854228  
          9.5         0.1690013  
          9.6         0.1469275  
          9.7         0.1161622  
          9.9        0.05301619  
           10        0.04008851  

