     Alpha       T1_Re0.400_M0.00_N9.0    
          0.1       0.008495263  
          0.2        0.00846016  
          0.3       0.008411049  
          0.4       0.008303567  
          0.5       0.007354115  
          0.6       0.007146857  
          0.7       0.007190168  
          0.8       0.007250107  
          0.9       0.007295376  
            1       0.007348593  
          1.1       0.007416338  
          1.2       0.007460245  
          1.3       0.007522773  
          1.4       0.007588075  
          1.5       0.007640471  
          1.6       0.007712095  
          1.7       0.007775023  
          1.8       0.007833973  
          1.9       0.007912046  
            2       0.007975829  
          2.1        0.00803763  
          2.2       0.008118107  
          2.3        0.00818953  
          2.4       0.008250298  
          2.5       0.008328687  
          2.6       0.008418247  
          2.7       0.008472831  
          2.8       0.008544149  
          2.9       0.008632838  
            3       0.008711646  
          3.1       0.008771784  
          3.2       0.008847006  
          3.3       0.008938212  
          3.4       0.009025775  
          3.5       0.009082562  
          3.6       0.009155426  
          3.7       0.009242188  
          3.8       0.009347756  
          3.9       0.009413205  
            4       0.009475767  
          4.1       0.009553449  
          4.2       0.009644505  
          4.3       0.009755911  
          4.4       0.009824773  
          4.5       0.009887245  
          4.6       0.009963019  
          4.7        0.01005287  
          4.8        0.01016176  
          4.9        0.01025901  
            5        0.01031105  
          5.1        0.01038058  
          5.2         0.0105157  
          5.3         0.0105405  
          5.4        0.01066376  
          5.5        0.01071578  
          5.6        0.01083947  
          5.7        0.01090853  
          5.8        0.01103159  
          5.9        0.01111557  
            6        0.01122128  
          6.1        0.01133931  
          6.2        0.01142623  
          6.3        0.01157339  
          6.4         0.0116605  
          6.5        0.01180772  
          6.6        0.01195006  
          6.7        0.01210062  
          6.8        0.01230804  
          6.9        0.01258254  
            7        0.01299146  
          7.1        0.01359022  
          7.2        0.01439843  
          7.3        0.01536982  
          7.4        0.01638661  
          7.5        0.01731071  
          7.6        0.01802947  
          7.7        0.01859445  
          7.8        0.01907093  
          7.9        0.01950621  
            8        0.01993876  
          8.1        0.02033948  
          8.2        0.02071365  
          8.3        0.02122415  
          8.4        0.02163302  
          8.5        0.02200088  
          8.6        0.02240293  
          8.7        0.02292329  
          8.8        0.02358191  
          8.9        0.02391623  
            9        0.02432033  
          9.1        0.02475879  
          9.2        0.02525135  
          9.3        0.02585533  
          9.4        0.02664606  
          9.5        0.02751081  
          9.6        0.02799582  
          9.7        0.02854837  
          9.8        0.02914398  
          9.9         0.0297703  
           10        0.03041765  

