     Alpha       T1_Re0.400_M0.00_N9.0    
          0.1         0.6974759  
          0.2         0.7079602  
          0.3         0.7184584  
          0.4         0.7286805  
          0.5         0.7315595  
          0.6         0.7484575  
          0.7         0.7589281  
          0.8         0.7694376  
          0.9         0.7799028  
            1         0.7903313  
          1.1         0.8007859  
          1.2         0.8112153  
          1.3         0.8216024  
          1.4         0.8320104  
          1.5         0.8424004  
          1.6         0.8527268  
          1.7         0.8631191  
          1.8         0.8734877  
          1.9         0.8837854  
            2         0.8941872  
          2.1         0.9045562  
          2.2         0.9148362  
          2.3         0.9252098  
          2.4         0.9355978  
          2.5         0.9458881  
          2.6         0.9561808  
          2.7         0.9666458  
          2.8         0.9769945  
          2.9         0.9872589  
            3         0.9976376  
          3.1           1.00808  
          3.2          1.018426  
          3.3          1.028704  
          3.4          1.039071  
          3.5          1.049538  
          3.6          1.059904  
          3.7          1.070206  
          3.8            1.0805  
          3.9          1.090948  
            4          1.101366  
          4.1          1.111704  
          4.2          1.121997  
          4.3          1.132292  
          4.4          1.142692  
          4.5           1.15307  
          4.6          1.163383  
          4.7          1.173639  
          4.8          1.183892  
          4.9           1.19422  
            5          1.204325  
          5.1          1.213979  
          5.2          1.223212  
          5.3          1.232455  
          5.4            1.2412  
          5.5           1.25043  
          5.6           1.25909  
          5.7          1.268325  
          5.8          1.277045  
          5.9           1.28636  
            6          1.295478  
          6.1          1.304566  
          6.2          1.313909  
          6.3          1.322448  
          6.4           1.33175  
          6.5          1.340125  
          6.6          1.348467  
          6.7          1.356675  
          6.8          1.363946  
          6.9           1.37027  
            7          1.374756  
          7.1          1.376956  
          7.2           1.37683  
          7.3          1.374895  
          7.4          1.372241  
          7.5          1.370218  
          7.6          1.369817  
          7.7          1.371672  
          7.8          1.374777  
          7.9          1.378433  
            8          1.382044  
          8.1          1.386117  
          8.2          1.390525  
          8.3          1.392834  
          8.4          1.396717  
          8.5          1.401217  
          8.6          1.405171  
          8.7          1.407379  
          8.8          1.407593  
          8.9          1.412759  
            9          1.416911  
          9.1          1.420628  
          9.2          1.423635  
          9.3          1.425109  
          9.4          1.424127  
          9.5          1.422479  
          9.6          1.426209  
          9.7           1.42908  
          9.8          1.431467  
          9.9          1.433583  
           10          1.435571  

