     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.5455615  
          0.1         0.5439165  
          0.2         0.5420591  
          0.3         0.5400405  
          0.4         0.5378793  
          0.5         0.5355656  
          0.6         0.5331595  
          0.7         0.5307315  
          0.8         0.5283201  
          0.9         0.5259372  
            1         0.5235902  
          1.1          0.521214  
          1.2         0.5186643  
          1.3          0.515907  
          1.4         0.5129146  
          1.5         0.5108515  
          1.6         0.5098893  
          1.7         0.5086553  
          1.8         0.5071471  
          1.9         0.5054113  
            2         0.5034871  
          2.1         0.5014069  
          2.2         0.4992927  
          2.3         0.4971236  
          2.4         0.4949215  
          2.5         0.4927318  
          2.6         0.4906005  
          2.8         0.4867044  
          2.9          0.484742  
            3         0.4825664  
          3.1         0.4800048  
          3.2         0.4768717  
          3.3         0.4745157  
          3.4         0.4734552  
          3.5         0.4721063  
          3.6         0.4704809  
          3.7         0.4686714  
          3.8          0.466812  
          3.9         0.4649248  
            4         0.4627534  
          4.1          0.460324  
          4.2         0.4576963  
          4.3         0.4549131  
          4.4         0.4519823  
          4.5         0.4489008  
          4.6         0.4456959  
          4.7         0.4424891  
          4.8         0.4393818  
          4.9         0.4383282  
            5         0.4373202  
          5.1         0.4361554  
          5.2          0.434921  
          5.3         0.4335111  
          5.4         0.4315984  
          5.5         0.4294127  
          5.6          0.426977  
          5.7         0.4242607  
          5.8         0.4213723  
          5.9         0.4183639  
            6         0.4152352  
          6.1         0.4119195  
          6.2         0.4083249  
          6.3         0.4044527  
          6.4         0.4028083  
          6.5         0.4009789  
          6.6         0.3987085  
          6.7         0.3959898  
          6.8         0.3927985  
          6.9         0.3892442  
            7         0.3853693  
          7.1          0.381228  
          7.2         0.3767744  
          7.3         0.3718221  
          7.4         0.3682418  
          7.5         0.3647089  
          7.6          0.359743  
          7.7         0.3534221  
          7.8         0.3462145  
          7.9          0.338772  
            8         0.3322818  
          8.1          0.323994  
          8.2         0.3141571  
          8.3         0.3036906  
          8.4         0.2928596  
          8.5         0.2801223  
          8.6         0.2683104  
          8.7         0.2560549  
          8.8         0.2435234  
          8.9         0.2335753  
            9         0.2230945  
          9.1         0.2130422  
          9.3         0.1857994  
          9.4         0.1783856  
          9.5         0.1721408  
          9.6         0.1663952  
          9.7         0.1607031  
          9.8         0.1572276  
          9.9         0.1533382  
           10         0.1493186  

