     Alpha       T1_Re0.400_M0.00_N9.0    
          0.1       0.006933983  
          0.2       0.006998471  
          0.3       0.007043786  
          0.4       0.007104533  
          0.5       0.007181381  
          0.6       0.007269565  
          0.7       0.007340763  
          0.8       0.007376086  
          0.9       0.007423837  
            1       0.007483931  
          1.1       0.007555724  
          1.2       0.007638807  
          1.3       0.007741174  
          1.4       0.007775976  
          1.5       0.007811882  
          1.6        0.00785948  
          1.7       0.007918309  
          1.8       0.007988924  
          1.9       0.008071578  
            2       0.008172931  
          2.1       0.008248389  
          2.2       0.008273937  
          2.3       0.008311629  
          2.4       0.008359908  
          2.5       0.008416194  
          2.6       0.008480367  
          2.7        0.00855323  
          2.8       0.008636741  
          2.9       0.008741923  
            3        0.00885065  
          3.1       0.008872609  
          3.2       0.008900347  
          3.3       0.008940701  
          3.4        0.00899244  
          3.5       0.009051738  
          3.6       0.009118159  
          3.7       0.009193707  
          3.8       0.009281851  
          3.9       0.009397179  
            4       0.009519044  
          4.1       0.009538406  
          4.2       0.009569529  
          4.3       0.009610818  
          4.4       0.009664215  
          4.5       0.009727561  
          4.6       0.009799994  
          4.7       0.009894122  
          4.8        0.01005624  
          4.9        0.01002607  
            5        0.01006033  
          5.1        0.01017371  
          5.2        0.01028969  
          5.3        0.01034638  
          5.4        0.01044939  
          5.5          0.010578  
          5.6        0.01068885  
          5.7        0.01075928  
          5.8        0.01085192  
          5.9        0.01085153  
            6         0.0109358  
          6.1        0.01107911  
          6.2        0.01113275  
          6.3        0.01124018  
          6.4        0.01139133  
          6.5        0.01154598  
          6.6        0.01162916  
          6.7        0.01177084  
          6.8        0.01200699  
          6.9         0.0121553  
            7        0.01245321  
          7.1        0.01272283  
          7.2        0.01314356  
          7.3        0.01396363  
          7.4        0.01475723  
          7.5        0.01584596  
          7.6        0.01652177  
          7.7        0.01686231  
          7.8          0.017163  
          7.9        0.01746655  
            8        0.01778768  
          8.1        0.01812979  
          8.2        0.01849592  
          8.3        0.01889315  
          8.4        0.01942634  
          8.5        0.01989345  
          8.6        0.02036397  
          8.7         0.0208431  
          8.8         0.0213374  
          8.9        0.02184199  
            9        0.02235426  
          9.1        0.02287313  
          9.2        0.02340116  
          9.3        0.02393917  
          9.4         0.0244868  
          9.5        0.02504727  
          9.6        0.02562435  
          9.7        0.02622291  
          9.8         0.0268468  
          9.9        0.02750269  
           10        0.02817791  

