     Alpha       T1_Re0.400_M0.00_N9.0    
          0.1         0.4376996  
          0.2         0.4479387  
          0.3         0.4584349  
          0.4         0.4687546  
          0.5         0.4789029  
          0.6         0.4888957  
          0.7         0.4992052  
          0.8         0.5098916  
          0.9         0.5204429  
            1         0.5308661  
          1.1         0.5411537  
          1.2         0.5513172  
          1.3          0.561422  
          1.4         0.5721634  
          1.5         0.5828597  
          1.6         0.5934431  
          1.7         0.6038994  
          1.8          0.614219  
          1.9         0.6244154  
            2         0.6345372  
          2.1         0.6450136  
          2.2         0.6558072  
          2.3         0.6665152  
          2.4          0.677142  
          2.5         0.6876974  
          2.6         0.6981682  
          2.7         0.7085412  
          2.8          0.718799  
          2.9         0.7289498  
            3         0.7392756  
          3.1         0.7500481  
          3.2         0.7607966  
          3.3         0.7714642  
          3.4         0.7820488  
          3.5         0.7925647  
          3.6         0.8029842  
          3.7         0.8132871  
          3.8         0.8234607  
          3.9         0.8335114  
            4         0.8437309  
          4.1         0.8544513  
          4.2         0.8651259  
          4.3         0.8757295  
          4.4          0.886221  
          4.5         0.8966163  
          4.6         0.9068245  
          4.7         0.9166621  
          4.8         0.9260909  
          4.9         0.9368829  
            5         0.9471261  
          5.1         0.9565658  
          5.2          0.966174  
          5.3         0.9764893  
          5.4          0.986383  
          5.5         0.9960445  
          5.6          1.005941  
          5.7          1.016303  
          5.8          1.026416  
          5.9          1.038194  
            6          1.048554  
          6.1          1.058083  
          6.2          1.068514  
          6.3          1.078331  
          6.4          1.087736  
          6.5          1.097152  
          6.6          1.107362  
          6.7          1.116929  
          6.8          1.125543  
          6.9          1.135111  
            7          1.143263  
          7.1          1.151775  
          7.2          1.159029  
          7.3          1.163047  
          7.4          1.167407  
          7.5          1.169311  
          7.6          1.174731  
          7.7          1.182882  
          7.8          1.191327  
          7.9          1.199717  
            8          1.207925  
          8.1          1.215912  
          8.2          1.223638  
          8.3          1.231018  
          8.4          1.237209  
          8.5          1.243731  
          8.6          1.250084  
          8.7          1.256226  
          8.8          1.262084  
          8.9            1.2677  
            9          1.273107  
          9.1           1.27833  
          9.2          1.283329  
          9.3          1.288099  
          9.4          1.292656  
          9.5          1.296965  
          9.6          1.300988  
          9.7          1.304682  
          9.8          1.308027  
          9.9          1.310966  
           10          1.313008  

