     Alpha       T1_Re0.400_M0.00_N9.0    
            0       0.006003347  
          0.1       0.006024652  
          0.2       0.006049388  
          0.3       0.006064772  
          0.4       0.006086158  
          0.5       0.006114403  
          0.6       0.006152462  
          0.7       0.006206241  
          0.8       0.006236991  
          0.9       0.006265328  
            1         0.0063044  
          1.1        0.00635658  
          1.2       0.006427447  
          1.3       0.006487995  
          1.4       0.006517868  
          1.5       0.006558268  
          1.6       0.006611065  
          1.7       0.006680617  
          1.8       0.006771831  
          1.9       0.006829735  
            2       0.006869234  
          2.1       0.006924621  
          2.2         0.0069955  
          2.3       0.007082963  
          2.4       0.007183989  
          2.5       0.007227374  
          2.6       0.007272777  
          2.7       0.007335303  
          2.8       0.007419171  
          2.9       0.007529921  
            3       0.007636437  
          3.1       0.007679373  
          3.2       0.007728676  
          3.3       0.007801304  
          3.4       0.007892758  
          3.5       0.008006068  
          3.6       0.008122908  
          3.7       0.008167718  
          3.8       0.008232835  
          3.9       0.008322827  
            4       0.008443626  
          4.1       0.008602279  
          4.2       0.008676586  
          4.3         0.0087694  
          4.4       0.008915218  
          4.5        0.00910927  
          4.6       0.009196971  
          4.7       0.009345201  
          4.8       0.009570268  
          4.9       0.009698833  
            5       0.009886083  
          5.1        0.01013537  
          5.2        0.01026269  
          5.3         0.0104603  
          5.4        0.01066894  
          5.5        0.01077559  
          5.6        0.01088197  
          5.7        0.01101221  
          5.8        0.01117544  
          5.9        0.01136297  
            6        0.01150415  
          6.1        0.01162753  
          6.2        0.01180472  
          6.3        0.01204783  
          6.4        0.01223077  
          6.5        0.01236884  
          6.6        0.01254413  
          6.7        0.01277858  
          6.8        0.01298962  
          6.9        0.01273566  
            7        0.01285159  
          7.1        0.01299032  
          7.2        0.01316548  
          7.3        0.01338639  
          7.4        0.01361282  
          7.5        0.01376543  
          7.6         0.0139046  
          7.7        0.01408055  
          7.8        0.01430884  
          7.9        0.01457725  
            8        0.01479619  
          8.1        0.01494459  
          8.2        0.01513479  
          8.3        0.01538289  
          8.4        0.01568329  
          8.5        0.01590312  
          8.6        0.01611492  
          8.7        0.01644809  
          8.8        0.01688949  
          8.9        0.01892583  
            9        0.01931968  
          9.1        0.01973545  
          9.2        0.02017271  
          9.3        0.02062775  
          9.4        0.02110442  
          9.5        0.02160527  
          9.6         0.0221346  
          9.7        0.02269064  
          9.8        0.02326119  
          9.9        0.02383679  
           10         0.0244388  

