x,y,z
9.95484840e-01,-6.90432079e-02,0.0
9.87858628e-01,-6.64117010e-02,0.0
9.78171831e-01,-6.30958910e-02,0.0
9.68480842e-01,-5.98056199e-02,0.0
9.58785841e-01,-5.65411808e-02,0.0
9.49086809e-01,-5.33028521e-02,0.0
9.39383824e-01,-5.00909421e-02,0.0
9.29676866e-01,-4.69057500e-02,0.0
9.19966113e-01,-4.37475990e-02,0.0
9.10251342e-01,-4.06167943e-02,0.0
9.00532731e-01,-3.75136692e-02,0.0
8.90810057e-01,-3.44385489e-02,0.0
8.81083194e-01,-3.13917855e-02,0.0
8.71352220e-01,-2.83737152e-02,0.0
8.61616708e-01,-2.53846991e-02,0.0
8.51876732e-01,-2.24251133e-02,0.0
8.42132066e-01,-1.94953230e-02,0.0
8.32382283e-01,-1.65957092e-02,0.0
8.22627353e-01,-1.37266909e-02,0.0
8.12866949e-01,-1.08886562e-02,0.0
8.03100738e-01,-8.08204301e-03,0.0
7.93328391e-01,-5.30727934e-03,0.0
7.83549576e-01,-2.56480314e-03,0.0
7.73764057e-01,1.44890791e-04,0.0
7.63971303e-01,2.82134852e-03,0.0
7.54171077e-01,5.46406527e-03,0.0
7.44362841e-01,8.07251729e-03,0.0
7.34546258e-01,1.06461868e-02,0.0
7.24720788e-01,1.31845102e-02,0.0
7.14886091e-01,1.56869197e-02,0.0
7.05041723e-01,1.81528249e-02,0.0
6.95187142e-01,2.05816122e-02,0.0
6.85322000e-01,2.29726341e-02,0.0
6.75445751e-01,2.53252372e-02,0.0
6.65557947e-01,2.76387411e-02,0.0
6.55658237e-01,2.99124386e-02,0.0
6.45745968e-01,3.21455934e-02,0.0
6.35820887e-01,3.43374413e-02,0.0
6.25882337e-01,3.64872062e-02,0.0
6.15930162e-01,3.85940771e-02,0.0
6.05963802e-01,4.06572209e-02,0.0
5.95982795e-01,4.26757678e-02,0.0
5.85986978e-01,4.46488070e-02,0.0
5.75975887e-01,4.65754486e-02,0.0
5.65949155e-01,4.84547259e-02,0.0
5.55906512e-01,5.02856754e-02,0.0
5.45847787e-01,5.20672764e-02,0.0
5.35772708e-01,5.37984856e-02,0.0
5.25681101e-01,5.54782624e-02,0.0
5.15572688e-01,5.71055035e-02,0.0
5.05447490e-01,5.86790747e-02,0.0
4.95305428e-01,6.01978388e-02,0.0
4.85146419e-01,6.16606087e-02,0.0
4.74970577e-01,6.30661534e-02,0.0
4.64777816e-01,6.44132459e-02,0.0
4.54568348e-01,6.57006083e-02,0.0
4.44342382e-01,6.69269229e-02,0.0
4.34100123e-01,6.80908420e-02,0.0
4.23841877e-01,6.91909910e-02,0.0
4.13567946e-01,7.02259553e-02,0.0
4.03278829e-01,7.11942767e-02,0.0
3.92974824e-01,7.20944806e-02,0.0
3.82656624e-01,7.29250149e-02,0.0
3.72324822e-01,7.36843046e-02,0.0
3.61980004e-01,7.43707147e-02,0.0
3.51622955e-01,7.49825663e-02,0.0
3.41254457e-01,7.55181308e-02,0.0
3.30875385e-01,7.59755926e-02,0.0
3.20486711e-01,7.63530794e-02,0.0
3.10089502e-01,7.66486521e-02,0.0
2.99684719e-01,7.68602785e-02,0.0
2.89273716e-01,7.69858192e-02,0.0
2.78857739e-01,7.70230317e-02,0.0
2.68438027e-01,7.69695638e-02,0.0
2.58016109e-01,7.68229028e-02,0.0
2.47593503e-01,7.65803863e-02,0.0
2.37171815e-01,7.62391753e-02,0.0
2.26752834e-01,7.57961976e-02,0.0
2.16338434e-01,7.52481344e-02,0.0
2.05930570e-01,7.45914005e-02,0.0
1.95531370e-01,7.38220379e-02,0.0
1.85143137e-01,7.29357053e-02,0.0
1.74768240e-01,7.19275658e-02,0.0
1.64409407e-01,7.07921957e-02,0.0
1.54069518e-01,6.95234694e-02,0.0
1.43751692e-01,6.81144021e-02,0.0
1.33459377e-01,6.65569338e-02,0.0
1.23196423e-01,6.48416129e-02,0.0
1.12967262e-01,6.29573030e-02,0.0
1.02776791e-01,6.08905799e-02,0.0
9.26309496e-02,5.86250292e-02,0.0
8.25366340e-02,5.61401500e-02,0.0
7.25023455e-02,5.34097154e-02,0.0
6.25388399e-02,5.03991709e-02,0.0
5.26602621e-02,4.70612146e-02,0.0
4.28862174e-02,4.33280035e-02,0.0
3.32458672e-02,3.90956105e-02,0.0
2.37869386e-02,3.41894408e-02,0.0
1.46003988e-02,2.82693905e-02,0.0
8.79463797e-03,2.35491215e-02,0.0
4.58385135e-03,1.87173211e-02,0.0
1.81194324e-03,1.37849046e-02,0.0
3.22823082e-04,8.76278671e-03,0.0
-3.96013486e-05,3.66188261e-03,0.0
6.52278218e-04,-1.51274560e-03,0.0
3.67223070e-03,-6.85016953e-03,0.0
1.13804501e-02,-1.25154270e-02,0.0
2.61681312e-02,-1.86757297e-02,0.0
3.72540522e-02,-2.13978253e-02,0.0
4.80631785e-02,-2.31690465e-02,0.0
5.86863176e-02,-2.43317816e-02,0.0
6.91710398e-02,-2.50628697e-02,0.0
7.95463563e-02,-2.54683830e-02,0.0
8.98317234e-02,-2.56182991e-02,0.0
1.00041180e-01,-2.55620077e-02,0.0
1.10185251e-01,-2.53360719e-02,0.0
1.20272349e-01,-2.49686975e-02,0.0
1.30309227e-01,-2.44823099e-02,0.0
1.40301723e-01,-2.38952010e-02,0.0
1.50254587e-01,-2.32225892e-02,0.0
1.60172127e-01,-2.24774066e-02,0.0
1.70058073e-01,-2.16708125e-02,0.0
1.79915757e-01,-2.08125331e-02,0.0
1.89748183e-01,-1.99111778e-02,0.0
1.99558124e-01,-1.89744378e-02,0.0
2.09348200e-01,-1.80092498e-02,0.0
2.19120679e-01,-1.70219094e-02,0.0
2.28877763e-01,-1.60181803e-02,0.0
2.38621488e-01,-1.50033720e-02,0.0
2.48353715e-01,-1.39823958e-02,0.0
2.58076229e-01,-1.29598272e-02,0.0
2.67790737e-01,-1.19399416e-02,0.0
2.77498762e-01,-1.09267461e-02,0.0
2.87201745e-01,-9.92401537e-03,0.0
2.96901141e-01,-8.93530260e-03,0.0
3.06598118e-01,-7.96399342e-03,0.0
3.16293856e-01,-7.01325799e-03,0.0
3.25989645e-01,-6.08616371e-03,0.0
3.35686387e-01,-5.18558048e-03,0.0
3.45385093e-01,-4.31426549e-03,0.0
3.55086680e-01,-3.47484923e-03,0.0
3.64791977e-01,-2.66982555e-03,0.0
3.74501719e-01,-1.90159151e-03,0.0
3.84216648e-01,-1.17243448e-03,0.0
3.93937313e-01,-4.84518108e-04,0.0
4.03664272e-01,1.60073736e-04,0.0
4.13398187e-01,7.59349976e-04,0.0
4.23139326e-01,1.31141726e-03,0.0
4.32888166e-01,1.81448801e-03,0.0
4.42644988e-01,2.26683845e-03,0.0
4.52410079e-01,2.66685456e-03,0.0
4.62183633e-01,3.01300908e-03,0.0
4.71965848e-01,3.30382465e-03,0.0
4.81756929e-01,3.53793363e-03,0.0
4.91556787e-01,3.71405913e-03,0.0
5.01365538e-01,3.83100011e-03,0.0
5.11183103e-01,3.88761935e-03,0.0
5.21009409e-01,3.88287936e-03,0.0
5.30844488e-01,3.81581552e-03,0.0
5.40688080e-01,3.68555395e-03,0.0
5.50540028e-01,3.49129360e-03,0.0
5.60400081e-01,3.23231021e-03,0.0
5.70268094e-01,2.90796235e-03,0.0
5.80143825e-01,2.51767541e-03,0.0
5.90026943e-01,2.06098150e-03,0.0
5.99917017e-01,1.53747959e-03,0.0
6.09813924e-01,9.46837462e-04,0.0
6.19717246e-01,2.88803712e-04,0.0
6.29626471e-01,-4.36766345e-04,0.0
6.39541491e-01,-1.22998544e-03,0.0
6.49461705e-01,-2.09086160e-03,0.0
6.59386916e-01,-3.01933100e-03,0.0
6.69316532e-01,-4.01525202e-03,0.0
6.79250269e-01,-5.07839424e-03,0.0
6.89187744e-01,-6.20849036e-03,0.0
6.99128484e-01,-7.40516632e-03,0.0
7.09072217e-01,-8.66797224e-03,0.0
7.19018478e-01,-9.99641436e-03,0.0
7.28966908e-01,-1.13898862e-02,0.0
7.38917252e-01,-1.28477483e-02,0.0
7.48869058e-01,-1.43692676e-02,0.0
7.58822082e-01,-1.59536449e-02,0.0
7.68775885e-01,-1.76000076e-02,0.0
7.78730329e-01,-1.93074337e-02,0.0
7.88684986e-01,-2.10749109e-02,0.0
