# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
7

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom_main,0,EMVVMDTXJS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.600000000000000033e-01, 0.000000000000000000e+00, 2.999999999999999889e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,15,61
# x,y,z,u,w
4.796726883182270695e-01, 0.000000000000000000e+00, 3.125607133495547640e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
4.766569480658555680e-01, 0.000000000000000000e+00, 3.120324939266019282e-01, 1.000000000000000000e+00, 2.237983578691647366e-02
4.729947060302404638e-01, 0.000000000000000000e+00, 3.113299579042711485e-01, 1.000000000000000000e+00, 4.477749453708265714e-02
4.685616438193858091e-01, 0.000000000000000000e+00, 3.104297505771149157e-01, 1.000000000000000000e+00, 7.194714884979341862e-02
4.632229136153046545e-01, 0.000000000000000000e+00, 3.092993156260132048e-01, 1.000000000000000000e+00, 1.047238701919735171e-01
4.568337252436758256e-01, 0.000000000000000000e+00, 3.079050847423663861e-01, 1.000000000000000000e+00, 1.440022120384465143e-01
4.492471416165150222e-01, 0.000000000000000000e+00, 3.062063832692624166e-01, 1.000000000000000000e+00, 1.906977409129814449e-01
4.403214851004558228e-01, 0.000000000000000000e+00, 3.041685528073213018e-01, 1.000000000000000000e+00, 2.456873523173935536e-01
4.299340336635764093e-01, 0.000000000000000000e+00, 3.017649044779633916e-01, 1.000000000000000000e+00, 3.097259830794746871e-01
4.179966438495100189e-01, 0.000000000000000000e+00, 2.989869869387904999e-01, 1.000000000000000000e+00, 3.833411826705370173e-01
4.044740202631117998e-01, 0.000000000000000000e+00, 2.958541098117204449e-01, 1.000000000000000000e+00, 4.667132275822858944e-01
3.894008263583675911e-01, 0.000000000000000000e+00, 2.924280309077520457e-01, 1.000000000000000000e+00, 5.595564609771755959e-01
3.728965275360145992e-01, 0.000000000000000000e+00, 2.888215795108762807e-01, 1.000000000000000000e+00, 6.610253111644632806e-01
3.551803740867031656e-01, 0.000000000000000000e+00, 2.851682960168895331e-01, 1.000000000000000000e+00, 7.696725451908569271e-01
3.365676999882556419e-01, 0.000000000000000000e+00, 2.816158832533657841e-01, 1.000000000000000000e+00, 8.834838829916497049e-01
