"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-1.24834,-0.4216457009315491
-1.26108,-0.4216457009315491
-1.27382,-0.4216457009315491
-1.2865600000000001,-0.4216457009315491
-1.2993000000000001,-0.4216457009315491
-1.31204,-0.4216457009315491
-1.32478,-0.4216457009315491
-1.33752,-0.4216457009315491
-1.35026,-0.4216457009315491
-1.363,-0.4216457009315491
-1.37574,-0.4216457009315491
-1.38848,-0.2654106020927429
-1.40122,-0.2654106020927429
-1.4139599999999999,-0.2654106020927429
-1.4267,-0.2654106020927429
-1.43944,-0.2654106020927429
-1.4521799999999998,-0.2654106020927429
-1.4649199999999998,-0.2654106020927429
-1.47766,-0.2654106020927429
-1.4904,-0.2654106020927429
-1.50314,-0.2654106020927429
-1.5158800000000001,-0.2654106020927429
-1.52862,-0.1630905419588089
-1.54136,-0.1630905419588089
-1.5541,-0.1630905419588089
-1.56684,-0.1630905419588089
-1.57958,-0.1630905419588089
-1.59232,-0.1630905419588089
-1.60506,-0.11946284025907516
-1.6178,-0.11946284025907516
-1.6305399999999999,-0.11946284025907516
-1.6432799999999999,-0.11946284025907516
-1.6560199999999998,-0.11946284025907516
-1.66876,-0.11946284025907516
-1.6815,-0.11946284025907516
-1.69424,-0.11206051707267761
-1.7069800000000002,-0.09376095980405807
-1.7197200000000001,-0.09376095980405807
-1.73246,-0.09376095980405807
-1.7452,-0.09376095980405807
-1.75794,-0.09376095980405807
-1.77068,-0.09376095980405807
-1.78342,-0.09376095980405807
-1.79616,-0.09376095980405807
-1.8089,-0.09376095980405807
-1.82164,-0.09376095980405807
-1.83438,-0.09376095980405807
-1.84712,-0.0927715077996254
-1.85986,-0.0927715077996254
-1.8726,-0.04925844445824623
-1.88534,-0.04925844445824623
-1.89808,-0.04925844445824623
-1.91082,-0.04925844445824623
-1.92356,-0.0817447081208229
-1.9363,-0.04925844445824623
-1.9490399999999999,-0.04925844445824623
-1.9617799999999999,-0.04925844445824623
-1.97452,-0.0437929593026638
-1.98726,-0.0437929593026638
-2.0,-0.0437929593026638
-0.726,-11.696088790893555
-0.73874,-8.072981834411621
-0.7514799999999999,-8.072981834411621
-0.76422,-6.866386413574219
-0.77696,-6.866386413574219
-0.7897,-6.866386413574219
-0.8024399999999999,-6.866386413574219
-0.81518,-2.7990355491638184
-0.82792,-2.7990355491638184
-0.84066,-3.1554956436157227
-0.8533999999999999,-3.1554956436157227
-0.86614,-3.1554956436157227
-0.87888,-1.9383351802825928
-0.89162,-4.2090020179748535
-0.90436,-4.2090020179748535
-0.9171,-3.3408925533294678
-0.92984,-3.3408925533294678
-0.94258,-1.8738492727279663
-0.95532,-2.5155837535858154
-0.9680599999999999,-2.5155837535858154
-0.9808,-2.5155837535858154
-0.99354,-2.5155837535858154
-1.00628,-1.4018172025680542
-1.01902,-1.4018172025680542
-1.03176,-1.4018172025680542
-1.0445,-1.4018172025680542
-1.05724,-1.4018172025680542
-1.06998,-1.1815053224563599
-1.0827200000000001,-1.1815053224563599
-1.0954599999999999,-1.1815053224563599
-1.1082,-1.1815053224563599
-1.12094,-0.7658253908157349
-1.13368,-0.7658253908157349
-1.14642,-0.7658253908157349
-1.15916,-0.7658253908157349
-1.1719,-0.7658253908157349
-1.18464,-0.7658253908157349
-1.1973799999999999,-0.7658253908157349
-1.2101199999999999,-0.7658253908157349
-1.22286,-0.7658253908157349
-1.2356,-0.7658253908157349
